time,MRI-ESM2-0,EC-EARTH3-VEG,EC-EARTH3,MPI-ESM1-2-HR,CESM2-WACCM,INM-CM4-8,NORESM2-MM,FGOALS-F3-L,INM-CM5-0,CESM2,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13846150000.0,13921118000.0,13813042000.0,13968372000.0,13850141000.0,13847823000.0,13854642000.0,13867208000.0,13861058000.0,13838900000.0,13957436000.0,13818520000.0,13889761000.0
2022.0,13747583000.0,13769345000.0,13669972000.0,14243266000.0,13735379000.0,14016106000.0,13729368000.0,13725046000.0,13735296000.0,13753776000.0,13764564000.0,13731843000.0,13777017000.0
2023.0,13615408000.0,13645428000.0,13547291000.0,13951909000.0,13584157000.0,13675995000.0,13580373000.0,13615628000.0,13628306000.0,13793921000.0,13650530000.0,13635857000.0,13583616000.0
2024.0,13520143000.0,13658006000.0,13367913000.0,13762494000.0,13510439000.0,13540344000.0,13529876000.0,13426331000.0,13564771000.0,13497871000.0,13558892000.0,13520867000.0,13552891000.0
2025.0,13399156000.0,13576757000.0,13520322000.0,13584464000.0,13304103000.0,13403436000.0,13400331000.0,13354741000.0,13493687000.0,13285513000.0,13474300000.0,13577876000.0,13446116000.0
2026.0,13229347000.0,13348766000.0,13349406000.0,13456910000.0,13122583000.0,13283444000.0,13369063000.0,13333951000.0,13340311000.0,13119013000.0,13572294000.0,13223112000.0,13273255000.0
2027.0,13019725000.0,13225986000.0,13100189000.0,13401327000.0,12908703000.0,13233226000.0,13179790000.0,13105842000.0,13200306000.0,12874481000.0,13397654000.0,13125583000.0,13163471000.0
2028.0,12783122000.0,13128746000.0,12846914000.0,13253194000.0,12759563000.0,13016854000.0,12975151000.0,13024562000.0,13312711000.0,12767099000.0,13272192000.0,12896339000.0,13039629000.0
2029.0,12571022000.0,13141859000.0,12920909000.0,13375916000.0,12435705000.0,12789050000.0,12701550000.0,12779666000.0,13015238000.0,12506371000.0,13163133000.0,12607890000.0,13192974000.0
2030.0,12346275000.0,12883215000.0,12727383000.0,13074007000.0,12129890000.0,12534150000.0,12726217000.0,12628877000.0,12819015000.0,12250532000.0,13154121000.0,12351939000.0,12837561000.0
2031.0,12130246000.0,12759048000.0,12647312000.0,13214778000.0,11916617000.0,12359891000.0,12457902000.0,12323676000.0,12682167000.0,12084743000.0,13314632000.0,12115225000.0,12671475000.0
2032.0,11855501000.0,12627252000.0,12324099000.0,12918706000.0,11600098000.0,12140499000.0,12197546000.0,12171044000.0,12557153000.0,11926008000.0,12904767000.0,11943002000.0,12504149000.0
2033.0,11709608000.0,12472645000.0,12432745000.0,12823063000.0,11420035000.0,12290007000.0,12069761000.0,12332896000.0,12328229000.0,11541624000.0,12754336000.0,11727057000.0,12326261000.0
2034.0,11470099000.0,12285275000.0,11958361000.0,12507708000.0,11351381000.0,11880449000.0,11848790000.0,11881088000.0,12212579000.0,11176935000.0,13031230000.0,11385998000.0,12179321000.0
2035.0,11203697000.0,12267992000.0,11778380000.0,12367151000.0,11352178000.0,11768669000.0,11722710000.0,11682497000.0,12041028000.0,10750618000.0,12525976000.0,11128454000.0,11910537000.0
2036.0,10849640000.0,12029134000.0,11922969000.0,12180740000.0,11035381000.0,11453352000.0,11515365000.0,11425512000.0,11821165000.0,10511079000.0,12552372000.0,10801016000.0,11811208000.0
2037.0,10709911000.0,11975866000.0,11669620000.0,11972476000.0,10729330000.0,11164174000.0,11251825000.0,11289167000.0,11620339000.0,10222835000.0,12576750000.0,10650185000.0,11464838000.0
2038.0,10361128000.0,11624138000.0,11368618000.0,11816496000.0,10319547000.0,10878458000.0,10933320000.0,11044326000.0,11424729000.0,9829433000.0,12364249000.0,10311405000.0,11268423000.0
2039.0,10207667000.0,11683280000.0,11261216000.0,11797844000.0,10002910000.0,10833708000.0,10710084000.0,10745701000.0,11176038000.0,9576236000.0,12276437000.0,10173642000.0,11083347000.0
2040.0,9922625000.0,11497021000.0,10956244000.0,11499062000.0,9691936000.0,10486456000.0,10480898000.0,10359012000.0,10985391000.0,9393040000.0,13110743000.0,9886013000.0,10888881000.0
2041.0,9567942000.0,11199645000.0,10703920000.0,11338754000.0,9520236000.0,10291483000.0,10290566000.0,10336077000.0,10791690000.0,9140451000.0,12572688000.0,9708727000.0,10709151000.0
2042.0,9158591000.0,11011223000.0,10509822000.0,11096675000.0,9194445000.0,10139409000.0,10008879000.0,9929613000.0,10668419000.0,8868907000.0,12216086000.0,9428425000.0,10514366000.0
2043.0,8951500000.0,10750429000.0,10266685000.0,10986412000.0,8866017000.0,9838444000.0,9823727000.0,9783736000.0,10706594000.0,8587876400.0,11962110000.0,9176833000.0,10290276000.0
2044.0,8739336000.0,10595011000.0,10001154000.0,10683561000.0,8583382500.0,9696825000.0,9479523000.0,9415675000.0,10408289000.0,8330644500.0,11889354000.0,8871600000.0,10152738000.0
2045.0,8490510300.0,10408166000.0,9822964000.0,10576323000.0,8200910000.0,9590808000.0,9292541000.0,9033450000.0,10200368000.0,8029548500.0,12810596000.0,8732335000.0,9948158000.0
2046.0,8321252000.0,10130294000.0,9433358000.0,10420144000.0,7997826600.0,9255535000.0,9067107000.0,8671772000.0,9945305000.0,7771870700.0,12018220000.0,8561820000.0,9680392000.0
2047.0,8123659000.0,9940084000.0,9170382000.0,10204109000.0,7700052500.0,9056212000.0,8810093000.0,8357035500.0,9826813000.0,7589126000.0,11869740000.0,8240306700.0,9416648000.0
2048.0,7875100000.0,9633878000.0,8907731000.0,9999807000.0,7510514700.0,8744259000.0,8541026000.0,8081085400.0,9569653000.0,7525442600.0,11594375000.0,8102429700.0,9218661000.0
2049.0,7632660500.0,9370690000.0,8712586000.0,9746223000.0,7253036000.0,8680941000.0,8452956700.0,7897942000.0,9432142000.0,7195996700.0,11543249000.0,7857174000.0,9029123000.0
2050.0,7362021400.0,9187953000.0,8500540000.0,9556009000.0,6978604500.0,8459289600.0,8414782000.0,7532363000.0,9099469000.0,7006904300.0,11430236000.0,7752088600.0,8825190000.0
2051.0,7086513700.0,8959613000.0,8520521700.0,9343793000.0,6792503300.0,8238684000.0,8032396000.0,7183701500.0,8896115000.0,6532755500.0,11255947000.0,7435154000.0,8688774000.0
2052.0,6842038300.0,8974578000.0,8142550000.0,9116828000.0,6467520500.0,8050616000.0,7729137000.0,6851375600.0,8733972000.0,6355695600.0,11191778000.0,7242063000.0,8493837300.0
