time,MRI-ESM2-0
2000.0,15416121000.0
2001.0,14969346000.0
2002.0,14923514000.0
2003.0,14822442000.0
2004.0,14758252000.0
2005.0,14744956000.0
2006.0,14864852000.0
2007.0,14713094000.0
2008.0,15021565000.0
2009.0,14801224000.0
2010.0,14661983000.0
2011.0,14740180000.0
2012.0,14747525000.0
2013.0,14613520000.0
2014.0,14402971000.0
2015.0,14329986000.0
2016.0,14229366000.0
2017.0,14186502000.0
2018.0,14113355000.0
2019.0,14035911000.0
2020.0,13948543000.0
2021.0,13911721000.0
2022.0,13799369000.0
2023.0,13621530000.0
2024.0,13413124000.0
2025.0,13349775000.0
2026.0,13219393000.0
2027.0,13094388000.0
2028.0,13009727000.0
2029.0,12775635000.0
2030.0,13112556000.0
2031.0,12527725000.0
2032.0,12268107000.0
2033.0,12096684000.0
2034.0,12399302000.0
2035.0,12123514000.0
2036.0,11709824000.0
2037.0,11488632000.0
2038.0,11406086000.0
2039.0,11211078000.0
2040.0,10948224000.0
2041.0,10720770000.0
2042.0,10488271000.0
2043.0,10375698000.0
2044.0,10082389000.0
2045.0,9866523000.0
2046.0,9606347000.0
2047.0,9359716000.0
2048.0,9014949000.0
2049.0,8770279000.0
2050.0,9335494000.0
2051.0,8735256000.0
2052.0,8489097700.0
2053.0,8312057300.0
2054.0,8052946400.0
2055.0,7898177500.0
2056.0,7688465400.0
2057.0,7463381500.0
2058.0,7140636700.0
2059.0,6956229600.0
2060.0,6770917400.0
2061.0,6568120000.0
2062.0,6587462700.0
2063.0,6356441000.0
2064.0,6207626000.0
2065.0,5982488600.0
2066.0,5805638000.0
2067.0,5543115300.0
2068.0,5322803700.0
2069.0,5147732500.0
2070.0,4972513300.0
2071.0,4764814300.0
2072.0,4605100500.0
2073.0,4505833500.0
2074.0,4373659000.0
2075.0,4263483100.0
2076.0,4092641300.0
2077.0,4376524300.0
2078.0,4018563800.0
2079.0,3906786300.0
2080.0,3839259000.0
2081.0,3869704000.0
2082.0,3666002400.0
2083.0,3587535600.0
2084.0,3549538600.0
2085.0,3461946000.0
2086.0,3398243600.0
2087.0,3288543500.0
2088.0,3184447200.0
2089.0,3072395500.0
2090.0,2982860500.0
2091.0,2929067000.0
2092.0,2841659400.0
2093.0,2780003300.0
2094.0,2768484600.0
2095.0,2723324200.0
2096.0,2625179000.0
2097.0,2515184400.0
2098.0,2455308000.0
2099.0,2384425700.0
2100.0,2268038000.0
