time,FGOALS-F3-L,NORESM2-MM,ACCESS-CM2,CESM2,INM-CM5-0,ACCESS-ESM1-5,TAIESM1,CAMS-CSM1-0,BCC-CSM2-MR,CMCC-CM2-SR5,IPSL-CM6A-LR,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,EC-EARTH3,MPI-ESM1-2-HR,CESM2-WACCM,INM-CM4-8,CANESM5
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
