time,IPSL-CM6A-LR,TAIESM1,IITM-ESM,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4,UKESM1-0-LL,KACE-1-0-G,MRI-ESM2-0
2000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0
2001.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0
2002.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0
2003.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0
2004.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0
2005.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0
2006.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0
2007.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0
2008.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0
2009.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0
2010.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0
2011.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0
2012.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0
2013.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0
2014.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0
2015.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0
2016.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0
2017.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0
2018.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0
2019.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0
2020.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0
2021.0,2650753000.0,2611059500.0,2776129300.0,2687780600.0,2641281000.0,2630338600.0,2623136500.0,2623046700.0,2624100900.0
2022.0,2626880500.0,2586002400.0,2695617800.0,2632416800.0,2644556000.0,2618097000.0,2608632000.0,2608504600.0,2605156900.0
2023.0,2731392300.0,2569430500.0,2622143200.0,2616361000.0,2612487400.0,2601749800.0,2590106000.0,2594444300.0,2597425200.0
2024.0,2621813200.0,2556983300.0,2691805700.0,2625939200.0,2600191700.0,2584878000.0,2549494800.0,2581807600.0,2581981700.0
2025.0,2600723200.0,2575283000.0,2605289000.0,2595555800.0,2595466500.0,2576900600.0,2522372000.0,2566279700.0,2560805000.0
2026.0,2588153900.0,2520020700.0,2588860000.0,2571660300.0,2658144300.0,2559290000.0,2505621000.0,2539940000.0,2539710200.0
2027.0,2572458000.0,2493133000.0,2572581400.0,2552083000.0,2630158300.0,2533822200.0,2482805500.0,2569616000.0,2506219800.0
2028.0,2549795800.0,2485980400.0,2559308800.0,2542636000.0,2602333200.0,2516643300.0,2467773000.0,2502337500.0,2484138200.0
2029.0,2526836000.0,2448603600.0,2544131800.0,2528265700.0,2580671500.0,2498571300.0,2433860900.0,2475014000.0,2456325400.0
2030.0,2506969300.0,2433595600.0,2536461000.0,2500376800.0,2562766300.0,2482411800.0,2401321500.0,2440551000.0,2422394400.0
2031.0,2475450000.0,2402406700.0,2517484300.0,2482549800.0,2540127200.0,2468769800.0,2343891700.0,2384363500.0,2412734700.0
2032.0,2433616400.0,2404805400.0,2519601400.0,2563261000.0,2526271700.0,2437944300.0,2288143000.0,2303808500.0,2389470200.0
2033.0,2402275000.0,2348700000.0,2535319300.0,2474496500.0,2673564700.0,2417084400.0,2235035100.0,2256262100.0,2364245500.0
2034.0,2369070600.0,2319523000.0,2484016400.0,2494942200.0,2572087000.0,2395003600.0,2163423200.0,2197879600.0,2334417000.0
2035.0,2332770000.0,2279441700.0,2457939000.0,2487103700.0,2533129700.0,2384109600.0,2084370800.0,2134820000.0,2301918500.0
2036.0,2297212200.0,2277772800.0,2436674000.0,2430290700.0,2493396200.0,2339716900.0,2036203800.0,2061430100.0,2303692300.0
2037.0,2263119600.0,2174471400.0,2425594400.0,2542018000.0,2469489000.0,2322542000.0,1937982500.0,1972932100.0,2246558700.0
2038.0,2230651600.0,2114526300.0,2417958000.0,2391509500.0,2445080000.0,2281905000.0,1837004900.0,1852847500.0,2302551600.0
2039.0,2220514600.0,2054450300.0,2436759600.0,2355818800.0,2526633700.0,2235359000.0,1768982900.0,1778191700.0,2157019000.0
2040.0,2165036300.0,1975564500.0,2465704200.0,2371701500.0,2533261800.0,2203419600.0,1713446900.0,1722718100.0,2115121300.0
2041.0,2153914600.0,2032461700.0,2379759900.0,2309219000.0,2655579100.0,2161642800.0,1639090800.0,1614788400.0,2055343100.0
2042.0,2103154800.0,1903056300.0,2348024300.0,2295496200.0,2484762400.0,2137700500.0,1543224000.0,1567260400.0,1998523800.0
2043.0,2054057700.0,1870781700.0,2327667000.0,2479627000.0,2551750400.0,2087331800.0,1493466600.0,1442310100.0,1932398100.0
2044.0,2063000300.0,1810740500.0,2322037800.0,2243133000.0,2439011300.0,2045908500.0,1429341700.0,1381048700.0,1913838800.0
2045.0,2010639100.0,1759137200.0,2302293200.0,2180599000.0,2423302400.0,2026497900.0,1352420500.0,1356074800.0,1875704200.0
2046.0,1939886100.0,1695456500.0,2286001700.0,2178164700.0,2415168500.0,1993376900.0,1284107000.0,1315909200.0,1851268000.0
2047.0,1908829700.0,1645042700.0,2323109400.0,2108792000.0,2379827000.0,2004398300.0,1218647600.0,1276878800.0,1814663000.0
2048.0,1859814000.0,1587589000.0,2265065700.0,2098931500.0,2373955000.0,1920782600.0,1168441300.0,1225774600.0,1794015500.0
2049.0,1828060900.0,1508259100.0,2278376000.0,2052302100.0,2351894500.0,1875342300.0,1124308200.0,1167458000.0,1763301500.0
2050.0,1765783000.0,1440579000.0,2198069500.0,2009773000.0,2336632300.0,1854588700.0,1084483600.0,1127662800.0,1781582300.0
