time,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,2737644000.0,2737644000.0
2001.0,2764141000.0,2764141000.0
2002.0,2736113700.0,2736113700.0
2003.0,2713224700.0,2713224700.0
2004.0,2716989400.0,2716989400.0
2005.0,2703320300.0,2703320300.0
2006.0,2719060500.0,2719060500.0
2007.0,2693394700.0,2693394700.0
2008.0,2723574500.0,2723574500.0
2009.0,2704474600.0,2704474600.0
2010.0,2684407800.0,2684407800.0
2011.0,2684761900.0,2684761900.0
2012.0,2687034000.0,2687034000.0
2013.0,2699544800.0,2699544800.0
2014.0,2672770300.0,2672770300.0
2015.0,2661593300.0,2661593300.0
2016.0,2726433500.0,2726433500.0
2017.0,2658657300.0,2658657300.0
2018.0,2669554700.0,2669554700.0
2019.0,2640114700.0,2640114700.0
2020.0,2642841600.0,2642841600.0
2021.0,2659740700.0,2617826600.0
2022.0,2666146800.0,2600943600.0
2023.0,2632757200.0,2587623200.0
2024.0,2619669200.0,2583183400.0
2025.0,2600648000.0,2564564700.0
2026.0,2583941000.0,2554094800.0
2027.0,2575319300.0,2538522400.0
2028.0,2565149700.0,2510824000.0
2029.0,2545148700.0,2485453000.0
2030.0,2540527900.0,2433510100.0
2031.0,2526144000.0,2407859000.0
2032.0,2617370600.0,2396583400.0
2033.0,2510154000.0,2367422200.0
2034.0,2516294400.0,2399555800.0
2035.0,2480296400.0,2321334800.0
2036.0,2460054800.0,2290406400.0
2037.0,2470512400.0,2273547000.0
2038.0,2431599600.0,2235287000.0
2039.0,2403537700.0,2204963300.0
2040.0,2401939000.0,2168850000.0
2041.0,2351230000.0,2149340000.0
2042.0,2339565300.0,2148049700.0
2043.0,2305791000.0,2091555600.0
2044.0,2272746500.0,2045594100.0
2045.0,2232388400.0,2011298300.0
2046.0,2202552600.0,1954652200.0
2047.0,2167072000.0,1913336700.0
2048.0,2124013300.0,1879972900.0
2049.0,2094885800.0,1849463900.0
2050.0,2057168500.0,1812595800.0
2051.0,2004631300.0,1758327700.0
2052.0,1989838100.0,1709525000.0
2053.0,1986400800.0,1682614700.0
2054.0,1912409700.0,1680478200.0
2055.0,1894775300.0,1605786400.0
2056.0,1821474000.0,1585145200.0
2057.0,1760262800.0,1536830800.0
2058.0,1709259600.0,1501423400.0
2059.0,1674447200.0,1466894600.0
2060.0,1667794600.0,1414322300.0
2061.0,1620396400.0,1466673800.0
2062.0,1543744300.0,1451924700.0
2063.0,1465135700.0,1351718100.0
2064.0,1427747500.0,1318241000.0
2065.0,1370670700.0,1288430700.0
2066.0,1309513500.0,1298346500.0
2067.0,1257960600.0,1246656800.0
2068.0,1234315400.0,1360303900.0
2069.0,1169036900.0,1238697200.0
2070.0,1118504400.0,1209523300.0
2071.0,1077033200.0,1161097000.0
2072.0,1018788740.0,1128913000.0
2073.0,975201800.0,1250547200.0
2074.0,940724700.0,1169962400.0
2075.0,905463940.0,1111614000.0
2076.0,872713800.0,1092694500.0
2077.0,836631740.0,1064830600.0
2078.0,800501250.0,1038149500.0
2079.0,772438000.0,1008330900.0
2080.0,733873660.0,987867600.0
2081.0,697552900.0,1003156350.0
2082.0,658882100.0,956635600.0
2083.0,676088450.0,935286850.0
2084.0,617407360.0,917606460.0
2085.0,584206300.0,928278100.0
2086.0,553918800.0,900872770.0
2087.0,525575780.0,873799800.0
2088.0,507243400.0,913785000.0
2089.0,535838080.0,846528500.0
2090.0,476117470.0,824265660.0
2091.0,447309470.0,855372300.0
2092.0,426280960.0,801846400.0
2093.0,408929920.0,786062000.0
2094.0,392176500.0,803231550.0
2095.0,380684160.0,769240800.0
2096.0,361975500.0,744562600.0
2097.0,356370140.0,726215000.0
2098.0,337316320.0,759059300.0
2099.0,322474700.0,727496060.0
2100.0,309390900.0,694453600.0
