time,CESM1-CAM5,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0
2019.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2366283800.0,2279655200.0,2269519600.0,2334843100.0
2022.0,2288443000.0,2341303000.0,2244704300.0,2303635000.0
2023.0,2243524400.0,2243381800.0,2225911300.0,2236349200.0
2024.0,2247836200.0,2274830800.0,2203545600.0,2212810800.0
2025.0,2192726300.0,2222735600.0,2162028000.0,2188998400.0
2026.0,2172069000.0,2292787200.0,2175167500.0,2172856800.0
2027.0,2147800800.0,2207405600.0,2091790800.0,2130924200.0
2028.0,2109739800.0,2154644000.0,2091431700.0,2115701800.0
2029.0,2092130400.0,2097083800.0,2035946500.0,2203951400.0
2030.0,2185109200.0,2042675800.0,2008316400.0,2112936700.0
2031.0,2041248000.0,2033908900.0,1984599300.0,2091558000.0
2032.0,2001057900.0,2033039000.0,1939811000.0,2066649500.0
2033.0,1942381300.0,2030477000.0,1925282600.0,2021769200.0
2034.0,2001457900.0,1955871700.0,1873006300.0,1980043600.0
2035.0,1906765700.0,1906954200.0,1856091300.0,1940565600.0
2036.0,1849628500.0,1891693000.0,1815875300.0,1898858400.0
2037.0,1807515500.0,1826564700.0,1792474400.0,1876039300.0
2038.0,1758808800.0,1764150500.0,1776901800.0,1842637300.0
2039.0,1715079300.0,1730786300.0,1713864400.0,1799181700.0
2040.0,1683078300.0,1762607200.0,1662598700.0,1741715800.0
2041.0,1623760900.0,1704997400.0,1624674000.0,1719795600.0
2042.0,1574466400.0,1663989600.0,1592158200.0,1687151000.0
2043.0,1563487500.0,1609540100.0,1569031400.0,1630492200.0
2044.0,1501151900.0,1559402600.0,1511845200.0,1579005800.0
2045.0,1445026300.0,1508791900.0,1482066200.0,1543377700.0
2046.0,1413891000.0,1506505200.0,1442644600.0,1494533600.0
2047.0,1351557000.0,1443797600.0,1426286300.0,1450906400.0
2048.0,1310446300.0,1401362200.0,1358082300.0,1414312700.0
2049.0,1260670200.0,1409077500.0,1312403100.0,1414452100.0
2050.0,1219775900.0,1349128000.0,1282597900.0,1332267900.0
2051.0,1176117800.0,1299161000.0,1238948900.0,1280100500.0
2052.0,1133124200.0,1255378000.0,1201245600.0,1228801300.0
2053.0,1084315000.0,1235046300.0,1172106100.0,1201559400.0
2054.0,1041491000.0,1216529400.0,1125910500.0,1160155400.0
2055.0,1000862600.0,1154067800.0,1081435600.0,1159829400.0
2056.0,947113500.0,1158273000.0,1035116200.0,1091037400.0
2057.0,902748300.0,1105645200.0,997938300.0,1069251100.0
2058.0,866475400.0,1089891800.0,950495040.0,1029020000.0
2059.0,833468160.0,1027231000.0,913717800.0,986900000.0
2060.0,788444860.0,995253800.0,890122400.0,951380030.0
2061.0,752157630.0,989552640.0,858454000.0,920580160.0
2062.0,719514300.0,975762560.0,822455900.0,885992770.0
2063.0,695081700.0,930025660.0,796519500.0,888263400.0
2064.0,668901000.0,912076400.0,765270200.0,827223040.0
2065.0,631336900.0,875415360.0,741089400.0,789707000.0
2066.0,598046000.0,854741200.0,711427300.0,779632200.0
2067.0,578219400.0,836628900.0,686600960.0,739276700.0
2068.0,553991600.0,818944400.0,663221600.0,717692100.0
2069.0,524153000.0,807154400.0,631328260.0,705375550.0
2070.0,507651800.0,776416960.0,609152500.0,669086900.0
2071.0,506855300.0,774755840.0,589298560.0,651750300.0
2072.0,477997250.0,743539800.0,571643840.0,633942300.0
2073.0,460947140.0,716606340.0,553634600.0,632032640.0
2074.0,443591940.0,714491400.0,535682430.0,617132700.0
2075.0,423589630.0,698640700.0,512098500.0,584627200.0
2076.0,401980770.0,676156200.0,494183780.0,584759600.0
2077.0,384703550.0,684839900.0,469661660.0,557273000.0
2078.0,370176300.0,659884200.0,450917950.0,540252500.0
2079.0,358193400.0,643778940.0,437953020.0,543580200.0
2080.0,344411680.0,749437000.0,428029600.0,507591300.0
2081.0,331320860.0,650069000.0,424159230.0,495106530.0
2082.0,324072500.0,627456700.0,398397730.0,480702270.0
2083.0,311107460.0,590615200.0,422931520.0,466522050.0
2084.0,303382050.0,602265860.0,379830940.0,473341220.0
2085.0,293819780.0,602385900.0,368061300.0,458524670.0
2086.0,290083680.0,601918400.0,351789600.0,474107230.0
2087.0,276138900.0,616249540.0,343402880.0,446817180.0
2088.0,265630900.0,598251650.0,332832400.0,425872220.0
2089.0,260313540.0,552057100.0,327860350.0,491384830.0
2090.0,255270130.0,549464400.0,323628960.0,478094530.0
2091.0,245790060.0,525892300.0,308816420.0,441427900.0
2092.0,251323860.0,500429900.0,300741060.0,580690700.0
2093.0,237684930.0,489582600.0,291606240.0,480022050.0
2094.0,237075870.0,505315420.0,282763140.0,425703330.0
2095.0,235557800.0,478349020.0,274066900.0,527354500.0
2096.0,228129020.0,468415460.0,266917360.0,436413630.0
2097.0,224320750.0,461580130.0,265673860.0,432669380.0
2098.0,238192380.0,453944640.0,255331650.0,390184600.0
2099.0,215625700.0,466398500.0,257436100.0,378562980.0
2100.0,212670200.0,444962940.0,244409500.0,374377470.0
2101.0,210955820.0,435295200.0,239761040.0,389205340.0
2102.0,204576780.0,432184500.0,239355700.0,363422940.0
2103.0,202957150.0,456834700.0,230900480.0,360823070.0
2104.0,200527120.0,445596770.0,227418290.0,388109300.0
2105.0,198697140.0,423381220.0,222993700.0,351534980.0
2106.0,208580670.0,438334270.0,217542160.0,353158270.0
2107.0,218429340.0,422570300.0,212733920.0,364415970.0
2108.0,196561890.0,402371870.0,208849380.0,339153440.0
2109.0,191240260.0,405591230.0,206196640.0,347768960.0
2110.0,189985940.0,393234460.0,202076880.0,352510620.0
2111.0,188821730.0,385418430.0,204943310.0,329361150.0
2112.0,187115090.0,379584300.0,200709860.0,342520670.0
2113.0,186796050.0,375294820.0,195215520.0,350363170.0
2114.0,185193380.0,364782340.0,194050450.0,320861700.0
2115.0,182062530.0,373941120.0,191824200.0,328974530.0
2116.0,180263520.0,355923070.0,190335500.0,314745380.0
2117.0,184702580.0,368305860.0,188724450.0,315098600.0
2118.0,180108620.0,347692300.0,186269900.0,310853760.0
2119.0,183532750.0,393342200.0,183566160.0,340210430.0
2120.0,178825100.0,357491870.0,183453780.0,302429400.0
2121.0,178446910.0,344050800.0,179367460.0,298105900.0
2122.0,185897250.0,334698980.0,177586270.0,302517600.0
2123.0,176414190.0,324942370.0,177183700.0,295268130.0
2124.0,178459650.0,324626500.0,175163630.0,285617700.0
2125.0,173469520.0,328821380.0,175332160.0,282720350.0
2126.0,175234160.0,318216420.0,171265220.0,277797660.0
2127.0,173437810.0,317868450.0,170098720.0,278464100.0
2128.0,174634860.0,314982300.0,169188080.0,272894980.0
2129.0,173838380.0,311282850.0,166050980.0,269569600.0
2130.0,172256530.0,305898850.0,165916850.0,268845400.0
2131.0,171568540.0,300913760.0,163782940.0,274518620.0
2132.0,172664270.0,301009600.0,161962200.0,259874540.0
2133.0,171790880.0,296523200.0,160799740.0,250181660.0
2134.0,188821200.0,299895550.0,160373540.0,244778780.0
2135.0,175007790.0,291150000.0,159420560.0,261205010.0
2136.0,168442750.0,287068450.0,162534530.0,242416530.0
2137.0,167674180.0,282469380.0,157229440.0,233271680.0
2138.0,169770260.0,285430720.0,156809980.0,235591200.0
2139.0,166475490.0,280135100.0,154826060.0,250418370.0
2140.0,167938850.0,302414180.0,154817970.0,262528960.0
