time,CANESM2,CESM1-CAM5,MPI-ESM-LR
2000.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0
2019.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2295132700.0,2283803100.0,2284996400.0
2022.0,2253049000.0,2295802600.0,2239866400.0
2023.0,2247429000.0,2427737600.0,2241928200.0
2024.0,2214118000.0,2234742500.0,2218180900.0
2025.0,2191474700.0,2219092500.0,2242943500.0
2026.0,2167732700.0,2170300000.0,2170146000.0
2027.0,2119291900.0,2131543200.0,2135854800.0
2028.0,2097994100.0,2260655400.0,2153267000.0
2029.0,2066158000.0,2139338600.0,2058524300.0
2030.0,2026027800.0,2071172500.0,2024794200.0
2031.0,1980070000.0,2020959200.0,2003998700.0
2032.0,1951578800.0,1991952800.0,1972181000.0
2033.0,1929092600.0,1940076200.0,1935607000.0
2034.0,1888900400.0,1911620900.0,1911735700.0
2035.0,1860950900.0,1870870900.0,1856755600.0
2036.0,1812803600.0,1820504400.0,1821792800.0
