time,CESM2-WACCM,IPSL-CM6A-LR,ACCESS-ESM1-5,MRI-ESM2-0,CANESM5,ACCESS-CM2
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,87330210000.0,87654375000.0,87535520000.0,87237200000.0,87404810000.0,87401290000.0
2022.0,87230490000.0,87370330000.0,87388430000.0,87112790000.0,88292020000.0,87120250000.0
2023.0,87460550000.0,87214670000.0,87215000000.0,86855350000.0,87616225000.0,86990020000.0
2024.0,86991470000.0,87613960000.0,87108760000.0,86722780000.0,87486630000.0,87474760000.0
2025.0,86745465000.0,86985210000.0,86985790000.0,86455755000.0,86999640000.0,87116940000.0
2026.0,86546694000.0,86871800000.0,86800120000.0,86225486000.0,86722830000.0,87324310000.0
2027.0,86304130000.0,87038240000.0,86773040000.0,86017050000.0,86515925000.0,86902780000.0
2028.0,86161695000.0,86665260000.0,86443470000.0,85736950000.0,86832366000.0,86618330000.0
2029.0,86080200000.0,86719260000.0,86317450000.0,85521130000.0,86339760000.0,86270540000.0
2030.0,85861270000.0,86417150000.0,86127970000.0,85288620000.0,86092950000.0,86202786000.0
2031.0,85615680000.0,86786376000.0,86011126000.0,85004670000.0,85864060000.0,85837100000.0
2032.0,85354790000.0,86698180000.0,85927150000.0,84659870000.0,85626855000.0,85590480000.0
2033.0,85245305000.0,85963870000.0,85748556000.0,84913100000.0,85274280000.0,86425420000.0
2034.0,85143765000.0,85870940000.0,85689950000.0,84303630000.0,85060680000.0,85948760000.0
2035.0,84769096000.0,85485910000.0,85382410000.0,83859400000.0,84651180000.0,85235090000.0
2036.0,84453150000.0,85159670000.0,85132165000.0,83557290000.0,84322206000.0,85314200000.0
2037.0,84097370000.0,85101220000.0,85386490000.0,83295560000.0,84026700000.0,85266380000.0
2038.0,83958710000.0,84978024000.0,85170280000.0,82886890000.0,83634135000.0,85282820000.0
2039.0,83651530000.0,84682030000.0,84946970000.0,82753050000.0,83191540000.0,84481384000.0
2040.0,83274170000.0,84425245000.0,84751020000.0,82367290000.0,82864000000.0,84263230000.0
2041.0,82884130000.0,84842725000.0,84574770000.0,82057200000.0,82444830000.0,83794430000.0
2042.0,82739175000.0,84182640000.0,84297690000.0,81945340000.0,81986650000.0,83454530000.0
2043.0,82242640000.0,84632610000.0,84433130000.0,82381955000.0,81778150000.0,83218840000.0
2044.0,82102310000.0,83789760000.0,83799010000.0,81859900000.0,81318280000.0,82832890000.0
2045.0,81699330000.0,83775906000.0,83547570000.0,81083245000.0,80754420000.0,82425800000.0
2046.0,81291200000.0,83972910000.0,83450630000.0,80465260000.0,80237945000.0,82026820000.0
2047.0,80885195000.0,83370115000.0,83067410000.0,79902100000.0,79838585000.0,81787126000.0
2048.0,80453665000.0,82781010000.0,82803220000.0,79667320000.0,79771120000.0,81254790000.0
2049.0,80049545000.0,82441090000.0,83083180000.0,79602970000.0,79149530000.0,80887276000.0
2050.0,79573170000.0,82135820000.0,82567050000.0,78973560000.0,78882010000.0,80509180000.0
2051.0,79244770000.0,81827550000.0,82208980000.0,78619890000.0,78799454000.0,80014020000.0
2052.0,80186740000.0,81245080000.0,82154030000.0,78611366000.0,78262560000.0,79749644000.0
2053.0,78972250000.0,80910910000.0,81833210000.0,77945140000.0,77679430000.0,79123775000.0
2054.0,79458120000.0,80667540000.0,81479090000.0,77478220000.0,76962800000.0,78668130000.0
2055.0,78588040000.0,80486150000.0,81210120000.0,77072040000.0,76558360000.0,78277304000.0
2056.0,77974630000.0,80015160000.0,81177060000.0,76943570000.0,76089336000.0,77785070000.0
2057.0,77968580000.0,79911750000.0,81083120000.0,76340535000.0,75692080000.0,77483430000.0
2058.0,77724330000.0,79468495000.0,80676620000.0,75812860000.0,75092100000.0,77098730000.0
2059.0,77475370000.0,78905050000.0,80207454000.0,75483726000.0,74678340000.0,76629920000.0
2060.0,76621545000.0,78437070000.0,80363184000.0,75242020000.0,73844060000.0,76219750000.0
2061.0,76402745000.0,77956420000.0,80080370000.0,74878010000.0,73590510000.0,75726420000.0
2062.0,76037160000.0,77556350000.0,79698300000.0,74582590000.0,72993360000.0,75389090000.0
2063.0,75562980000.0,77159285000.0,79373300000.0,74039210000.0,72413270000.0,75119670000.0
2064.0,75326020000.0,76695480000.0,78894590000.0,74976740000.0,72550090000.0,74672280000.0
2065.0,75783570000.0,76504760000.0,78720040000.0,74446480000.0,71659220000.0,74287440000.0
2066.0,74858020000.0,75766830000.0,78381100000.0,74083740000.0,70760260000.0,74308630000.0
2067.0,74423080000.0,75252090000.0,78235600000.0,73547284000.0,70589120000.0,73931735000.0
2068.0,73984120000.0,75077420000.0,77960280000.0,73365830000.0,70064595000.0,73216300000.0
2069.0,73911410000.0,74476050000.0,77664190000.0,72517290000.0,69551530000.0,73000940000.0
2070.0,73818055000.0,74011320000.0,77304970000.0,72179606000.0,68886995000.0,72419960000.0
2071.0,73416606000.0,73596840000.0,77161680000.0,72402120000.0,68293200000.0,72143790000.0
2072.0,73270860000.0,72924480000.0,76926510000.0,71777510000.0,67811470000.0,71621990000.0
2073.0,73210370000.0,72336940000.0,76458620000.0,71688740000.0,67444970000.0,71223820000.0
2074.0,72400340000.0,72899265000.0,76392930000.0,71127745000.0,66737123000.0,70875640000.0
2075.0,72018870000.0,71826610000.0,75898610000.0,70773195000.0,66139525000.0,70550040000.0
2076.0,71801190000.0,71176040000.0,76232340000.0,71489570000.0,65609970000.0,70341124000.0
2077.0,72647820000.0,70843010000.0,75237700000.0,70621274000.0,65347420000.0,70015160000.0
2078.0,71320270000.0,70273950000.0,74869965000.0,73869000000.0,64704864000.0,69510510000.0
2079.0,71382790000.0,70281230000.0,74399930000.0,70854430000.0,64256336000.0,68928070000.0
2080.0,70383310000.0,70292030000.0,74201375000.0,70858916000.0,64138360000.0,68510290000.0
2081.0,69853364000.0,69214170000.0,73802890000.0,70641930000.0,63593906000.0,68074690000.0
2082.0,70132370000.0,69620490000.0,73465970000.0,69629850000.0,62860902000.0,67783040000.0
2083.0,69475780000.0,68413310000.0,73108230000.0,69063130000.0,62498650000.0,68043866000.0
2084.0,68956800000.0,68128440000.0,73087310000.0,68875890000.0,62029672000.0,67043520000.0
2085.0,68364090000.0,67804844000.0,72925350000.0,68755030000.0,61664750000.0,66570600000.0
2086.0,67928187000.0,66978800000.0,72408040000.0,69234890000.0,61149010000.0,67053960000.0
2087.0,67401585000.0,66606834000.0,72117790000.0,68482580000.0,60915020000.0,65813910000.0
2088.0,67082215000.0,66298940000.0,71620256000.0,67834896000.0,60286284000.0,65225396000.0
2089.0,66623324000.0,65734185000.0,71873040000.0,68253905000.0,59949420000.0,64734070000.0
2090.0,66246443000.0,65201290000.0,71511800000.0,67500110000.0,60204175000.0,64471446000.0
2091.0,66019930000.0,64954655000.0,71140516000.0,67618017000.0,59302707000.0,63992357000.0
2092.0,68026135000.0,65273442000.0,70944890000.0,67566998000.0,58929013000.0,63583023000.0
2093.0,66349957000.0,64407327000.0,70424200000.0,68358316000.0,59396825000.0,64854036000.0
2094.0,66043646000.0,64401195000.0,70688104000.0,67237315000.0,58405925000.0,63198814000.0
2095.0,64938710000.0,63267873000.0,70515760000.0,68701010000.0,57934127000.0,62665146000.0
2096.0,64294380000.0,62653130000.0,70989220000.0,67231146000.0,57565135000.0,62151040000.0
2097.0,64296305000.0,62226973000.0,70011730000.0,66637636000.0,57079747000.0,62017280000.0
2098.0,63876610000.0,62343614000.0,69433780000.0,66719592000.0,58145900000.0,61602914000.0
2099.0,63505093000.0,62021410000.0,69387340000.0,66314748000.0,57428810000.0,61036413000.0
2100.0,62934077000.0,61511300000.0,69180470000.0,66572640000.0,56058085000.0,60557580000.0
2101.0,62864950000.0,60998447000.0,68798380000.0,65817280000.0,55640270000.0,61367800000.0
2102.0,62234920000.0,61755384000.0,68603503000.0,66246660000.0,55503200000.0,60054213000.0
2103.0,61746310000.0,60910625000.0,68156840000.0,72072080000.0,55556900000.0,59535487000.0
2104.0,61309743000.0,61062070000.0,67858470000.0,69724316000.0,55490490000.0,59401740000.0
2105.0,60881630000.0,60591720000.0,68012642000.0,69649060000.0,55537623000.0,58970104000.0
2106.0,60429160000.0,60102580000.0,67460250000.0,68672692000.0,55148294000.0,59209680000.0
2107.0,59887464000.0,60100470000.0,68754000000.0,67373230000.0,54222914000.0,58270446000.0
2108.0,59383357000.0,59195020000.0,67457700000.0,67607750000.0,53701490000.0,57761534000.0
2109.0,59075380000.0,59227685000.0,67078218000.0,67033180000.0,53462390000.0,57403520000.0
2110.0,59527217000.0,58598412000.0,66849665000.0,68075640000.0,53151195000.0,56985230000.0
2111.0,58414070000.0,59792260000.0,66478750000.0,67304972000.0,52858950000.0,56561836000.0
2112.0,57923510000.0,58094023000.0,66097590000.0,66466554000.0,52628038000.0,56172390000.0
2113.0,57561690000.0,58369696000.0,65985827000.0,65712550000.0,52439544000.0,55878083000.0
2114.0,57204756000.0,58320070000.0,66069967000.0,66075697000.0,51940980000.0,55426600000.0
2115.0,57250770000.0,57127408000.0,65507537000.0,65712062000.0,51641663000.0,55055720000.0
2116.0,56485585000.0,57480860000.0,65276740000.0,65532277000.0,51446837000.0,54842650000.0
2117.0,56368640000.0,56708088000.0,65747403000.0,67733234000.0,54239035000.0,56468140000.0
2118.0,55990526000.0,56384815000.0,64810058000.0,66989597000.0,51444765000.0,55283940000.0
2119.0,55455236000.0,55721464000.0,64545067000.0,66125017000.0,50893460000.0,56277463000.0
2120.0,55137636000.0,56821174000.0,64350840000.0,66308088000.0,50418590000.0,54576970000.0
2121.0,54651240000.0,56126590000.0,64682676000.0,65446085000.0,50288284000.0,53900160000.0
2122.0,53958693000.0,56070558000.0,63882660000.0,66001908000.0,49909006000.0,53320696000.0
2123.0,53562626000.0,55313945000.0,63909892000.0,67845750000.0,50390917000.0,54656848000.0
2124.0,53303170000.0,55104030000.0,63284510000.0,64386700000.0,49934643000.0,54618000000.0
2125.0,52856852000.0,54315024000.0,63148020000.0,64412330000.0,49540223000.0,52512950000.0
2126.0,52347810000.0,53970776000.0,62855430000.0,67267460000.0,49123350000.0,52077486000.0
2127.0,52129137000.0,53926023000.0,62510330000.0,66480886000.0,50291315000.0,51724173000.0
2128.0,53005520000.0,54031960000.0,62347223000.0,72092050000.0,48660740000.0,51490620000.0
2129.0,52019675000.0,54339180000.0,62706140000.0,70317050000.0,48986505000.0,51194930000.0
2130.0,51665610000.0,54556720000.0,63386540000.0,67910955000.0,48422660000.0,51103134000.0
2131.0,51698938000.0,52907770000.0,62556650000.0,67703810000.0,48885735000.0,50579145000.0
2132.0,51203658000.0,52548338000.0,61948140000.0,66662203000.0,48396570000.0,51218366000.0
2133.0,50526196000.0,52826200000.0,61552440000.0,67920753000.0,49122990000.0,50184870000.0
2134.0,50181444000.0,53171440000.0,61178954000.0,69904510000.0,49463583000.0,49678170000.0
2135.0,49916780000.0,52247290000.0,64659200000.0,69361590000.0,48166800000.0,49422356000.0
2136.0,49493870000.0,51920593000.0,61718573000.0,70076580000.0,47959890000.0,49633874000.0
2137.0,49476920000.0,52871483000.0,61874360000.0,67941626000.0,48437453000.0,49016226000.0
2138.0,49303327000.0,51621250000.0,61885560000.0,68276850000.0,50222862000.0,49257562000.0
2139.0,48669377000.0,51220926000.0,60978692000.0,71434410000.0,47684145000.0,48417680000.0
2140.0,48409510000.0,51016315000.0,60817596000.0,68553392000.0,46906085000.0,47974020000.0
