time,INM-CM5-0,INM-CM4-8,EC-EARTH3,CESM2,EC-EARTH3-VEG,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,MRI-ESM2-0
2000.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0
2001.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0
2002.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0
2003.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0
2004.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0
2005.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0
2006.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0
2007.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0
2008.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0
2009.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0
2010.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0
2011.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0
2012.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0
2013.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0
2014.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0
2015.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0
