time,CANESM5,MRI-ESM2-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4,TAIESM1,EC-EARTH3,ACCESS-CM2,IPSL-CM6A-LR,INM-CM5-0,INM-CM4-8,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,ACCESS-ESM1-5,EC-EARTH3-VEG,CESM2
2000.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0
2001.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0
2002.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0
2003.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0
2004.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0
2005.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0
2006.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0
2007.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0
2008.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0
2009.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0
