time,ACCESS-ESM1-5,EC-EARTH3-VEG,IPSL-CM6A-LR,GFDL-ESM4,CAMS-CSM1-0,CESM2-WACCM,CESM2,ACCESS-CM2,NORESM2-MM,TAIESM1,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,EC-EARTH3,CANESM5,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,CMCC-CM2-SR5
2000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0
2001.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0
2002.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0
2003.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0
2004.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0
2005.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0
2006.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0
2007.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0
2008.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0
2009.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0
2010.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0
2011.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0
2012.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0
2013.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0
2014.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0
2015.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0
2016.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0
2017.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0
2018.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0
2019.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0
2020.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0
2021.0,716510900000.0,722323300000.0,718295700000.0,721616500000.0,721157550000.0,719270300000.0,725012800000.0,718584550000.0,719259300000.0,722942000000.0,735116660000.0,720380700000.0,716383700000.0,721514460000.0,720994570000.0,714933860000.0,729952550000.0,717671500000.0,717683700000.0
2022.0,707245970000.0,708575560000.0,710221760000.0,711168200000.0,706398850000.0,698387330000.0,710370000000.0,711392560000.0,708293600000.0,711581500000.0,718963200000.0,703561800000.0,712551600000.0,707641900000.0,752636130000.0,698121650000.0,719936700000.0,705195500000.0,702167700000.0
2023.0,689657150000.0,701179300000.0,701465360000.0,699295000000.0,697860100000.0,675416440000.0,691654030000.0,706165340000.0,696521260000.0,699591000000.0,705404800000.0,695239400000.0,702440200000.0,692902170000.0,730686000000.0,684323960000.0,710563500000.0,698640600000.0,681166240000.0
2024.0,673146000000.0,694886470000.0,684240200000.0,674596650000.0,695793700000.0,657866700000.0,674896700000.0,691757700000.0,685979700000.0,689557700000.0,696438360000.0,684252700000.0,689405300000.0,683544700000.0,703565460000.0,666938600000.0,699205350000.0,684465600000.0,669968100000.0
2025.0,656768000000.0,680631200000.0,668603600000.0,661087000000.0,694023000000.0,637437740000.0,656865700000.0,689286740000.0,670704140000.0,672089640000.0,689985600000.0,671772200000.0,676045850000.0,665442800000.0,703773900000.0,653225300000.0,686653050000.0,672213200000.0,653924560000.0
2026.0,637787300000.0,670395600000.0,655327000000.0,640918500000.0,682331540000.0,619757760000.0,640296300000.0,680690800000.0,651785540000.0,662840500000.0,675156500000.0,660651200000.0,662239640000.0,657022000000.0,684495140000.0,631406460000.0,674141200000.0,665574100000.0,649073070000.0
2027.0,613817450000.0,656502400000.0,641180760000.0,634782940000.0,679502600000.0,606756400000.0,623429700000.0,675712900000.0,631546000000.0,642008900000.0,666646350000.0,651790700000.0,644880500000.0,641560100000.0,666519670000.0,616544100000.0,665065800000.0,652203100000.0,634222800000.0
2028.0,594522400000.0,639448100000.0,623639600000.0,618723900000.0,662891460000.0,590098700000.0,607234500000.0,665493440000.0,628968300000.0,624931240000.0,649742250000.0,637706100000.0,644139800000.0,631209600000.0,648068660000.0,598123800000.0,650649400000.0,636150800000.0,621320670000.0
2029.0,582572300000.0,622836300000.0,605513450000.0,617692600000.0,661682000000.0,571435800000.0,600407300000.0,643099070000.0,620445600000.0,608884700000.0,631913050000.0,623537000000.0,628932300000.0,617074660000.0,628194740000.0,584704900000.0,639477400000.0,620229900000.0,605074400000.0
2030.0,571152200000.0,606464700000.0,600316440000.0,599525160000.0,642360100000.0,557959940000.0,592899600000.0,628529800000.0,619379200000.0,590492400000.0,615591700000.0,605873800000.0,613569800000.0,605052600000.0,622825960000.0,562137200000.0,624629300000.0,607255000000.0,594013260000.0
2031.0,555867000000.0,589999700000.0,586404460000.0,592403900000.0,635772860000.0,545221180000.0,570624400000.0,621437300000.0,595210500000.0,572562200000.0,608282540000.0,598709960000.0,598855400000.0,595534940000.0,600108240000.0,542314800000.0,616930500000.0,597800500000.0,577725330000.0
