time,BCC-CSM2-MR,FGOALS-F3-L,CESM2,GFDL-ESM4,NORESM2-MM,EC-EARTH3-VEG,EC-EARTH3,INM-CM5-0,INM-CM4-8,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR
2000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0
2001.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0
2002.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0
2003.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0
2004.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0
2005.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0
2006.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0
2007.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0
2008.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0
2009.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0
2010.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0
2011.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0
2012.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0
2013.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0
2014.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0
2015.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0
2016.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0
2017.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0
2018.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0
2019.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0
2020.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0
2021.0,13734545000000.0,13735162000000.0,13740808000000.0,13718733000000.0,13736701000000.0,13731397000000.0,13730205000000.0,13729241000000.0,13751517000000.0,13734340000000.0,13747964000000.0,13743115000000.0,13787837000000.0,13753479000000.0
2022.0,13716552000000.0,13716536000000.0,13715628000000.0,13700150000000.0,13711514000000.0,13687710000000.0,13717989000000.0,13683596000000.0,13726079000000.0,13721379000000.0,13744814000000.0,13708599000000.0,13787678000000.0,13746668000000.0
2023.0,13678963000000.0,13704724000000.0,13694100000000.0,13698535000000.0,13706875000000.0,13659500000000.0,13688547000000.0,13637077000000.0,13699049000000.0,13705358000000.0,13719266000000.0,13681055000000.0,13790026000000.0,13725574000000.0
2024.0,13628835000000.0,13687487000000.0,13668978000000.0,13695684000000.0,13702923000000.0,13643110000000.0,13675217000000.0,13610702000000.0,13681279000000.0,13692924000000.0,13693428000000.0,13651541000000.0,13773715000000.0,13717486000000.0
2025.0,13617837000000.0,13668401000000.0,13649569000000.0,13667534000000.0,13707277000000.0,13616938000000.0,13632336000000.0,13587111000000.0,13643686000000.0,13674938000000.0,13667007000000.0,13614722000000.0,13762154000000.0,13690650000000.0
2026.0,13613541000000.0,13658119000000.0,13635639000000.0,13623437000000.0,13689688000000.0,13575631000000.0,13589966000000.0,13567864000000.0,13625069000000.0,13644244000000.0,13663544000000.0,13558878000000.0,13740404000000.0,13678312000000.0
2027.0,13595410000000.0,13643269000000.0,13603975000000.0,13608222000000.0,13687898000000.0,13546603000000.0,13558701000000.0,13556810000000.0,13628319000000.0,13642883000000.0,13653333000000.0,13510813000000.0,13722169000000.0,13665274000000.0
2028.0,13558742000000.0,13638273000000.0,13581330000000.0,13576967000000.0,13676953000000.0,13472502000000.0,13540136000000.0,13549345000000.0,13609328000000.0,13621756000000.0,13625568000000.0,13471732000000.0,13698842000000.0,13625006000000.0
2029.0,13545612000000.0,13622868000000.0,13564183000000.0,13560660000000.0,13655855000000.0,13436895000000.0,13498457000000.0,13525063000000.0,13608089000000.0,13605184000000.0,13610505000000.0,13450517000000.0,13686114000000.0,13624966000000.0
2030.0,13513774000000.0,13603785000000.0,13540079000000.0,13516877000000.0,13650577000000.0,13400878000000.0,13505356000000.0,13506214000000.0,13587251000000.0,13587766000000.0,13592972000000.0,13412324000000.0,13658660000000.0,13591714000000.0
2031.0,13500098000000.0,13556390000000.0,13523784000000.0,13487658000000.0,13634321000000.0,13353130000000.0,13471616000000.0,13467864000000.0,13579248000000.0,13573052000000.0,13575440000000.0,13368767000000.0,13663327000000.0,13552275000000.0
2032.0,13488333000000.0,13513001000000.0,13508500000000.0,13474284000000.0,13628182000000.0,13305770000000.0,13456809000000.0,13441040000000.0,13569344000000.0,13551430000000.0,13572868000000.0,13324718000000.0,13643975000000.0,13536449000000.0
2033.0,13493358000000.0,13502493000000.0,13498773000000.0,13444285000000.0,13619264000000.0,13308269000000.0,13427187000000.0,13437456000000.0,13542816000000.0,13538422000000.0,13555632000000.0,13284816000000.0,13627928000000.0,13514705000000.0
2034.0,13494286000000.0,13495578000000.0,13490180000000.0,13431767000000.0,13618427000000.0,13284056000000.0,13410619000000.0,13422733000000.0,13498188000000.0,13535784000000.0,13540933000000.0,13241147000000.0,13595397000000.0,13485487000000.0
2035.0,13449952000000.0,13472024000000.0,13487445000000.0,13408999000000.0,13606452000000.0,13247408000000.0,13368108000000.0,13403503000000.0,13460846000000.0,13522517000000.0,13528880000000.0,13206721000000.0,13581823000000.0,13453816000000.0
2036.0,13405886000000.0,13470349000000.0,13470523000000.0,13368594000000.0,13596355000000.0,13212692000000.0,13328349000000.0,13381860000000.0,13420278000000.0,13513992000000.0,13503734000000.0,13155947000000.0,13566911000000.0,13402516000000.0
2037.0,13393519000000.0,13450902000000.0,13443862000000.0,13328819000000.0,13589951000000.0,13168076000000.0,13300620000000.0,13380403000000.0,13371135000000.0,13503174000000.0,13462189000000.0,13108714000000.0,13544669000000.0,13360317000000.0
2038.0,13376463000000.0,13410542000000.0,13402781000000.0,13292154000000.0,13574549000000.0,13125584000000.0,13266260000000.0,13377521000000.0,13354133000000.0,13497289000000.0,13436732000000.0,13066150000000.0,13514642000000.0,13342125000000.0
2039.0,13351177000000.0,13396499000000.0,13354828000000.0,13261166000000.0,13568768000000.0,13089784000000.0,13244146000000.0,13340333000000.0,13331823000000.0,13474311000000.0,13429964000000.0,13016243000000.0,13491147000000.0,13329175000000.0
2040.0,13296255000000.0,13361375000000.0,13326427000000.0,13216682000000.0,13558444000000.0,13046301000000.0,13218490000000.0,13283392000000.0,13329306000000.0,13455151000000.0,13424860000000.0,12970027000000.0,13477436000000.0,13330039000000.0
2041.0,13267265000000.0,13322040000000.0,13289792000000.0,13179870000000.0,13554110000000.0,13001399000000.0,13172981000000.0,13225918000000.0,13310399000000.0,13434339000000.0,13385176000000.0,12911578000000.0,13469101000000.0,13310223000000.0
2042.0,13233420000000.0,13307391000000.0,13239085000000.0,13155907000000.0,13530759000000.0,12936801000000.0,13128141000000.0,13221003000000.0,13303661000000.0,13417505000000.0,13368593000000.0,12866122000000.0,13397271000000.0,13279375000000.0
2043.0,13214943000000.0,13285193000000.0,13213424000000.0,13143567000000.0,13494527000000.0,12840298000000.0,13049515000000.0,13201601000000.0,13262634000000.0,13407700000000.0,13354561000000.0,12803269000000.0,13364445000000.0,13258402000000.0
2044.0,13210926000000.0,13270627000000.0,13149866000000.0,13132922000000.0,13478059000000.0,12764578000000.0,13005703000000.0,13189829000000.0,13226733000000.0,13371720000000.0,13315709000000.0,12738112000000.0,13336758000000.0,13241211000000.0
2045.0,13179283000000.0,13224676000000.0,13107542000000.0,13103338000000.0,13433299000000.0,12682041000000.0,12937599000000.0,13165971000000.0,13199360000000.0,13333403000000.0,13281612000000.0,12657366000000.0,13286430000000.0,13234373000000.0
2046.0,13122716000000.0,13200886000000.0,13064822000000.0,13052253000000.0,13404114000000.0,12625553000000.0,12874875000000.0,13155168000000.0,13156785000000.0,13312413000000.0,13249080000000.0,12562663000000.0,13248291000000.0,13220436000000.0
2047.0,13096305000000.0,13182952000000.0,13037193000000.0,13016342000000.0,13403081000000.0,12530885000000.0,12782464000000.0,13131749000000.0,13138375000000.0,13295739000000.0,13236233000000.0,12493178000000.0,13175495000000.0,13194457000000.0
2048.0,13077154000000.0,13145735000000.0,13002017000000.0,12994965000000.0,13378570000000.0,12432759000000.0,12708241000000.0,13136689000000.0,13126260000000.0,13294821000000.0,13214512000000.0,12394195000000.0,13145873000000.0,13161678000000.0
2049.0,13057243000000.0,13116734000000.0,12970077000000.0,12986044000000.0,13351202000000.0,12357004000000.0,12600913000000.0,13082605000000.0,13112697000000.0,13282718000000.0,13176648000000.0,12324803000000.0,13075208000000.0,13143456000000.0
2050.0,13026060000000.0,13064870000000.0,12914366000000.0,12943791000000.0,13322873000000.0,12245813000000.0,12497565000000.0,13066565000000.0,13103743000000.0,13276927000000.0,13135373000000.0,12239054000000.0,13025588000000.0,13106595000000.0
2051.0,12992188000000.0,12986023000000.0,12838549000000.0,12911077000000.0,13286992000000.0,12156447000000.0,12386620000000.0,13045773000000.0,13074618000000.0,13264283000000.0,13106285000000.0,12146908000000.0,12956964000000.0,13061905000000.0
2052.0,12959827000000.0,12954770000000.0,12794973000000.0,12893758000000.0,13271577000000.0,12069127000000.0,12261198000000.0,13048326000000.0,13069661000000.0,13254233000000.0,13056509000000.0,12072089000000.0,12879501000000.0,13016793000000.0
2053.0,12938366000000.0,12940465000000.0,12750489000000.0,12862406000000.0,13236818000000.0,11951849000000.0,12151150000000.0,13044927000000.0,13044645000000.0,13199499000000.0,13023858000000.0,11974332000000.0,12774092000000.0,12966675000000.0
