time,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0
2000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0
2001.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0
2002.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0
2003.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0
2004.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0
2005.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0
2006.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0
2007.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0
2008.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0
2009.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0
2010.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0
2011.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0
2012.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0
2013.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0
2014.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0
2015.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0
2016.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0
2017.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0
2018.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0
2019.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0
2020.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0
2021.0,13716697000000.0,13728610000000.0,13741411000000.0,13723113000000.0
2022.0,13687760000000.0,13708418000000.0,13728072000000.0,13713386000000.0
2023.0,13667126000000.0,13677247000000.0,13731598000000.0,13661917000000.0
2024.0,13639850000000.0,13657500000000.0,13712915000000.0,13613649000000.0
2025.0,13566825000000.0,13648310000000.0,13693911000000.0,13594962000000.0
2026.0,13513219000000.0,13612681000000.0,13673936000000.0,13554056000000.0
2027.0,13453086000000.0,13562783000000.0,13669310000000.0,13496009000000.0
2028.0,13376037000000.0,13546887000000.0,13653003000000.0,13459414000000.0
2029.0,13301137000000.0,13522275000000.0,13626126000000.0,13429324000000.0
2030.0,13230347000000.0,13513028000000.0,13613541000000.0,13394606000000.0
2031.0,13180025000000.0,13477483000000.0,13592885000000.0,13363461000000.0
