time,EC-EARTH3,CNRM-CM6-1,MPI-ESM1-2-HR,CESM2-WACCM,GFDL-ESM4,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR,TAIESM1,KACE-1-0-G,MRI-ESM2-0,CANESM5
2024.0,144582396027000.0,146820573626000.0,147216265460000.0,147055528819000.0,147063499058000.0,146399268752000.0,145850051183000.0,146124485196000.0,147055375492000.0,145976025845000.0,146858675175000.0,146572933866000.0,145139397601000.0
2025.0,143655001577000.0,146398446272000.0,146791779498000.0,146470573971000.0,146624526154000.0,145865107303000.0,144977291736000.0,145711226609000.0,146473333260000.0,145286442056000.0,146465372455000.0,146101843003000.0,144247871982000.0
2026.0,142809277127000.0,145767978007000.0,146431796259000.0,145962385708000.0,146233018431000.0,145493178063000.0,144241193680000.0,145171362149000.0,146031082012000.0,144500569340000.0,145749883023000.0,145571287233000.0,143235922108000.0
2027.0,141764213886000.0,145175008560000.0,146071444235000.0,145448734380000.0,145738052245000.0,144865798780000.0,143469460759000.0,144622716556000.0,145399115500000.0,143955359635000.0,145099561822000.0,144875974230000.0,142333852462000.0
2028.0,140732096089000.0,144723580893000.0,145596019177000.0,145101525154000.0,145290294929000.0,144259632677000.0,142616732625000.0,144064623803000.0,144877106661000.0,143330464014000.0,144275967916000.0,144219727001000.0,141370665155000.0
2029.0,139601027203000.0,144138794312000.0,145168982859000.0,144555178307000.0,144985314975000.0,143688080145000.0,141639702911000.0,143374800818000.0,144255156704000.0,142820840210000.0,143660318360000.0,143625394599000.0,140298790078000.0
2030.0,138458096477000.0,143591209707000.0,144947461687000.0,144087003148000.0,144542360569000.0,143274925107000.0,140622994165000.0,142643470090000.0,143669671685000.0,141881144156000.0,142997064612000.0,143004626160000.0,139328130932000.0
2031.0,137501095237000.0,143224305690000.0,144578449497000.0,143643012743000.0,144010516736000.0,143002288402000.0,139621902375000.0,142131087439000.0,143095204948000.0,141239553978000.0,142267230349000.0,142236602563000.0,138276048969000.0
2032.0,136519769051000.0,142676368356000.0,144202634999000.0,143065756527000.0,143611012667000.0,142417304678000.0,138401566688000.0,141560477104000.0,142719938918000.0,140348620166000.0,141656107650000.0,141624785163000.0,137218602027000.0
2033.0,135801288843000.0,142216446360000.0,143813564148000.0,142485721176000.0,143146188281000.0,142080571788000.0,137312710035000.0,140825257011000.0,142084313024000.0,139470714620000.0,141065846982000.0,141233719137000.0,136284801430000.0
2034.0,134645851513000.0,141464716505000.0,143328101710000.0,141900273013000.0,142780984133000.0,141579510023000.0,136188895024000.0,140307949379000.0,141326759753000.0,138598653918000.0,140516049234000.0,140555995099000.0,135147792225000.0
2035.0,133457659221000.0,140851141990000.0,143059320466000.0,141406568469000.0,142492796140000.0,141011246264000.0,135168963832000.0,139877120450000.0,140840852827000.0,137669819502000.0,139816554007000.0,139884770225000.0,134050003534000.0
2036.0,132126175871000.0,140270242864000.0,142659887404000.0,140799248260000.0,141981397025000.0,140338986866000.0,133777968371000.0,139177810846000.0,140022854127000.0,136836514904000.0,138962189113000.0,139327883729000.0,133161972945000.0
2037.0,130956640474000.0,139588345896000.0,142222217115000.0,140161985464000.0,141708733893000.0,139695296536000.0,132467105693000.0,138478384759000.0,139313669739000.0,135873911677000.0,138342293272000.0,138413565779000.0,132078004488000.0
2038.0,129823571308000.0,139066654429000.0,141726502473000.0,139782034982000.0,141183035363000.0,139231637598000.0,131327406381000.0,137659728324000.0,138512896162000.0,134831516686000.0,137551531255000.0,137743686986000.0,130965248961000.0
2039.0,128753149908000.0,138329432572000.0,141346066344000.0,139131422416000.0,140595564757000.0,138663692111000.0,130116507455000.0,137266488235000.0,137670291651000.0,133727225809000.0,136599922849000.0,137211218433000.0,129848652518000.0
2040.0,127470699980000.0,137706334221000.0,141033052792000.0,138516137441000.0,140072738046000.0,137958831290000.0,128962091658000.0,136786426371000.0,136873113336000.0,132665242803000.0,135793244672000.0,136539459325000.0,128683243538000.0
2041.0,126094878617000.0,137379336976000.0,140439206379000.0,137516177657000.0,139520824806000.0,137323668690000.0,127951215610000.0,136301595225000.0,135902507081000.0,131426841381000.0,135127983387000.0,135793654757000.0,127773635879000.0
2042.0,125166818617000.0,136552630656000.0,139941308579000.0,136681232914000.0,138998236439000.0,136593388357000.0,126660962563000.0,135487848255000.0,135145469431000.0,130101481335000.0,134337308696000.0,135232673390000.0,126870288639000.0
2043.0,123937413905000.0,135643905352000.0,139294469590000.0,135798102549000.0,138466152000000.0,136128356332000.0,125406045389000.0,134848479302000.0,134433477130000.0,128895427442000.0,133454550129000.0,134400802849000.0,125920892899000.0
2044.0,122664546323000.0,135004625002000.0,138797400929000.0,135100168769000.0,138002772123000.0,135523842106000.0,124207622424000.0,134127352671000.0,133626304565000.0,127616544103000.0,132686546780000.0,133567851912000.0,124858825100000.0
2045.0,121721159420000.0,134125695566000.0,138351941044000.0,134340029707000.0,137543011796000.0,134804893446000.0,122925738071000.0,133228204881000.0,132687840706000.0,126203496438000.0,131873346921000.0,133000755590000.0,123622379045000.0
2046.0,120769652081000.0,133212041862000.0,137907841757000.0,133560630557000.0,136820397288000.0,134220502978000.0,121747802535000.0,132324785427000.0,131804048244000.0,124674203098000.0,131147853641000.0,132455216784000.0,122497904525000.0
2047.0,119370137848000.0,132254204294000.0,137328252331000.0,132885130522000.0,136282555001000.0,133402542171000.0,120237100254000.0,131477051047000.0,130560586107000.0,123337696754000.0,130343593279000.0,131715040060000.0,121388139381000.0
2048.0,118026317996000.0,131346015121000.0,136763173118000.0,132008286184000.0,135684353110000.0,132582919351000.0,118813576621000.0,130593318904000.0,129429257950000.0,122022149595000.0,129353491426000.0,130648417515000.0,120279298865000.0
2049.0,116579359293000.0,130399177921000.0,136038802880000.0,131278148733000.0,135252882684000.0,131778659176000.0,117390273266300.0,129941035319000.0,128375469590000.0,120849101090000.0,128251899270500.0,129880292368000.0,119160143412000.0
2050.0,115248053667000.0,129294537025000.0,135379857281000.0,130256868034000.0,134668836013000.0,130968162845000.0,115986253839600.0,129242070815000.0,127380837302000.0,119424572218000.0,127192879815000.0,129313250092000.0,117996601622000.0
2051.0,114136773347000.0,128584032451000.0,134827261539000.0,129279962278000.0,134151834619000.0,130184045588000.0,114525573708000.0,128577491147000.0,126504336836000.0,118045999918000.0,126287483277000.0,128450481061000.0,116779076950000.0
2052.0,112926102450000.0,127681186533000.0,134324424765000.0,128497118300000.0,133519111712000.0,129281631346000.0,113122522544700.0,127713560812000.0,125557247885000.0,116758715640000.0,125229055766000.0,127548533013000.0,115483834841600.0
2053.0,111832442691000.0,126841844199000.0,133662166228000.0,127784719560000.0,132873106106000.0,128304837142000.0,111475225013000.0,127106928394000.0,124500595307000.0,115479527741000.0,124130575847000.0,126392380428000.0,114397408901000.0
2054.0,110327374365000.0,126063754381000.0,133025218915000.0,127177296447000.0,132131266728000.0,127576527925000.0,109956087287400.0,126286631033000.0,123422108714000.0,114014287649000.0,123212118077600.0,125570288088000.0,113303513730000.0
2055.0,108670321851000.0,124936404610000.0,132362728364000.0,126517225884000.0,131451925566000.0,126772596964000.0,108323475019100.0,125420951904000.0,122316288974000.0,112536660745000.0,122289018219700.0,124497773572000.0,111747037411700.0
2056.0,107258010021000.0,123982303049000.0,131697059163000.0,125455998198000.0,131067993602000.0,125713539454000.0,106632898300600.0,124325865983000.0,121338129312000.0,111044744369000.0,121187541210000.0,123488120647000.0,110711454749000.0
2057.0,105828018868000.0,122976201849000.0,130985550176000.0,124584082018000.0,130654641495000.0,124660215177000.0,104964481299500.0,123285246192000.0,120655190416000.0,109526831351000.0,120429644102700.0,122487195567000.0,109498436741300.0
2058.0,104646198708000.0,122060262401000.0,130272044406000.0,123478303990000.0,130012284793000.0,123948685328000.0,103325989474000.0,122464140082000.0,119720278735000.0,108020894080000.0,119296911731700.0,121487001371000.0,108472812161000.0
2059.0,103282200649000.0,120840773334000.0,129556424083000.0,122745274134000.0,129352944870000.0,123022674475000.0,101481670921000.0,121348660695000.0,118766264214000.0,106537640017000.0,118246568119000.0,120386405593000.0,107281604831600.0
2060.0,101884166539000.0,119704678353000.0,128770809569000.0,121940431819000.0,128867232424000.0,122313998411000.0,99943953597700.0,120363124247000.0,117639833057000.0,104872549439500.0,117138631619700.0,119708102115000.0,106070839345100.0
2061.0,100459339339600.0,118517184685000.0,128023157845000.0,120895409955000.0,128071481019000.0,121502408997000.0,98367565526000.0,119301655878000.0,116612751740000.0,103210503522300.0,115976562558700.0,118697716422000.0,104868081700000.0
2062.0,99099545816400.0,117248597818000.0,127529939991000.0,119937256761000.0,127420216284000.0,120693787850000.0,96734873157200.0,118326028073000.0,115634478633000.0,101782987827400.0,114870771241200.0,117937042361000.0,103527260566000.0
2063.0,97434940127300.0,116099166027000.0,127050492718000.0,118861287392000.0,126638397892000.0,119871522637000.0,95239428195800.0,117448444295000.0,114431511717000.0,100378461373400.0,113748047817600.0,116929656830000.0,102414922283300.0
2064.0,96200104125000.0,114647628053500.0,126562222626000.0,117733001792000.0,126032723294000.0,119025844635000.0,93941270883800.0,116176073361000.0,113089058182000.0,98902947460700.0,112587418348600.0,116095912135000.0,101388175059700.0
2065.0,94853460840500.0,113398485615000.0,125919708517000.0,116813521729000.0,125478147039000.0,118124549362000.0,92622649543700.0,115170569993000.0,111876175781000.0,97430058373000.0,111569618178300.0,115110184339000.0,100140416496300.0
2066.0,93376022073600.0,112295006755000.0,125271192955000.0,115895519772500.0,124750781465000.0,117235299180000.0,91088205212500.0,113907502502000.0,110808540819300.0,95985677000600.0,110700282606000.0,114267460114000.0,98924727119100.0
2067.0,91935852127700.0,111107337312000.0,124726593996000.0,114829556843300.0,124045946757000.0,116405662198000.0,89402003661700.0,112698610524500.0,109758718958700.0,94515876254300.0,109773337032200.0,113335962012000.0,97574039389400.0
2068.0,90519350414600.0,110093769697300.0,124159110725000.0,113550327124700.0,123454527012000.0,115645741702000.0,87671101600200.0,111779676050000.0,108747688751000.0,92999941898900.0,108829562928500.0,112136494051000.0,96354550893400.0
2069.0,89131874993000.0,109167589751300.0,123493731622000.0,112653272077000.0,122680925913000.0,114829573619000.0,85953480846700.0,110416100341000.0,107588173673400.0,91411777408500.0,107808837906100.0,111261787727000.0,95163713997600.0
2070.0,87874065217700.0,108129401074600.0,122771434389000.0,111256521768000.0,121997285133000.0,113954652048000.0,84396260235500.0,109240210175000.0,106430526521600.0,89840018392200.0,106692747109600.0,110114168825000.0,93982973462800.0
2071.0,86478944301400.0,107074956645600.0,121968877526000.0,110161016741000.0,121276753629000.0,113075853423000.0,82661950590200.0,108202030583300.0,105346213760900.0,88219340870700.0,105804027660400.0,108830357836600.0,92841755280200.0
2072.0,85252185492300.0,105665974370000.0,121114939624000.0,109105666429000.0,120550045553000.0,112214177871000.0,80805199997600.0,106877135374500.0,104101613440400.0,86594005936200.0,104863763653400.0,107640837763000.0,91671764808200.0
2073.0,83730326296500.0,104535310376000.0,120417966036000.0,107817241890000.0,119844235518000.0,111357777398000.0,79270668775300.0,105620123139500.0,103110144545300.0,85114626514700.0,103867464124800.0,106751582138600.0,90427802609100.0
2074.0,82499380359700.0,103157163960000.0,119737676101000.0,106714238167500.0,118861236976000.0,110475469343000.0,77690076922000.0,104333604752000.0,101872188445000.0,83401736195500.0,102738745798800.0,105654883371400.0,89224356049000.0
2075.0,81275508174900.0,101734650863600.0,119086155968000.0,105659493088800.0,118008990198000.0,109594334748000.0,76135289518200.0,102998952157000.0,100710713419000.0,81963273498700.0,101841848837600.0,104591994801000.0,88051511395200.0
2076.0,79837484895300.0,100253159695500.0,118351026390000.0,104434590039700.0,117291132871100.0,108647778315000.0,74596540777700.0,101736337754000.0,99378440906500.0,80420983590900.0,101000718723200.0,103420523634000.0,86695548944300.0
2077.0,78367680378500.0,98886448102000.0,117645846127000.0,103329466419900.0,116395516838300.0,107683447606000.0,73037365494000.0,100203687205500.0,98147297137400.0,78515589062400.0,99913561633300.0,102356885498300.0,85664346561800.0
2078.0,76736089766500.0,97194556243000.0,116968188195400.0,102113268700700.0,115700979715000.0,106662941681300.0,71550472052870.0,98516910157000.0,96871663858800.0,76822589043600.0,98593967298900.0,101161251274400.0,84590140018600.0
2079.0,75122009722200.0,95820718689000.0,116092023285000.0,100952817435700.0,115070946934000.0,105616038615600.0,70148542617400.0,97014526232000.0,95832962112500.0,75181369362200.0,97478360448800.0,100069292227000.0,83470170564900.0
2080.0,73504235380900.0,94264680128500.0,115444176088000.0,99764232443500.0,114287467550800.0,104582146315000.0,68756814392700.0,95503032189400.0,94609479837000.0,73630635084500.0,96260706061200.0,98993490820000.0,82175969252400.0
2081.0,71932773389700.0,92796333832900.0,114892723221000.0,98693086118900.0,113501083994400.0,103587169549700.0,67279617314660.0,94124553765800.0,93232742492900.0,72117783565100.0,95012385109300.0,97891061830000.0,81018468869900.0
2082.0,70532147943400.0,91153505822800.0,114371245504600.0,97566685948800.0,112678345617400.0,102679710057700.0,65734625696700.0,92644713096000.0,92001517776500.0,70560711107200.0,93905750344600.0,96892445769000.0,79835989917900.0
2083.0,69219756060300.0,89591573493400.0,113734985064300.0,96461646743400.0,111963329076400.0,101793099934600.0,64207836167100.0,91368239086300.0,90770243625800.0,68973502176400.0,92728059754940.0,95760259809500.0,78676058569600.0
2084.0,67908977204300.0,88178827575400.0,113139582885400.0,95189868536800.0,111190727678000.0,100814249643000.0,62782085571300.0,90080902436900.0,89497296983800.0,67447454011000.0,91586210630600.0,94874586283400.0,77576059284500.0
2085.0,66599046202200.0,86299972996500.0,112556359994000.0,93954787987000.0,110384692743500.0,99924399445000.0,61277854687660.0,88914711239800.0,88335709201900.0,66150005742000.0,90590217889700.0,93803654997000.0,76484533965600.0
2086.0,65107616237300.0,84616161983400.0,111992503455500.0,92390788956900.0,109647209103500.0,99073053784500.0,59902313935770.0,87459492006900.0,86926985426600.0,64661218839200.0,89448754002140.0,92675682549300.0,75185341586800.0
2087.0,63825662728900.0,82709802276700.0,111220903183300.0,90985764753400.0,108808205901300.0,98279650062500.0,58381655403650.0,85924642641200.0,85615818654000.0,62950506691600.0,88317686186600.0,91579403098000.0,73937334978000.0
2088.0,62603015412300.0,80939482455100.0,110607797256800.0,89766611973800.0,107970021306200.0,97475480283500.0,56879003940380.0,84457379373100.0,84309141069400.0,61427840446500.0,87192782781500.0,90624009584000.0,72877990261900.0
2089.0,61203003425600.0,78874010459900.0,109870344103400.0,88334301724200.0,107266482923600.0,96682859844300.0,55514631002790.0,83062519951500.0,83005797669200.0,60137100422600.0,85964961957500.0,89756606157700.0,71747838971100.0
2090.0,59624216211700.0,77085861011400.0,109203188891100.0,87037803582800.0,106643514556000.0,95796905457600.0,54084274895700.0,81454735402600.0,81788037508000.0,58746993915700.0,84675690607100.0,88749647990600.0,70516348951000.0
2091.0,58052286470900.0,75325606690600.0,108652449392600.0,85660384240100.0,105904423963600.0,95009604067000.0,52770081790810.0,79978330297300.0,80523260034200.0,57377948765900.0,83521651634240.0,87824714276800.0,69260713165950.0
2092.0,56642078162300.0,73924457617700.0,107913767021600.0,84269834778000.0,105114573720700.0,94132386857300.0,51421895821100.0,78568943397400.0,79290958545100.0,55843443318400.0,82381983940930.0,86795125100000.0,68122572269830.0
2093.0,55156176792000.0,72403695921800.0,107174274880600.0,82829844398800.0,104300681124800.0,93285260726000.0,50161427961930.0,77181776563100.0,78015395492100.0,54468535561500.0,81222853025000.0,85381189978500.0,66883837221000.0
2094.0,53764052260600.0,70842289155600.0,106426389282800.0,81408392258600.0,103536387195600.0,92505985150700.0,48799586943700.0,75418901659600.0,76627833810300.0,53029821375600.0,80197429883450.0,84300278704700.0,65636767534740.0
2095.0,52521143055900.0,69383456691100.0,105779750625600.0,80103190510500.0,102594794013300.0,91926049516200.0,47295223415530.0,73751275388200.0,75162042446000.0,51732125960800.0,79098591021900.0,83338889967000.0,64413022299160.0
2096.0,51217522286500.0,67907278668700.0,105079534826400.0,78818312937600.0,101895132849400.0,90990558450000.0,45976883618630.0,71986008425000.0,73813894234640.0,50315142188400.0,77895531718200.0,82266327564600.0,63282551077000.0
2097.0,49813579634960.0,66449417647600.0,104411217983600.0,77415232558700.0,101193303795300.0,90229987047100.0,44734641904870.0,70447660674000.0,72554238396350.0,48775935792260.0,76733279188960.0,81236950965100.0,62101519401150.0
2098.0,48620509289200.0,65066254303100.0,103647126510200.0,76097616487700.0,100485166902700.0,89323076107100.0,43445013751620.0,68857331617400.0,71104286936900.0,47374250398000.0,75606511062940.0,80251923065600.0,60863143250060.0
2099.0,47236199382540.0,63379865453400.0,102902046492000.0,74716841277600.0,99703972890800.0,88595959244200.0,42099796264800.0,67396488368200.0,69795861493900.0,46117101505400.0,74405473519170.0,79492602631700.0,59725472492260.0
2100.0,45721419795000.0,61869092192400.0,102038271444000.0,73684769514100.0,98915317263700.0,87693563437300.0,40796440842018.0,65820725490800.0,68641705966500.0,44710452953000.0,73310944863500.0,78813871363200.0,58469964230540.0
