time,TAIESM1,IITM-ESM,UKESM1-0-LL,IPSL-CM6A-LR,KACE-1-0-G,MRI-ESM2-0,CESM2-WACCM,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0
2001.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0
2002.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0
2003.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0
2004.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0
2005.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0
2006.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0
2007.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0
2008.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0
2009.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0
2010.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0
2011.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0
2012.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0
2013.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0
2014.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0
2015.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0
2016.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0
2017.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0
2018.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0
2019.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0
2020.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0
2021.0,148135084040000.0,148298066340000.0,147918572460000.0,148239104238000.0,148078839525000.0,148090095072000.0,148278002686000.0,148096409330000.0,148249392064000.0
2022.0,147575112503000.0,147924098430000.0,147081684252000.0,147708504474000.0,147502311030000.0,147437367621000.0,147765242470000.0,147666925410000.0,147785650440000.0
2023.0,146864312761000.0,147436834002000.0,146472740191000.0,146979789914000.0,146689591436000.0,147040048663000.0,147151180349000.0,147190429920000.0,147415024844000.0
2024.0,146015363071000.0,146986587570000.0,145409600881000.0,146426542100000.0,145955324785000.0,146385649390000.0,146507049905000.0,146819710063000.0,147027095415000.0
2025.0,145521371295000.0,146618809833000.0,144409352762000.0,145995037865000.0,145281810110000.0,145791308674000.0,145924130058000.0,146259516117000.0,146639469346000.0
2026.0,144862903698000.0,145822902442000.0,143268994750000.0,145504877004000.0,144688077781000.0,145370721618000.0,145277734757000.0,145693965697000.0,146318188630000.0
2027.0,143861266921000.0,145166004539000.0,142250515374000.0,144784030639000.0,143871657336000.0,144765951904000.0,144632798108000.0,145126873096000.0,145952216866000.0
2028.0,143117925292000.0,144542041121000.0,141346364808000.0,144247522752000.0,143095699658000.0,144088594434000.0,143842183072000.0,144572315244000.0,145488623891000.0
2029.0,142200213729000.0,143750378563000.0,140670312458000.0,143774233252000.0,142461635585000.0,143642131934000.0,143218549075000.0,144104999253000.0,144972087451000.0
2030.0,141515900880000.0,143312473423000.0,139778277838000.0,143060438246000.0,141998752168000.0,143108438661000.0,142541527848000.0,143635697747000.0,144491857147000.0
2031.0,140571305224000.0,142759423292000.0,138783465239000.0,142434659661000.0,141637141143000.0,142552772719000.0,141894464673000.0,143146997929000.0,144090418920000.0
2032.0,139744833244000.0,141977068709000.0,137625291304000.0,141734155458000.0,141019425137000.0,141962526143000.0,141465972743000.0,142598650950000.0,143770807858000.0
2033.0,138805640890000.0,141440059338000.0,136392497221000.0,141042072483000.0,140371921705000.0,141403872165000.0,140599803664000.0,142109012015000.0,143363877957000.0
2034.0,137862573527000.0,140806443669000.0,135347844452000.0,140318501432000.0,139763645590000.0,140977771484000.0,139822316590000.0,141705112104000.0,142965267530000.0
2035.0,136734540415000.0,140279805827000.0,134293700399000.0,139617048175000.0,138966850438000.0,140321892590000.0,139360509091000.0,141199187144000.0,142520483076000.0
2036.0,135572714242000.0,139800023991000.0,133151861906000.0,138875498204000.0,138259563586000.0,139668904587000.0,138682714541000.0,140604938236000.0,142199822637000.0
2037.0,134559928279000.0,139219067510000.0,132025530878000.0,137990305626000.0,137705356565000.0,138971479152000.0,137968749879000.0,140121310117000.0,141708960829000.0
2038.0,133473567816000.0,138371837988000.0,130767784659000.0,136846807064000.0,136838357233000.0,138078173662000.0,137429904474000.0,139609177366000.0,141207437238000.0
