time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CNRM-ESM2-1,UKESM1-0-LL
2000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0
2001.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0
2002.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0
2003.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0
2004.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0
2005.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0
2006.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0
2007.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0
2008.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0
2009.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0
2010.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0
2011.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0
2012.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0
2013.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0
2014.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0
2015.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0
2016.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0
2017.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0
2018.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0
2019.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0
2020.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0
2021.0,148172241780000.0,148204847327000.0,147917052545000.0,148254343287000.0,148033023369000.0
2022.0,147408836924000.0,147871867397000.0,147158397521000.0,147707201200000.0,147291911633000.0
2023.0,146930216723000.0,146996239434000.0,146254578673000.0,147172768974000.0,146384285096000.0
2024.0,146510868165000.0,146290119019000.0,145335454546000.0,146676822222000.0,145611919730000.0
2025.0,145884702134000.0,145734972817000.0,144232490054000.0,146172446040000.0,144681502830000.0
2026.0,145137057373000.0,145182638645000.0,143489722588000.0,145745369884000.0,143906441103000.0
2027.0,144664906343000.0,144616142300000.0,142653474746000.0,145113708081000.0,142976631911000.0
2028.0,143983193292000.0,143961724828000.0,141583517374000.0,144508876409000.0,141863477126000.0
2029.0,143354088930000.0,143379636119000.0,140475677399000.0,143836991141000.0,140882527232000.0
2030.0,142602581028000.0,142919826375000.0,139690040874000.0,143497983054000.0,140042797016000.0
2031.0,141700648668000.0,142148783851000.0,138606578606000.0,142700534045000.0,139010122129000.0
2032.0,140900388063000.0,141466725779000.0,137568702874000.0,141989955271000.0,137966589346000.0
2033.0,140278753727000.0,140854118832000.0,136618929514000.0,141289171997000.0,136659452254000.0
2034.0,139677519773000.0,140133359281000.0,135581723375000.0,140449419491000.0,135464715772000.0
2035.0,139187672719000.0,139455886695000.0,134528217888000.0,139658151359000.0,134243028013000.0
2036.0,138678823987000.0,138843699143000.0,133513170615000.0,139144949646000.0,133096710041000.0
2037.0,138068055242000.0,138093916171000.0,132506205357000.0,138223283072000.0,131842021223000.0
2038.0,137390468680000.0,137189859490000.0,131408977565000.0,137438816553000.0,130726232240000.0
2039.0,136696416357000.0,136339304879000.0,130258157928000.0,136639296785000.0,129517988423000.0
