time,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0
2000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0
2001.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0
2002.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0
2003.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0
2004.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0
2005.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0
2006.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0
2007.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0
2008.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0
2009.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0
2010.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0
2011.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0
2012.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0
2013.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0
2014.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0
2015.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,3029668700000.0,3005049700000.0,3021751500000.0,3044832700000.0,3015465000000.0,3026218400000.0
2022.0,3011583400000.0,2972267000000.0,3000077000000.0,3037292100000.0,3002921400000.0,2997197000000.0
2023.0,2987444000000.0,2913533400000.0,2976355000000.0,3025825400000.0,2977308900000.0,2963163800000.0
2024.0,2961787800000.0,2875153700000.0,2948213500000.0,3001039700000.0,2935019500000.0,2922618800000.0
2025.0,2924954800000.0,2818516700000.0,2925735700000.0,2975536000000.0,2919456800000.0,2897021800000.0
2026.0,2872318600000.0,2768252400000.0,2877374600000.0,2969070000000.0,2887539800000.0,2873907500000.0
2027.0,2834268400000.0,2725501700000.0,2838615000000.0,2950838000000.0,2855448000000.0,2826189100000.0
2028.0,2795186400000.0,2687349000000.0,2782812700000.0,2935155000000.0,2825442600000.0,2795503400000.0
2029.0,2777828800000.0,2634019000000.0,2744449800000.0,2927946400000.0,2791667100000.0,2750383400000.0
2030.0,2739654000000.0,2591495600000.0,2706438600000.0,2911212100000.0,2767759900000.0,2722838600000.0
2031.0,2704152700000.0,2544021500000.0,2665778000000.0,2882047000000.0,2747396300000.0,2686348000000.0
2032.0,2657875400000.0,2509699500000.0,2620475800000.0,2852117300000.0,2689581000000.0,2641988200000.0
2033.0,2622641100000.0,2453045000000.0,2575934000000.0,2820608600000.0,2672693000000.0,2605881500000.0
2034.0,2585131000000.0,2402610300000.0,2529248100000.0,2791543400000.0,2632390000000.0,2574205800000.0
2035.0,2552745700000.0,2352100700000.0,2488245200000.0,2748804200000.0,2604902400000.0,2536064000000.0
2036.0,2516229600000.0,2301452400000.0,2443475000000.0,2700857000000.0,2571118600000.0,2495205900000.0
2037.0,2476494300000.0,2264960300000.0,2393563000000.0,2680997300000.0,2554175000000.0,2461978300000.0
2038.0,2437071200000.0,2219686500000.0,2359512000000.0,2653648600000.0,2529556000000.0,2419574200000.0
2039.0,2418837300000.0,2183641600000.0,2326258300000.0,2628981600000.0,2491238600000.0,2387373000000.0
2040.0,2380202000000.0,2136685500000.0,2283547700000.0,2587279200000.0,2451254300000.0,2345751500000.0
2041.0,2329992000000.0,2083302700000.0,2249162500000.0,2553873000000.0,2420116300000.0,2306583800000.0
2042.0,2300644000000.0,2036312200000.0,2213342000000.0,2532410400000.0,2394481500000.0,2271519400000.0
2043.0,2256274500000.0,1988604700000.0,2180246800000.0,2511571500000.0,2346365200000.0,2239385800000.0
2044.0,2210241700000.0,1946651200000.0,2136626200000.0,2493455000000.0,2333348700000.0,2211904000000.0
2045.0,2170101600000.0,1883006000000.0,2099335700000.0,2460907200000.0,2296499000000.0,2184704200000.0
2046.0,2142058600000.0,1833871700000.0,2068885100000.0,2429059600000.0,2263411600000.0,2149557700000.0
2047.0,2108187500000.0,1785645600000.0,2017676800000.0,2397765600000.0,2236205500000.0,2119807100000.0
2048.0,2074205500000.0,1742020500000.0,1991777000000.0,2372074200000.0,2212796600000.0,2086811600000.0
2049.0,2028469700000.0,1705948500000.0,1961780200000.0,2336600600000.0,2185100500000.0,2055752500000.0
2050.0,1995067900000.0,1669407400000.0,1919226500000.0,2297559300000.0,2167588900000.0,2020269100000.0
2051.0,1967996700000.0,1630766500000.0,1878414700000.0,2258761400000.0,2148241200000.0,1988832900000.0
2052.0,1928963700000.0,1603127900000.0,1858122700000.0,2241506600000.0,2129757200000.0,1956709800000.0
2053.0,1882816900000.0,1574496500000.0,1828306300000.0,2223616300000.0,2097783000000.0,1932297500000.0
2054.0,1853018500000.0,1540931300000.0,1796250400000.0,2194365200000.0,2077354400000.0,1907753600000.0
2055.0,1827527000000.0,1500970100000.0,1758001900000.0,2166457000000.0,2058430300000.0,1877067600000.0
2056.0,1790658700000.0,1471952700000.0,1719980400000.0,2116741200000.0,2033028600000.0,1855168400000.0
2057.0,1771004800000.0,1451107500000.0,1689113500000.0,2068143900000.0,1995548100000.0,1822621400000.0
2058.0,1743328100000.0,1422792600000.0,1653140900000.0,2011908700000.0,1978495900000.0,1795096700000.0
2059.0,1724141100000.0,1394841000000.0,1619989000000.0,1969890900000.0,1950006800000.0,1770666000000.0
2060.0,1696988000000.0,1358666500000.0,1594731100000.0,1928093600000.0,1913791800000.0,1744680400000.0
2061.0,1664323600000.0,1337183700000.0,1571854700000.0,1881407800000.0,1901251500000.0,1723276000000.0
2062.0,1647482900000.0,1320815700000.0,1545924600000.0,1830406700000.0,1867640700000.0,1700862100000.0
2063.0,1619662300000.0,1298907400000.0,1517531300000.0,1796097000000.0,1844670100000.0,1671299600000.0
2064.0,1600395700000.0,1275408400000.0,1494411400000.0,1755037800000.0,1834901000000.0,1653706600000.0
2065.0,1571072400000.0,1249086000000.0,1468063400000.0,1717545900000.0,1821017600000.0,1632999700000.0
2066.0,1547628200000.0,1236070600000.0,1443546100000.0,1686129300000.0,1809053900000.0,1607996900000.0
2067.0,1536826100000.0,1218634800000.0,1415855500000.0,1644122100000.0,1780997400000.0,1593313900000.0
2068.0,1521549200000.0,1194341000000.0,1396078400000.0,1611254200000.0,1772786200000.0,1584181800000.0
2069.0,1499048600000.0,1179609600000.0,1368959500000.0,1581644400000.0,1762490000000.0,1570905500000.0
2070.0,1477142100000.0,1166982400000.0,1340912800000.0,1553848100000.0,1740393200000.0,1559281100000.0
2071.0,1446740200000.0,1157548600000.0,1327108500000.0,1526230200000.0,1712024200000.0,1540507000000.0
2072.0,1426806900000.0,1135667400000.0,1305265200000.0,1496330300000.0,1682118300000.0,1532068900000.0
2073.0,1410665700000.0,1117415400000.0,1282757100000.0,1473371400000.0,1669963700000.0,1520562200000.0
2074.0,1394423600000.0,1097244150000.0,1263967400000.0,1445161900000.0,1644715700000.0,1507278300000.0
2075.0,1381929800000.0,1080154500000.0,1245532700000.0,1419826800000.0,1621853700000.0,1491541600000.0
2076.0,1358095000000.0,1068142300000.0,1233925700000.0,1405458400000.0,1612001300000.0,1473796800000.0
2077.0,1340475400000.0,1057407100000.0,1220487500000.0,1384974600000.0,1599262700000.0,1467589600000.0
2078.0,1324171400000.0,1042971900000.0,1204867000000.0,1363671400000.0,1586308800000.0,1450150200000.0
2079.0,1310321500000.0,1029950300000.0,1193646800000.0,1347548700000.0,1577845700000.0,1444132400000.0
2080.0,1292440800000.0,1007923700000.0,1180676100000.0,1327039000000.0,1568055900000.0,1429909900000.0
2081.0,1277510500000.0,999596000000.0,1159478100000.0,1313164500000.0,1551898200000.0,1425912100000.0
2082.0,1268568200000.0,991939000000.0,1146153100000.0,1293465300000.0,1538106700000.0,1418637600000.0
2083.0,1259709500000.0,979026700000.0,1138750400000.0,1279830500000.0,1525209200000.0,1406231900000.0
2084.0,1250630800000.0,962439900000.0,1120055600000.0,1264841100000.0,1523007000000.0,1402084800000.0
2085.0,1238241800000.0,950943150000.0,1105495200000.0,1248342600000.0,1510716600000.0,1398216600000.0
2086.0,1229598000000.0,949075500000.0,1086347700000.0,1232162800000.0,1509135400000.0,1391947200000.0
2087.0,1214535200000.0,947219100000.0,1068355350000.0,1217326200000.0,1500793900000.0,1387021900000.0
2088.0,1201105900000.0,932295930000.0,1048961500000.0,1206982800000.0,1487172100000.0,1372655600000.0
2089.0,1179245900000.0,922345600000.0,1040688900000.0,1196921200000.0,1476394900000.0,1365530200000.0
2090.0,1164325400000.0,921022230000.0,1027560100000.0,1186764600000.0,1475532700000.0,1370399800000.0
2091.0,1150503400000.0,911154150000.0,1007021900000.0,1181231100000.0,1457198200000.0,1363993600000.0
2092.0,1139259700000.0,898503400000.0,997757900000.0,1166278500000.0,1454389600000.0,1368227400000.0
2093.0,1130457600000.0,892342300000.0,992598500000.0,1158403600000.0,1450018900000.0,1357767900000.0
2094.0,1119429600000.0,888239200000.0,983194900000.0,1146258600000.0,1443974600000.0,1356825400000.0
2095.0,1112593300000.0,877475400000.0,971586800000.0,1142299300000.0,1430487000000.0,1352576300000.0
2096.0,1116110500000.0,873470560000.0,965809340000.0,1136421800000.0,1417228700000.0,1348355100000.0
2097.0,1109827900000.0,878734740000.0,953861140000.0,1121144000000.0,1400837600000.0,1350693700000.0
2098.0,1101298400000.0,871115260000.0,941908950000.0,1114249000000.0,1389066700000.0,1349933500000.0
2099.0,1090832100000.0,866444700000.0,935345000000.0,1108290600000.0,1370078600000.0,1349041000000.0
2100.0,1088562700000.0,864565400000.0,918196260000.0,1100236300000.0,1367997200000.0,1352909200000.0
2101.0,1086002040000.0,861810700000.0,905256700000.0,1094695600000.0,1360794200000.0,1346577100000.0
2102.0,1075444900000.0,855788900000.0,888499800000.0,1088523400000.0,1348191600000.0,1341295300000.0
2103.0,1075074240000.0,850087440000.0,882938100000.0,1090017600000.0,1343778300000.0,1343449900000.0
2104.0,1066061800000.0,843113200000.0,862753300000.0,1083815900000.0,1339684700000.0,1337868700000.0
2105.0,1060448900000.0,833060860000.0,853635960000.0,1075174100000.0,1338385000000.0,1335379100000.0
2106.0,1051559200000.0,835545200000.0,843352050000.0,1073188960000.0,1326535000000.0,1333048200000.0
2107.0,1043672200000.0,831839900000.0,832013000000.0,1068831700000.0,1322782200000.0,1333249300000.0
2108.0,1033214750000.0,827293700000.0,825337840000.0,1062499250000.0,1327023700000.0,1336186600000.0
2109.0,1025111700000.0,828095000000.0,814125000000.0,1056338600000.0,1321151100000.0,1329591400000.0
2110.0,1016715800000.0,830496240000.0,804913100000.0,1051311100000.0,1326297500000.0,1331768100000.0
2111.0,1011763250000.0,828854400000.0,799562000000.0,1046902300000.0,1326938600000.0,1328593900000.0
2112.0,1007629900000.0,821334100000.0,796871950000.0,1046354260000.0,1313754300000.0,1326413500000.0
2113.0,999932700000.0,816011400000.0,783541300000.0,1042412000000.0,1311334500000.0,1332590400000.0
2114.0,994081200000.0,813209700000.0,779260500000.0,1038511960000.0,1298354100000.0,1329972600000.0
2115.0,986198300000.0,814893240000.0,778189500000.0,1037456050000.0,1299156200000.0,1335499400000.0
2116.0,979027400000.0,813676600000.0,776022900000.0,1036320900000.0,1296511400000.0,1333077200000.0
2117.0,970812900000.0,814196850000.0,770637600000.0,1032605800000.0,1293059900000.0,1333619900000.0
2118.0,963030300000.0,817509900000.0,763913600000.0,1029914400000.0,1294836000000.0,1329031300000.0
2119.0,958212100000.0,819517200000.0,757870760000.0,1025144460000.0,1291426200000.0,1334386100000.0
2120.0,955250900000.0,814509460000.0,754145200000.0,1025239350000.0,1293885600000.0,1333628900000.0
2121.0,951205800000.0,810953100000.0,749810400000.0,1021653900000.0,1300005000000.0,1334103200000.0
2122.0,952079750000.0,816399650000.0,742954000000.0,1019807140000.0,1294497100000.0,1343936800000.0
2123.0,950879450000.0,816569800000.0,736626300000.0,1016149300000.0,1293602000000.0,1347455300000.0
2124.0,949752200000.0,816904300000.0,731935300000.0,1016702960000.0,1284860800000.0,1347871400000.0
2125.0,941129700000.0,819198030000.0,725837550000.0,1014909800000.0,1297622800000.0,1346750500000.0
2126.0,935617200000.0,819413000000.0,721674000000.0,1012312000000.0,1291529100000.0,1353859500000.0
2127.0,931956100000.0,817285040000.0,717704400000.0,1008687100000.0,1296828100000.0,1360426000000.0
2128.0,922358900000.0,811720640000.0,711911500000.0,1003389260000.0,1293040100000.0,1367171800000.0
2129.0,922530400000.0,811467900000.0,705908400000.0,1001966530000.0,1277691200000.0,1369101700000.0
2130.0,922229870000.0,812618350000.0,705010800000.0,1000837740000.0,1272583700000.0,1371567600000.0
2131.0,922769700000.0,817341330000.0,701207800000.0,997886660000.0,1275371300000.0,1378804400000.0
2132.0,911372260000.0,817150950000.0,692390850000.0,994056600000.0,1280731900000.0,1385029300000.0
2133.0,909377140000.0,814010340000.0,692063960000.0,992671900000.0,1281019000000.0,1388440300000.0
2134.0,905590600000.0,810591060000.0,685125530000.0,993998000000.0,1281541500000.0,1394498500000.0
2135.0,902030900000.0,810245200000.0,678594600000.0,993586450000.0,1280512600000.0,1406534000000.0
2136.0,901559350000.0,810052100000.0,677040950000.0,991733900000.0,1285968400000.0,1415101500000.0
2137.0,900908500000.0,809347100000.0,679260450000.0,991510460000.0,1278731200000.0,1420791900000.0
2138.0,900227900000.0,806368800000.0,678662600000.0,988289300000.0,1281151700000.0,1423615500000.0
2139.0,901193000000.0,807612400000.0,673560130000.0,991035700000.0,1282251000000.0,1428554000000.0
2140.0,898440100000.0,805187550000.0,673644740000.0,990676250000.0,1285299900000.0,1433147500000.0
2141.0,898664200000.0,807252200000.0,671635540000.0,990922900000.0,1280127300000.0,1435558900000.0
2142.0,895654400000.0,805734300000.0,674015300000.0,985008000000.0,1281155900000.0,1446139500000.0
2143.0,899252200000.0,806578000000.0,673082800000.0,984280200000.0,1285638600000.0,1451205500000.0
2144.0,900799860000.0,805226400000.0,672504400000.0,982816900000.0,1290094900000.0,1453671200000.0
2145.0,901503700000.0,807381300000.0,676277700000.0,980343500000.0,1293487000000.0,1466680000000.0
2146.0,897649500000.0,807269500000.0,675141260000.0,978213100000.0,1292418700000.0,1476992300000.0
2147.0,894176100000.0,807456100000.0,677619800000.0,976192860000.0,1293696400000.0,1483092000000.0
2148.0,894082700000.0,807038350000.0,673924400000.0,973292900000.0,1290802700000.0,1490114200000.0
2149.0,893156850000.0,806488050000.0,671769800000.0,974128300000.0,1301465500000.0,1504821000000.0
2150.0,896016700000.0,808987070000.0,666383400000.0,976800250000.0,1303519400000.0,1509759500000.0
2151.0,898324100000.0,812186200000.0,666233600000.0,972930700000.0,1299724900000.0,1514495000000.0
2152.0,900677300000.0,812102100000.0,672938070000.0,971868540000.0,1300830700000.0,1528460600000.0
2153.0,901963400000.0,814734300000.0,673370200000.0,967164200000.0,1305316000000.0,1536598600000.0
2154.0,900748200000.0,812144900000.0,673948240000.0,966772000000.0,1311240700000.0,1542113000000.0
2155.0,905138140000.0,817111800000.0,677241360000.0,967931130000.0,1310072100000.0,1553158100000.0
2156.0,905301000000.0,815392900000.0,673268430000.0,967383900000.0,1311418700000.0,1568702500000.0
2157.0,906128800000.0,818488930000.0,673052500000.0,967245700000.0,1314430500000.0,1574411600000.0
2158.0,907703200000.0,819534100000.0,673404800000.0,965968460000.0,1314442700000.0,1584907600000.0
2159.0,910643000000.0,819803650000.0,676038600000.0,965354700000.0,1313655000000.0,1586833400000.0
2160.0,910932600000.0,819459900000.0,673521600000.0,967741100000.0,1324877900000.0,1595961800000.0
2161.0,912442650000.0,819145500000.0,677975800000.0,966065700000.0,1342557900000.0,1605145200000.0
2162.0,910776860000.0,822896600000.0,680184250000.0,969362400000.0,1340416700000.0,1602710100000.0
2163.0,916886450000.0,825925760000.0,677158300000.0,973529350000.0,1356921800000.0,1612239500000.0
2164.0,918265200000.0,827563050000.0,679708460000.0,976362500000.0,1360107500000.0,1621140700000.0
2165.0,914202560000.0,828688300000.0,682016050000.0,979721800000.0,1364612700000.0,1626846800000.0
2166.0,920168200000.0,830885400000.0,683809300000.0,982515650000.0,1371468300000.0,1641129600000.0
2167.0,920103300000.0,829985900000.0,683385160000.0,980108000000.0,1364148500000.0,1645989300000.0
2168.0,915668200000.0,832954300000.0,679702760000.0,980976700000.0,1373445800000.0,1659533100000.0
2169.0,923677950000.0,829849500000.0,682040000000.0,982776150000.0,1370233400000.0,1667943900000.0
2170.0,921388700000.0,826926300000.0,679277900000.0,985074040000.0,1372917500000.0,1674340600000.0
