time,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM,CANESM5,ACCESS-ESM1-5,ACCESS-CM2
2000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0
2001.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0
2002.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0
2003.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0
2004.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0
2005.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0
2006.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0
2007.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0
2008.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0
2009.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0
2010.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0
2011.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0
2012.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0
2013.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0
2014.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0
2015.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,3042220700000.0,3020179400000.0,3026969000000.0,3011161400000.0,3027842000000.0,3027692000000.0
2022.0,3026398000000.0,2999555700000.0,2992192600000.0,2966947600000.0,2992784800000.0,2990825500000.0
2023.0,3019754400000.0,2950679200000.0,2950953400000.0,2908766900000.0,2949458000000.0,2956607000000.0
2024.0,2988017000000.0,2912822800000.0,2917756000000.0,2851133200000.0,2926149600000.0,2923531600000.0
2025.0,2970580000000.0,2873407800000.0,2885737800000.0,2796406700000.0,2890218300000.0,2881362900000.0
2026.0,2948443400000.0,2847440600000.0,2842000400000.0,2725493000000.0,2850196000000.0,2848164400000.0
2027.0,2919431700000.0,2802813200000.0,2821601600000.0,2672341800000.0,2801811800000.0,2811945300000.0
2028.0,2903219000000.0,2766258800000.0,2779742700000.0,2623288000000.0,2751905700000.0,2802310200000.0
2029.0,2877219000000.0,2719756600000.0,2751638500000.0,2557843900000.0,2712150200000.0,2748400800000.0
2030.0,2852210600000.0,2684617000000.0,2711558800000.0,2497171700000.0,2689512200000.0,2709255400000.0
2031.0,2834950000000.0,2654581000000.0,2691040000000.0,2430304800000.0,2645506000000.0,2666371000000.0
2032.0,2806280600000.0,2621943600000.0,2659820500000.0,2374550400000.0,2601445200000.0,2620098300000.0
2033.0,2761723500000.0,2576363600000.0,2619825000000.0,2315942600000.0,2549346200000.0,2582816800000.0
2034.0,2713501000000.0,2536351700000.0,2596592000000.0,2257636600000.0,2498352600000.0,2557614200000.0
2035.0,2672207900000.0,2494503600000.0,2568502400000.0,2189385700000.0,2444517200000.0,2522024800000.0
2036.0,2638197300000.0,2448867700000.0,2537081300000.0,2142884100000.0,2402608500000.0,2480381400000.0
2037.0,2613683400000.0,2405836300000.0,2507905700000.0,2072464500000.0,2362931700000.0,2442299400000.0
2038.0,2591635300000.0,2355912800000.0,2469351400000.0,2011910800000.0,2308735000000.0,2397283500000.0
2039.0,2547059300000.0,2290074500000.0,2422082000000.0,1940622400000.0,2276319800000.0,2353843100000.0
2040.0,2507691300000.0,2250933500000.0,2372668800000.0,1896517300000.0,2228667300000.0,2315375300000.0
2041.0,2461371200000.0,2206220700000.0,2316062400000.0,1836415300000.0,2180267600000.0,2281408000000.0
2042.0,2422549800000.0,2176064000000.0,2284756400000.0,1776520500000.0,2132534000000.0,2238985500000.0
2043.0,2378468200000.0,2125022100000.0,2236962300000.0,1712998000000.0,2074121000000.0,2189534600000.0
2044.0,2297873800000.0,2080680000000.0,2188932000000.0,1647089400000.0,2024175600000.0,2148508900000.0
2045.0,2227754800000.0,2033616700000.0,2146990000000.0,1601614000000.0,1977399200000.0,2102218300000.0
2046.0,2175496500000.0,1986805500000.0,2111570700000.0,1549781000000.0,1929336800000.0,2063206400000.0
2047.0,2115770100000.0,1937904100000.0,2055059900000.0,1487820300000.0,1897610200000.0,1988717700000.0
2048.0,2057826100000.0,1897612700000.0,2018445500000.0,1428429000000.0,1836501800000.0,1946275800000.0
2049.0,1987167400000.0,1849738500000.0,1978882600000.0,1365791500000.0,1784277900000.0,1907335100000.0
2050.0,1916286000000.0,1809259200000.0,1938327000000.0,1314668300000.0,1747178500000.0,1854706700000.0
2051.0,1848949600000.0,1768399600000.0,1901860100000.0,1272229500000.0,1705659600000.0,1804834800000.0
2052.0,1796579300000.0,1729986000000.0,1843771900000.0,1218866800000.0,1666571000000.0,1755905100000.0
2053.0,1734161600000.0,1683630500000.0,1791248300000.0,1168136500000.0,1625892500000.0,1723449600000.0
2054.0,1672940200000.0,1658066700000.0,1763503600000.0,1117101800000.0,1584899300000.0,1686896000000.0
2055.0,1621851800000.0,1615083900000.0,1709591000000.0,1067771560000.0,1546420600000.0,1635586900000.0
2056.0,1567946700000.0,1577157900000.0,1661468900000.0,1018647350000.0,1514846000000.0,1586630800000.0
2057.0,1517327500000.0,1540682700000.0,1631481900000.0,974756100000.0,1473570900000.0,1556067600000.0
2058.0,1470673300000.0,1501917500000.0,1594445800000.0,931546200000.0,1434978900000.0,1508508400000.0
2059.0,1416240000000.0,1462774400000.0,1544749700000.0,885268550000.0,1392653800000.0,1468459900000.0
2060.0,1367007700000.0,1424999800000.0,1505693000000.0,843333760000.0,1357196800000.0,1433536700000.0
2061.0,1327249000000.0,1384109300000.0,1455933100000.0,801629140000.0,1320270700000.0,1388203500000.0
2062.0,1287651200000.0,1340939800000.0,1416466500000.0,761931200000.0,1275806200000.0,1341738800000.0
2063.0,1243953500000.0,1303786200000.0,1386064900000.0,732008500000.0,1242779900000.0,1302834400000.0
2064.0,1204081300000.0,1258262200000.0,1347458700000.0,696062700000.0,1208428900000.0,1269748500000.0
2065.0,1162240600000.0,1230199500000.0,1317105000000.0,660657300000.0,1172371400000.0,1216197000000.0
2066.0,1123957600000.0,1198416200000.0,1287441400000.0,619742500000.0,1133874400000.0,1168086800000.0
2067.0,1089758400000.0,1168953600000.0,1248687600000.0,587940600000.0,1086214800000.0,1133421100000.0
2068.0,1050518600000.0,1128512600000.0,1207786400000.0,558252500000.0,1052072000000.0,1087041800000.0
2069.0,1013675850000.0,1102325600000.0,1178889900000.0,523532470000.0,1017252150000.0,1047645260000.0
2070.0,972721360000.0,1071081300000.0,1142245000000.0,492320520000.0,979992000000.0,1008000300000.0
2071.0,937235100000.0,1040712900000.0,1107379400000.0,463407250000.0,940771600000.0,966307350000.0
2072.0,901404600000.0,1010527300000.0,1073379600000.0,437207400000.0,904652500000.0,928640400000.0
2073.0,864688800000.0,986177540000.0,1039954400000.0,409640470000.0,868489200000.0,885985200000.0
2074.0,833023400000.0,960142700000.0,1004348640000.0,388505500000.0,838934600000.0,851534150000.0
2075.0,801114160000.0,932836000000.0,969605640000.0,363473040000.0,806021400000.0,822018700000.0
2076.0,766680900000.0,899472950000.0,938780500000.0,342432120000.0,767779600000.0,787897900000.0
2077.0,735222960000.0,877330300000.0,907768370000.0,323580330000.0,737382400000.0,758740350000.0
2078.0,706388300000.0,848157150000.0,871931200000.0,309383430000.0,712715340000.0,729332100000.0
2079.0,674624100000.0,817153840000.0,842369900000.0,292702160000.0,681511300000.0,699707700000.0
2080.0,642750550000.0,792028250000.0,815109400000.0,277100560000.0,651162800000.0,673405500000.0
2081.0,613823150000.0,768016840000.0,793968400000.0,266945070000.0,625960940000.0,640652600000.0
2082.0,581213900000.0,743745900000.0,759886450000.0,255182750000.0,602212600000.0,612637300000.0
2083.0,551980500000.0,726987200000.0,727575100000.0,237893860000.0,577172400000.0,582093440000.0
2084.0,526029400000.0,697710540000.0,703557500000.0,225718480000.0,552107640000.0,554600960000.0
2085.0,502423600000.0,675524400000.0,678002000000.0,214444920000.0,528936860000.0,531654600000.0
2086.0,476426760000.0,652671060000.0,652387500000.0,204160940000.0,506751250000.0,501889660000.0
2087.0,453173500000.0,629708100000.0,625287200000.0,191072800000.0,488061270000.0,478406050000.0
2088.0,429218170000.0,610035200000.0,603503800000.0,180496600000.0,465218400000.0,457775680000.0
2089.0,409541250000.0,587125400000.0,583740400000.0,170086140000.0,444392200000.0,433589220000.0
2090.0,388825120000.0,569060400000.0,560395100000.0,158444500000.0,424362400000.0,408957100000.0
2091.0,366046900000.0,550791900000.0,533141980000.0,149972390000.0,406200680000.0,384729870000.0
2092.0,344042570000.0,533497900000.0,512157900000.0,141651260000.0,391881260000.0,359788000000.0
2093.0,323315830000.0,511138800000.0,484375130000.0,134741810000.0,370402500000.0,332416680000.0
2094.0,304592780000.0,490680300000.0,463013740000.0,127265250000.0,349326570000.0,313690880000.0
2095.0,287123280000.0,467354030000.0,443050200000.0,121665085000.0,331960350000.0,295681460000.0
2096.0,271279230000.0,445691070000.0,421922280000.0,115636940000.0,317090230000.0,273622650000.0
2097.0,254955360000.0,426939350000.0,404673860000.0,108538560000.0,301110720000.0,257435550000.0
2098.0,236864700000.0,401851600000.0,382359400000.0,102909090000.0,285357830000.0,236374430000.0
2099.0,221133420000.0,380767340000.0,361406600000.0,97177400000.0,271290580000.0,217440220000.0
2100.0,209729030000.0,365162300000.0,337768940000.0,91530576000.0,252415820000.0,197483840000.0
2101.0,197990370000.0,350266560000.0,319526040000.0,87834255000.0,237050270000.0,182380820000.0
2102.0,184626580000.0,335141180000.0,303612530000.0,82696290000.0,221480200000.0,164828320000.0
2103.0,172328160000.0,321312520000.0,288201180000.0,78745620000.0,207159600000.0,151212520000.0
2104.0,162318750000.0,308185330000.0,271588150000.0,77397460000.0,190069240000.0,137861020000.0
2105.0,152076940000.0,294098670000.0,257144260000.0,75063935000.0,177425740000.0,125560230000.0
2106.0,142474180000.0,280250680000.0,240836310000.0,72152105000.0,165993280000.0,114341000000.0
2107.0,133478500000.0,267450020000.0,227327570000.0,69331990000.0,152644860000.0,103710150000.0
2108.0,125923300000.0,253600560000.0,213270100000.0,66849067000.0,143491960000.0,91702660000.0
2109.0,118234776000.0,238729890000.0,198396840000.0,63692505000.0,132261590000.0,80989230000.0
2110.0,111770804000.0,227988540000.0,187162720000.0,62287980000.0,123628880000.0,71850500000.0
2111.0,106548460000.0,218757000000.0,177055070000.0,60689660000.0,118517990000.0,64519880000.0
2112.0,101912200000.0,208630970000.0,166901470000.0,58007510000.0,109777895000.0,57963725000.0
2113.0,96844920000.0,198781190000.0,156110900000.0,56626057000.0,103207130000.0,52848560000.0
2114.0,93547130000.0,190360110000.0,144977580000.0,56576012000.0,96428294000.0,48486756000.0
2115.0,90830045000.0,181130840000.0,135744995000.0,55212884000.0,90580210000.0,44598070000.0
2116.0,86834725000.0,172479100000.0,126601675000.0,52754890000.0,83401610000.0,39579558000.0
2117.0,82741230000.0,162492270000.0,119953750000.0,50447933000.0,78012440000.0,36033315000.0
2118.0,80490270000.0,152387100000.0,112035760000.0,48479650000.0,73713295000.0,33006820000.0
2119.0,78325770000.0,143403550000.0,103080410000.0,47038968000.0,68524433000.0,30627127000.0
2120.0,74658450000.0,134815020000.0,96587375000.0,45855620000.0,64691790000.0,28941218000.0
2121.0,72871460000.0,128363676000.0,89233500000.0,43727060000.0,61585180000.0,27090401000.0
2122.0,71013270000.0,124265110000.0,83606630000.0,42814968000.0,58465407000.0,25008640000.0
2123.0,68841080000.0,118705770000.0,78597520000.0,42827450000.0,55602893000.0,22921325000.0
2124.0,66409060000.0,112819870000.0,73005930000.0,41440076000.0,52786580000.0,21500883000.0
2125.0,62323780000.0,107607925000.0,69966240000.0,39772713000.0,50078440000.0,20331890000.0
2126.0,59577680000.0,102819045000.0,65580253000.0,38167670000.0,47746163000.0,18938260000.0
2127.0,53760913000.0,98805900000.0,62469407000.0,37381325000.0,44522766000.0,17813098000.0
2128.0,49649480000.0,93718070000.0,59881443000.0,35531653000.0,43012610000.0,16464194000.0
2129.0,45372770000.0,90825110000.0,56623860000.0,34886926000.0,41645175000.0,15468430000.0
2130.0,41263604000.0,84978270000.0,54659723000.0,33375703000.0,40393945000.0,14310158000.0
2131.0,39365740000.0,81129450000.0,52340003000.0,33042026000.0,38787297000.0,13739338000.0
2132.0,33352950000.0,79168635000.0,49501240000.0,32572105000.0,37467804000.0,13309906000.0
2133.0,30045606000.0,75389170000.0,46687666000.0,32211997000.0,35864890000.0,12583632000.0
2134.0,26032693000.0,73801670000.0,45197373000.0,32122753000.0,34569355000.0,11998634000.0
2135.0,22478703000.0,70369740000.0,42659480000.0,31094596000.0,33409585000.0,11016622000.0
2136.0,19390690000.0,66959856000.0,40828105000.0,30205467000.0,31772656000.0,10469870000.0
2137.0,17153574000.0,63702580000.0,39728325000.0,29492888000.0,30333934000.0,9987729000.0
2138.0,14942566000.0,61357320000.0,38998745000.0,29402534000.0,29378796000.0,9468632000.0
2139.0,13413984000.0,60310446000.0,37473900000.0,28626158000.0,27906040000.0,9081050000.0
2140.0,12633615000.0,58101900000.0,36463410000.0,27694551000.0,26782499000.0,8415269000.0
2141.0,11085720000.0,56078623000.0,35955995000.0,26894643000.0,25561686000.0,8082424300.0
2142.0,9268556000.0,53994144000.0,34464805000.0,26421990000.0,24277582000.0,7754099700.0
2143.0,7931953000.0,50333960000.0,34106724000.0,25841123000.0,23498115000.0,7417315300.0
2144.0,7268844000.0,48414597000.0,33211515000.0,25475996000.0,22773610000.0,7066156000.0
2145.0,6782579700.0,46063686000.0,32468974000.0,24866140000.0,22042749000.0,6839732000.0
2146.0,6026498000.0,42926720000.0,31593153000.0,23991452000.0,21434163000.0,6588528000.0
2147.0,5349951000.0,41439486000.0,30123297000.0,23776240000.0,20755618000.0,6290109400.0
2148.0,4887586300.0,39235592000.0,29489720000.0,22738672000.0,19631202000.0,6034612700.0
2149.0,4427655000.0,38301725000.0,29027107000.0,22720060000.0,18579728000.0,5812365000.0
2150.0,3995552300.0,36576740000.0,28319894000.0,22257295000.0,17971188000.0,5531704000.0
2151.0,3601641000.0,35633630000.0,27336800000.0,22203056000.0,17538646000.0,5217648000.0
2152.0,3567695000.0,34946507000.0,27567320000.0,22651960000.0,16944475000.0,5142295000.0
2153.0,3305375700.0,33420569000.0,26937025000.0,22568284000.0,16467316000.0,4793753600.0
2154.0,3242497800.0,32198695000.0,26038317000.0,21867272000.0,16091217000.0,4670746600.0
2155.0,3146769700.0,31170105000.0,25691603000.0,21578332000.0,15569801000.0,4530746400.0
2156.0,2971878000.0,30164435000.0,25120936000.0,21154361000.0,14891970000.0,4409557000.0
2157.0,2678408200.0,30002860000.0,24388686000.0,20875850000.0,14469120000.0,4348835300.0
2158.0,2469115000.0,29400472000.0,23778658000.0,19978630000.0,14281899000.0,4243537700.0
2159.0,2302402600.0,28676907000.0,23302240000.0,19253797000.0,14104095000.0,4107230200.0
2160.0,2189647600.0,27954660000.0,22406978000.0,18541842000.0,13761847000.0,3951491800.0
2161.0,2015607900.0,27555103000.0,22050740000.0,18508356000.0,13689259000.0,3927094000.0
2162.0,1909193500.0,26866311000.0,21513730000.0,18844193000.0,13489215000.0,3827811600.0
2163.0,1822016800.0,25537278000.0,20834128000.0,18630074000.0,13049076000.0,3738973200.0
2164.0,1755698400.0,24504594000.0,20947440000.0,18231610000.0,12686142000.0,3662047500.0
2165.0,1715124200.0,24509620000.0,20749795000.0,18303812000.0,12259959000.0,3540158500.0
2166.0,1680751700.0,24207990000.0,20732385000.0,18165041000.0,11880275000.0,3462287400.0
2167.0,1672481800.0,23562551000.0,20520862000.0,18434840000.0,11797506000.0,3360075500.0
2168.0,1644169200.0,23175713000.0,19730065000.0,18313935000.0,11300017000.0,3310294800.0
2169.0,1533417600.0,22878292000.0,19176235000.0,18710643000.0,11009010000.0,3239596300.0
2170.0,1451363700.0,21796080000.0,18894301000.0,18606027000.0,10485158000.0,3166606300.0
2171.0,1462472300.0,21477325000.0,18945227000.0,18413228000.0,10130598000.0,3049218300.0
2172.0,1429830900.0,20843030000.0,18954512000.0,18555589000.0,9800416000.0,2997478400.0
2173.0,1370354200.0,20279888000.0,18430589000.0,18083656000.0,9596508000.0,2971725000.0
2174.0,1311347800.0,20017877000.0,18218270000.0,17684113000.0,9483691000.0,2841617000.0
2175.0,1242187600.0,19282821000.0,18545322000.0,17326676000.0,9312500000.0,2736515600.0
2176.0,1190305700.0,18672986000.0,18393563000.0,17597747000.0,9003261000.0,2620111000.0
2177.0,1127045800.0,18895575000.0,17954177000.0,16999358000.0,8834338000.0,2520219600.0
