time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2121.0,248198900000.0,63204500000.0,143838360000.0
2122.0,250708640000.0,62297956000.0,144271100000.0
2123.0,250589500000.0,61724467000.0,142623260000.0
2124.0,248488350000.0,61339853000.0,141831830000.0
2125.0,247373770000.0,60526490000.0,141302890000.0
2126.0,244300220000.0,59419660000.0,140461240000.0
2127.0,247171680000.0,58132000000.0,140556420000.0
2128.0,244599110000.0,57394147000.0,140613400000.0
2129.0,244988360000.0,55963970000.0,140195550000.0
2130.0,244961640000.0,54855710000.0,140629150000.0
2131.0,247002230000.0,54776267000.0,140832900000.0
2132.0,244989530000.0,54035812000.0,140966630000.0
2133.0,244941680000.0,52871496000.0,140223050000.0
2134.0,239872520000.0,52434990000.0,140777800000.0
2135.0,239667970000.0,52527854000.0,140823150000.0
2136.0,240187340000.0,52171020000.0,140671250000.0
2137.0,235060400000.0,51255235000.0,138723750000.0
2138.0,235808030000.0,50576605000.0,140829470000.0
2139.0,229890460000.0,51143790000.0,140351750000.0
2140.0,231223410000.0,51076927000.0,140962820000.0
2141.0,232668860000.0,50222834000.0,141865090000.0
2142.0,234643200000.0,50385224000.0,140628250000.0
2143.0,235822890000.0,50724033000.0,140445240000.0
2144.0,234999560000.0,50790044000.0,139525210000.0
2145.0,236425790000.0,50785790000.0,137465970000.0
2146.0,233255670000.0,51292410000.0,138777030000.0
2147.0,232597930000.0,53929095000.0,141708280000.0
2148.0,239481240000.0,53698690000.0,141852330000.0
2149.0,239615600000.0,52417077000.0,141150980000.0
2150.0,237671270000.0,51593097000.0,141761480000.0
2151.0,239368130000.0,51487388000.0,143283100000.0
2152.0,242911440000.0,52057430000.0,146497900000.0
2153.0,243736230000.0,52069360000.0,146004700000.0
2154.0,245274410000.0,51404390000.0,145154540000.0
2155.0,247515300000.0,51703755000.0,145659020000.0
2156.0,247262530000.0,51840135000.0,146527240000.0
2157.0,246225930000.0,51244630000.0,145061480000.0
2158.0,253565860000.0,50707825000.0,145562120000.0
2159.0,255278780000.0,49509500000.0,143644690000.0
2160.0,256090980000.0,49184047000.0,142977910000.0
2161.0,258035650000.0,49153690000.0,145473340000.0
2162.0,258408280000.0,49674940000.0,146500320000.0
2163.0,261393920000.0,49181864000.0,146954220000.0
2164.0,263131460000.0,48244953000.0,146428580000.0
2165.0,258685780000.0,47755276000.0,144445590000.0
2166.0,255857660000.0,47117250000.0,149078600000.0
2167.0,257675130000.0,47312073000.0,150422730000.0
2168.0,258313130000.0,46966747000.0,148481000000.0
2169.0,254997640000.0,46843834000.0,145854450000.0
2170.0,261220020000.0,48050913000.0,144911580000.0
2171.0,261556160000.0,47169847000.0,148827910000.0
2172.0,263234630000.0,47491180000.0,150714560000.0
2173.0,262083130000.0,46729470000.0,151373100000.0
2174.0,259829740000.0,47021580000.0,149402290000.0
2175.0,259708400000.0,48431428000.0,149810090000.0
2176.0,257071020000.0,48587497000.0,147698200000.0
2177.0,258633270000.0,48864180000.0,147549100000.0
2178.0,257585860000.0,49246286000.0,149230630000.0
2179.0,258013430000.0,48602540000.0,149922790000.0
2180.0,259293230000.0,49123332000.0,149418870000.0
2181.0,261627380000.0,50210324000.0,150914730000.0
2182.0,259581300000.0,50212094000.0,153480480000.0
2183.0,260048670000.0,49622565000.0,152733200000.0
2184.0,262439170000.0,49361265000.0,153305860000.0
2185.0,260917800000.0,50017640000.0,152620190000.0
2186.0,259412300000.0,49933586000.0,155637140000.0
2187.0,260447500000.0,50006213000.0,152984260000.0
2188.0,264978740000.0,50407645000.0,153189990000.0
2189.0,264650800000.0,50090810000.0,154488780000.0
2190.0,264794820000.0,49728233000.0,155024300000.0
2191.0,266492510000.0,48991683000.0,156588060000.0
2192.0,263930740000.0,49021223000.0,155006900000.0
2193.0,267891110000.0,49413366000.0,154727860000.0
2194.0,269518750000.0,49187660000.0,155460880000.0
2195.0,270421570000.0,49223090000.0,156791640000.0
2196.0,274802380000.0,48673735000.0,155161170000.0
2197.0,285199830000.0,48795740000.0,155577270000.0
2198.0,281525520000.0,48739615000.0,154117700000.0
2199.0,286281530000.0,48513745000.0,152429020000.0
2200.0,286897100000.0,48866378000.0,148947140000.0
2201.0,287822450000.0,49482686000.0,149570620000.0
2202.0,286863920000.0,49185636000.0,149106130000.0
2203.0,291433700000.0,49854403000.0,150602000000.0
2204.0,296203980000.0,49851550000.0,151612800000.0
2205.0,299980900000.0,50452100000.0,151559390000.0
2206.0,301273350000.0,50752220000.0,149757200000.0
2207.0,298600330000.0,50235073000.0,151391390000.0
2208.0,302188600000.0,50707894000.0,151822470000.0
2209.0,305568350000.0,51069063000.0,150951480000.0
2210.0,309508150000.0,53754780000.0,151029730000.0
2211.0,310412000000.0,52580106000.0,152492650000.0
2212.0,314527350000.0,52251170000.0,153284800000.0
2213.0,319456580000.0,52367860000.0,152947500000.0
2214.0,319777830000.0,54094213000.0,153038930000.0
2215.0,314346670000.0,53672845000.0,151136570000.0
2216.0,315980350000.0,54076360000.0,152368510000.0
2217.0,314302960000.0,55624100000.0,155268380000.0
2218.0,310635100000.0,54984528000.0,154099350000.0
2219.0,304034220000.0,54754160000.0,153969430000.0
2220.0,309580400000.0,54360904000.0,153759990000.0
2221.0,309830500000.0,53894800000.0,152802480000.0
2222.0,309134820000.0,56353595000.0,152411240000.0
