time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0
2001.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0
2002.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0
2003.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0
2004.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0
2005.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0
2006.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0
2007.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0
2008.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0
2009.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0
2010.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0
2011.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0
2012.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0
2013.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0
2014.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0
2015.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0
2016.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0
2017.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0
2018.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0
2019.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0
2020.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0
2021.0,28262947000.0,28126857000.0,28158159000.0,28320731000.0,28115343000.0,28193931000.0,28142310000.0,28140382000.0,28120865000.0,28336597000.0
2022.0,28110592000.0,28005261000.0,28036794000.0,28236345000.0,28002738000.0,28098390000.0,27995090000.0,28172892000.0,28047006000.0,28084834000.0
2023.0,27969004000.0,27909487000.0,27990938000.0,28065960000.0,27935900000.0,27937266000.0,27897145000.0,27991554000.0,28056216000.0,27894667000.0
2024.0,27978187000.0,27807154000.0,27837366000.0,27835021000.0,27781888000.0,27892994000.0,27740828000.0,27998888000.0,27863933000.0,27761242000.0
2025.0,27774804000.0,27660388000.0,27668472000.0,27703075000.0,27736922000.0,27795763000.0,27644991000.0,27698377000.0,27746812000.0,27746839000.0
2026.0,27609143000.0,27497826000.0,27624067000.0,27543802000.0,27605252000.0,27773120000.0,27513790000.0,27550183000.0,27661500000.0,27563411000.0
2027.0,27515128000.0,27337296000.0,27408024000.0,27398830000.0,27598932000.0,27591004000.0,27391035000.0,27359465000.0,27550646000.0,27384312000.0
2028.0,27445895000.0,27226542000.0,27275150000.0,27260430000.0,27389755000.0,27511765000.0,27167500000.0,27067142000.0,27343354000.0,27358974000.0
2029.0,27238470000.0,27094184000.0,27155565000.0,27120560000.0,27370824000.0,27281787000.0,26980650000.0,26948067000.0,27180120000.0,27112464000.0
2030.0,27204545000.0,26975270000.0,26946425000.0,27049036000.0,27195280000.0,27145687000.0,26772857000.0,26671500000.0,27012792000.0,26945995000.0
2031.0,27059474000.0,26810403000.0,26818185000.0,26905704000.0,27009670000.0,27096150000.0,26551902000.0,26524783000.0,26900349000.0,26859045000.0
2032.0,26925190000.0,26759516000.0,26797947000.0,26779520000.0,26891813000.0,26994256000.0,26259630000.0,26521151000.0,26798370000.0,26765464000.0
2033.0,26811673000.0,26517494000.0,26605787000.0,26562940000.0,26775820000.0,26879273000.0,25993116000.0,26147592000.0,26606346000.0,26533896000.0
