time,EC-EARTH3,GFDL-ESM4,MPI-ESM1-2-HR,CESM2-WACCM,IPSL-CM6A-LR,CNRM-CM6-1,UKESM1-0-LL,MRI-ESM2-0,KACE-1-0-G,CNRM-ESM2-1,TAIESM1,MIROC6,IITM-ESM,CANESM5
2000.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0
2001.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0
2002.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0
2003.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0
2004.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0
2005.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0
2006.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0
2007.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0
2008.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0
2009.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0
2010.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0
2011.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0
2012.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0
2013.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0
2014.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0
2015.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0
2016.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0
2017.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0
2018.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0
2019.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0
2020.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0
2021.0,1087177500.0,1095040400.0,1092730400.0,1117607300.0,1088043400.0,1100367000.0,1091859100.0,1076317300.0,1081784700.0,1107120800.0,1089896800.0,1091008500.0,1100792600.0,1091130500.0
2022.0,1081561100.0,1074769700.0,1083486100.0,1098988400.0,1091565000.0,1081323900.0,1076737200.0,1063691200.0,1066410430.0,1095395600.0,1073601150.0,1079665200.0,1120602900.0,1076455800.0
2023.0,1066756700.0,1065033000.0,1150691500.0,1084849500.0,1071796030.0,1078902000.0,1052717440.0,1039394300.0,1048498750.0,1077563400.0,1054599000.0,1060927000.0,1124302200.0,1061621700.0
2024.0,1056229950.0,1042467500.0,1071774660.0,1092409200.0,1054009200.0,1053692800.0,1036298800.0,1018827460.0,1026164350.0,1093414800.0,1053986000.0,1040796350.0,1087920500.0,1041833300.0
2025.0,1037312100.0,1028853700.0,1057080500.0,1063115970.0,1034133000.0,1041146000.0,1020270700.0,990606340.0,994365800.0,1058943550.0,1027472830.0,1016294300.0,1107093200.0,1019415100.0
2026.0,1029544100.0,1012094700.0,1048292000.0,1048698400.0,1028457400.0,1032354240.0,986615700.0,965143800.0,956882100.0,1046845800.0,990178800.0,994042500.0,1074860800.0,1000516000.0
2027.0,1005091700.0,1007713340.0,1071995900.0,1032404300.0,1012609540.0,1006404000.0,961058750.0,946406340.0,924281100.0,1025251100.0,957413400.0,959554200.0,1059201100.0,980835460.0
2028.0,969720100.0,988525800.0,1140067700.0,1010274200.0,1003019500.0,990371900.0,935259600.0,917097340.0,892665340.0,1010661700.0,933353000.0,933538500.0,1041057000.0,941385900.0
2029.0,1018030300.0,975021440.0,1062722600.0,985406300.0,973555300.0,967318850.0,937973600.0,885272200.0,847610200.0,993479200.0,914812900.0,905016000.0,1022241100.0,925107840.0
