time,TAIESM1,IPSL-CM6A-LR,CNRM-CM6-1,CESM2-WACCM,IITM-ESM,CANESM5,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,CNRM-ESM2-1,EC-EARTH3,MRI-ESM2-0,KACE-1-0-G,MIROC6
2000.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0
2001.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0
2002.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0
2003.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0
2004.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0
2005.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0
2006.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0
2007.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0
2008.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0
2009.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0
2010.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0
2011.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0
2012.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0
2013.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0
2014.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0
2015.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0
2016.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0
2017.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0
2018.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0
2019.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0
2020.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0
2021.0,2871329500.0,2893803800.0,3090434000.0,2967583200.0,2971371000.0,2850788900.0,2866677500.0,2839063600.0,2849242400.0,2856718000.0,2864683000.0,2968019000.0,2872972800.0,2915837200.0
2022.0,2841518600.0,3205318100.0,3076424400.0,2860631300.0,2859538400.0,2859043600.0,2865206000.0,2850140000.0,2840277200.0,2957390600.0,2832855000.0,2947809300.0,2846965200.0,2877030400.0
2023.0,2828446500.0,2899063600.0,2912688400.0,2860808700.0,2843111700.0,2804557300.0,2862092500.0,2814259200.0,2839468000.0,2891063600.0,3052735700.0,2925342500.0,2817184300.0,2868104700.0
2024.0,2825192700.0,2872310000.0,3058307600.0,2830172400.0,2900172000.0,2781362000.0,2855398400.0,2776586200.0,2829273900.0,2830774000.0,2823647000.0,2832169200.0,2827909600.0,3461702100.0
2025.0,2809422800.0,2845738200.0,2961772300.0,2808949800.0,3041504500.0,2758803500.0,2884203300.0,2780268800.0,2849737700.0,2820291600.0,2777899800.0,2811243300.0,2789842000.0,3088625700.0
2026.0,2762702800.0,2902276400.0,2837926100.0,2844795000.0,2891365000.0,2741028900.0,2829025000.0,2728171800.0,2838590200.0,2853036800.0,2753476900.0,2774337300.0,2757728000.0,3019252500.0
