time,MRI-ESM2-0,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR
2064.0,23864076000.0,13684240000.0,48326582000.0,25353312000.0
2065.0,23425751000.0,12951800000.0,47999600000.0,25021258000.0
2066.0,23102818000.0,12592568000.0,47974270000.0,24402050000.0
2067.0,22847870000.0,12257552000.0,47626555000.0,24028393000.0
2068.0,22966133000.0,12216831000.0,46288433000.0,23247028000.0
2069.0,22938034000.0,11960587000.0,45568300000.0,22503301000.0
2070.0,22590732000.0,11882140000.0,45665972000.0,22165268000.0
2071.0,22383790000.0,11528252000.0,44566192000.0,21819945000.0
2072.0,21911470000.0,11209102000.0,44345143000.0,21742723000.0
2073.0,21717770000.0,10984828000.0,44668820000.0,21281978000.0
2074.0,21642041000.0,10764095000.0,43980067000.0,21020727000.0
2075.0,21813391000.0,10676638000.0,43392807000.0,21066756000.0
2076.0,21507949000.0,10483825000.0,43877315000.0,21911063000.0
2077.0,21803379000.0,10271856000.0,43712782000.0,21477087000.0
2078.0,22328252000.0,10180991000.0,44530962000.0,21516534000.0
2079.0,22498111000.0,9958414000.0,43626783000.0,21311513000.0
2080.0,22426071000.0,9852638000.0,43708244000.0,21493166000.0
2081.0,22300500000.0,9665095000.0,43307782000.0,21420745000.0
2082.0,22256773000.0,9695352000.0,43141616000.0,21617750000.0
2083.0,22232173000.0,9619067000.0,43143873000.0,21515100000.0
2084.0,22012290000.0,9523785000.0,43469670000.0,21257468000.0
2085.0,21759090000.0,9427741000.0,43507080000.0,21009050000.0
2086.0,21705070000.0,9457051000.0,43619390000.0,21163990000.0
2087.0,21386052000.0,9419184000.0,43238440000.0,20782004000.0
2088.0,21058353000.0,9367210000.0,43437548000.0,20561973000.0
2089.0,21322783000.0,9352339000.0,43111230000.0,20157145000.0
2090.0,21170061000.0,9283596000.0,42413548000.0,19923356000.0
2091.0,21167364000.0,9350879000.0,41675477000.0,19838755000.0
2092.0,21388214000.0,9229073000.0,41512090000.0,19813333000.0
2093.0,21329392000.0,9152638000.0,41716457000.0,19773495000.0
2094.0,21686790000.0,9145977000.0,41454040000.0,19865215000.0
2095.0,21805711000.0,9233627000.0,40946820000.0,19847860000.0
2096.0,21997380000.0,9263790000.0,41330737000.0,19915397000.0
2097.0,21913491000.0,9290544000.0,41619403000.0,20107810000.0
2098.0,22319620000.0,9247479000.0,41804480000.0,20261788000.0
2099.0,22254911000.0,9180492000.0,42111250000.0,20372871000.0
2100.0,22528274000.0,9019048000.0,41630806000.0,20534256000.0
