time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0
2011.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0
2012.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0
2013.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0
2014.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0
2015.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0
2016.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0
2017.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0
2018.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0
2019.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0
2020.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0
2021.0,102341860000.0,100931020000.0,101669140000.0,101040300000.0,102342730000.0
2022.0,99385210000.0,97507020000.0,99636220000.0,97418306000.0,99720900000.0
2023.0,96888865000.0,93871100000.0,98901400000.0,94842315000.0,98455314000.0
2024.0,94638645000.0,91073855000.0,97302740000.0,91450065000.0,94747670000.0
