time,CESM2-WACCM,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CANESM5,MRI-ESM2-0
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3440262800000.0,3447328300000.0,3440292100000.0,3422513500000.0,3421619600000.0,3436898200000.0
2022.0,3416984600000.0,3441066200000.0,3432394800000.0,3404939700000.0,3396309000000.0,3420166800000.0
2023.0,3398972200000.0,3426191000000.0,3416019200000.0,3384369700000.0,3352108200000.0,3397261000000.0
2024.0,3386482400000.0,3429021500000.0,3410068500000.0,3363416300000.0,3310856200000.0,3364830600000.0
2025.0,3375626500000.0,3415078900000.0,3397741200000.0,3360637000000.0,3276266000000.0,3338004900000.0
2026.0,3354710200000.0,3404038000000.0,3382885000000.0,3351030300000.0,3233035300000.0,3314013000000.0
2027.0,3341791300000.0,3382963600000.0,3367123000000.0,3339434000000.0,3202644700000.0,3288984200000.0
2028.0,3324515700000.0,3363938200000.0,3344120400000.0,3322705300000.0,3163048400000.0,3278242300000.0
2029.0,3303056000000.0,3356405800000.0,3334624500000.0,3299467600000.0,3119565200000.0,3248609000000.0
2030.0,3292805700000.0,3341148000000.0,3313641000000.0,3272766400000.0,3087815000000.0,3219352500000.0
2031.0,3263923200000.0,3332309800000.0,3292893800000.0,3240580600000.0,3046923800000.0,3189645000000.0
2032.0,3246741800000.0,3312161400000.0,3271361000000.0,3221180000000.0,3010245000000.0,3159016600000.0
2033.0,3226127800000.0,3298647600000.0,3253779800000.0,3201864300000.0,2975111300000.0,3125058500000.0
2034.0,3207551300000.0,3276650300000.0,3238095500000.0,3179706300000.0,2936037000000.0,3092689700000.0
2035.0,3186860500000.0,3256499000000.0,3212714200000.0,3152538500000.0,2899963800000.0,3053172800000.0
2036.0,3176138800000.0,3240863000000.0,3203116000000.0,3124475000000.0,2856952500000.0,3024153200000.0
2037.0,3153991000000.0,3225279000000.0,3191800000000.0,3094055700000.0,2823344600000.0,3003969700000.0
2038.0,3136724000000.0,3214119800000.0,3174842500000.0,3069350800000.0,2784959100000.0,2965425400000.0
2039.0,3126087400000.0,3204972800000.0,3154747600000.0,3041191000000.0,2741374800000.0,2941375700000.0
2040.0,3105837300000.0,3192861800000.0,3132831600000.0,3023613000000.0,2692314300000.0,2911758000000.0
2041.0,3085420000000.0,3181432500000.0,3117032700000.0,3004432600000.0,2648678600000.0,2883929500000.0
2042.0,3064177000000.0,3170158500000.0,3099990700000.0,2988020600000.0,2606945500000.0,2848961900000.0
2043.0,3039778800000.0,3154333400000.0,3076442600000.0,2973042500000.0,2569511600000.0,2819622700000.0
2044.0,3019508000000.0,3127663100000.0,3059207400000.0,2955176000000.0,2520045000000.0,2787709600000.0
2045.0,2999740300000.0,3122716500000.0,3035696700000.0,2933704000000.0,2458157600000.0,2756606200000.0
2046.0,2971542200000.0,3121506200000.0,3008933100000.0,2900891000000.0,2411454800000.0,2724751000000.0
2047.0,2952790300000.0,3106432400000.0,2979537000000.0,2868674800000.0,2359800000000.0,2685571000000.0
2048.0,2922740700000.0,3098763600000.0,2948054000000.0,2831566000000.0,2310917000000.0,2645190200000.0
2049.0,2898961600000.0,3083605000000.0,2916078600000.0,2807766000000.0,2259071800000.0,2614459400000.0
2050.0,2871641000000.0,3056078400000.0,2895975000000.0,2777571000000.0,2200565400000.0,2571296300000.0
2051.0,2848064300000.0,3036607000000.0,2870700000000.0,2761069000000.0,2146904700000.0,2535266500000.0
2052.0,2813721800000.0,3018148300000.0,2840651400000.0,2737129400000.0,2085051200000.0,2502506300000.0
2053.0,2792623000000.0,2992234000000.0,2814020400000.0,2704898800000.0,2041328300000.0,2469185700000.0
2054.0,2754804700000.0,2969288000000.0,2782343200000.0,2669859300000.0,1992438800000.0,2429300000000.0
2055.0,2727747300000.0,2942315800000.0,2746555000000.0,2635615000000.0,1941897500000.0,2397799000000.0
2056.0,2712689700000.0,2919381900000.0,2716111500000.0,2608867600000.0,1886705000000.0,2368272300000.0
2057.0,2684064400000.0,2884761000000.0,2681461300000.0,2575905300000.0,1834014200000.0,2337979500000.0
2058.0,2661769000000.0,2860843500000.0,2652745500000.0,2544969700000.0,1777380800000.0,2306280000000.0
2059.0,2641289300000.0,2847033000000.0,2629129000000.0,2505906800000.0,1726712100000.0,2286902600000.0
2060.0,2609356700000.0,2817615700000.0,2601969000000.0,2467293300000.0,1669114600000.0,2262751000000.0
