time,CSIRO-MK3-6-0,MPI-ESM-LR,CESM1-CAM5,NORESM1-M
2000.0,50376737000.0,50274288000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50065230000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49846505000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,49924616000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50847400000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50488807000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50480490000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,49920586000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49695896000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49643220000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49675280000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50827743000.0,50929030000.0,50929030000.0
2012.0,49750532000.0,49649710000.0,49750532000.0,49750532000.0
2013.0,49485423000.0,49384590000.0,49485423000.0,49485423000.0
2014.0,49434972000.0,49333953000.0,49434972000.0,49434972000.0
2015.0,49370540000.0,49269340000.0,49370540000.0,49370540000.0
2016.0,49333817000.0,49232520000.0,49333817000.0,49333817000.0
2017.0,49279762000.0,49178477000.0,49279762000.0,49279762000.0
2018.0,49310060000.0,49208914000.0,49310060000.0,49310060000.0
2019.0,49438204000.0,49336990000.0,49438204000.0,49438204000.0
2020.0,49206383000.0,49104314000.0,49206383000.0,49206383000.0
2021.0,48884716000.0,48880865000.0,48833390000.0,48719077000.0
2022.0,48575377000.0,48872382000.0,48740820000.0,48521400000.0
2023.0,48421925000.0,48581100000.0,48499655000.0,48301347000.0
2024.0,48185580000.0,48193778000.0,48561900000.0,48251195000.0
2025.0,48221684000.0,47944420000.0,48539804000.0,47929250000.0
2026.0,47769633000.0,47900930000.0,48479257000.0,47720690000.0
2027.0,47522353000.0,47525892000.0,48043990000.0,47413840000.0
2028.0,47331267000.0,47241482000.0,47879684000.0,47224410000.0
2029.0,47214770000.0,46983795000.0,47713374000.0,46972990000.0
2030.0,46936690000.0,46917740000.0,47565115000.0,46699450000.0
2031.0,46718956000.0,46654816000.0,47364866000.0,46535490000.0
2032.0,46369030000.0,46815134000.0,47032754000.0,46106423000.0
2033.0,46102053000.0,46192734000.0,46753010000.0,45814840000.0
2034.0,45709804000.0,46309675000.0,46635258000.0,45493965000.0
2035.0,45299098000.0,45487460000.0,46374887000.0,45064660000.0
2036.0,44909680000.0,45142880000.0,46220915000.0,44697387000.0
2037.0,44464046000.0,44829330000.0,45705507000.0,44453560000.0
2038.0,44223400000.0,46769463000.0,45713500000.0,44091638000.0
2039.0,43791180000.0,44319277000.0,45211160000.0,43598610000.0
2040.0,43165024000.0,44219010000.0,44946117000.0,43271360000.0
2041.0,42777117000.0,43477610000.0,44512915000.0,42843853000.0
2042.0,42162400000.0,43018530000.0,44057120000.0,42259866000.0
2043.0,41718477000.0,42618230000.0,43653640000.0,41794480000.0
2044.0,41075364000.0,42351340000.0,43243987000.0,41453050000.0
2045.0,40488722000.0,43172053000.0,42871144000.0,41863420000.0
2046.0,39850377000.0,41577580000.0,42354040000.0,40722248000.0
2047.0,39129633000.0,41071567000.0,41917546000.0,40012240000.0
2048.0,38450250000.0,40616473000.0,41686905000.0,39587850000.0
2049.0,37815180000.0,40130000000.0,41204118000.0,39137087000.0
2050.0,37267337000.0,39758037000.0,40753242000.0,38503720000.0
2051.0,36629897000.0,39168872000.0,40331665000.0,37888827000.0
2052.0,36258554000.0,39118692000.0,40450875000.0,37316473000.0
2053.0,35568050000.0,38338826000.0,39853576000.0,36821770000.0
2054.0,35078996000.0,37756720000.0,39313527000.0,36379810000.0
2055.0,34753704000.0,37314010000.0,38836994000.0,35668468000.0
2056.0,33841930000.0,36828676000.0,38364180000.0,35121525000.0
2057.0,32988269000.0,36195324000.0,37904617000.0,34466025000.0
2058.0,32208042000.0,35745214000.0,37589160000.0,34024864000.0
