time,CANESM2,MPI-ESM-LR,CESM1-CAM5
2000.0,50376737000.0,50053132000.0,50376737000.0
2001.0,50166284000.0,49848513000.0,50166284000.0
2002.0,49946554000.0,49634360000.0,49946554000.0
2003.0,50027330000.0,49696490000.0,50027330000.0
2004.0,50967495000.0,50585244000.0,50967495000.0
2005.0,50597577000.0,50253988000.0,50597577000.0
2006.0,50583433000.0,50261033000.0,50583433000.0
2007.0,50022710000.0,49706220000.0,50022710000.0
2008.0,49797444000.0,49485140000.0,49797444000.0
2009.0,49743850000.0,49435705000.0,49743850000.0
2010.0,49780003000.0,49454998000.0,49780003000.0
2011.0,50929030000.0,50619360000.0,50929030000.0
2012.0,49750532000.0,49444210000.0,49750532000.0
2013.0,49485423000.0,49180443000.0,49485423000.0
2014.0,49434972000.0,49129853000.0,49434972000.0
2015.0,49370540000.0,49064456000.0,49370540000.0
2016.0,49333817000.0,49023717000.0,49333817000.0
2017.0,49279762000.0,48972464000.0,49279762000.0
2018.0,49310060000.0,49003155000.0,49310060000.0
2019.0,49438204000.0,49131960000.0,49438204000.0
2020.0,49206383000.0,48890573000.0,49206383000.0
2021.0,49040286000.0,48565800000.0,48808660000.0
2022.0,48941375000.0,48425718000.0,48681020000.0
2023.0,48485890000.0,48087257000.0,48357860000.0
2024.0,48508190000.0,48132490000.0,48067210000.0
2025.0,48162210000.0,47811797000.0,48196444000.0
2026.0,48514250000.0,47558406000.0,48275900000.0
2027.0,47832170000.0,47357180000.0,47518843000.0
2028.0,47590867000.0,47305175000.0,47185215000.0
2029.0,47238275000.0,46890370000.0,46927065000.0
2030.0,49054716000.0,46644724000.0,46748647000.0
2031.0,47060010000.0,46453380000.0,46409433000.0
2032.0,46582100000.0,46182000000.0,46051533000.0
2033.0,46136990000.0,45793100000.0,45883384000.0
2034.0,46305305000.0,45589086000.0,45408874000.0
2035.0,45912273000.0,45609017000.0,45039243000.0
2036.0,45895560000.0,45299835000.0,44758810000.0
2037.0,45197427000.0,45931704000.0,44381684000.0
2038.0,44818080000.0,44989630000.0,44443087000.0
2039.0,44532550000.0,44649284000.0,44002107000.0
2040.0,44126690000.0,44290720000.0,43648827000.0
2041.0,43636520000.0,43953970000.0,43215815000.0
2042.0,43184980000.0,43784663000.0,42632348000.0
2043.0,42663354000.0,44009880000.0,41996320000.0
2044.0,42491843000.0,43643980000.0,41766298000.0
2045.0,42179445000.0,43224056000.0,41373460000.0
2046.0,41544170000.0,42651730000.0,40783684000.0
2047.0,41525990000.0,42676620000.0,40300933000.0
2048.0,40772514000.0,44549590000.0,41315987000.0
2049.0,40295350000.0,41888997000.0,40906000000.0
2050.0,40100794000.0,41591992000.0,39534866000.0
2051.0,40856543000.0,41279610000.0,39443268000.0
2052.0,39443087000.0,40993075000.0,39195240000.0
2053.0,38784420000.0,40572965000.0,38643580000.0
2054.0,38334520000.0,40254407000.0,38134360000.0
2055.0,37936026000.0,39781433000.0,37623534000.0
2056.0,38061020000.0,39576015000.0,37214830000.0
2057.0,37159540000.0,39438414000.0,37873054000.0
2058.0,37417380000.0,39342318000.0,36568090000.0
2059.0,37221143000.0,38718435000.0,36064317000.0
2060.0,36760474000.0,38822867000.0,35866722000.0
2061.0,35656240000.0,38261223000.0,35433357000.0
2062.0,35421110000.0,39140295000.0,35000020000.0
2063.0,34651670000.0,39100560000.0,34726236000.0
2064.0,34159860000.0,38452180000.0,34248410000.0
2065.0,34022965000.0,38152876000.0,33965787000.0
2066.0,33505378000.0,39304348000.0,33521742000.0
2067.0,33204937000.0,38226186000.0,33576720000.0
2068.0,34438720000.0,38121550000.0,33020418000.0
2069.0,32691704000.0,39462224000.0,32677780000.0
2070.0,32239544000.0,37569683000.0,32323100000.0
2071.0,32147388000.0,37533577000.0,31951464000.0
2072.0,31688008000.0,37949480000.0,31735052000.0
2073.0,31424020000.0,40443875000.0,31329974000.0
2074.0,32240122000.0,40218150000.0,30973993000.0
2075.0,31020687000.0,40677863000.0,30799538000.0
