time,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,GFDL-ESM4
2000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0
2001.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0
2002.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0
2003.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0
2004.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0
2005.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0
2006.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0
2007.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0
2008.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0
2009.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0
2010.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0
2011.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0
2012.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0
2013.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0
2014.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0
2015.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0
2016.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0
2017.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0
2018.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0
2019.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0
2020.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0
2021.0,89103204000.0,89040710000.0,88760580000.0,88988560000.0
2022.0,89106710000.0,89175430000.0,88375630000.0,88833950000.0
2023.0,88457260000.0,89067690000.0,88062250000.0,88623555000.0
2024.0,88172940000.0,88819430000.0,87814840000.0,88574920000.0
2025.0,87998235000.0,88530166000.0,87528490000.0,88413610000.0
2026.0,89163730000.0,88328510000.0,87211380000.0,88368940000.0
2027.0,88005820000.0,88110510000.0,86845720000.0,88487590000.0
2028.0,87753820000.0,87881170000.0,86389490000.0,87859225000.0
2029.0,87413300000.0,89721635000.0,86112575000.0,87636860000.0
2030.0,87221540000.0,89374610000.0,85570030000.0,87362420000.0
2031.0,86875560000.0,88390260000.0,84955710000.0,87125410000.0
2032.0,86646200000.0,88031550000.0,84530750000.0,86997950000.0
2033.0,86333776000.0,87678250000.0,83856880000.0,86744000000.0
2034.0,86274245000.0,87450580000.0,83302740000.0,86292670000.0
2035.0,86081544000.0,87071425000.0,82609226000.0,85988835000.0
2036.0,85518156000.0,86775860000.0,82104380000.0,85723610000.0
2037.0,85957600000.0,86785700000.0,81515680000.0,85754330000.0
2038.0,84827010000.0,86482210000.0,80802840000.0,85222100000.0
2039.0,84397300000.0,86311140000.0,80055110000.0,85490420000.0
2040.0,83825930000.0,85873540000.0,79375190000.0,84772210000.0
2041.0,83432990000.0,86068404000.0,78632124000.0,84563220000.0
2042.0,84125920000.0,85371580000.0,77888780000.0,84204175000.0
2043.0,82659205000.0,84940560000.0,77175144000.0,83826200000.0
2044.0,82250970000.0,84445176000.0,76489564000.0,83543220000.0
2045.0,82416490000.0,84152960000.0,75421440000.0,83495740000.0
2046.0,82034690000.0,83849480000.0,74341384000.0,83082640000.0
2047.0,81535200000.0,83753450000.0,73667500000.0,82841400000.0
2048.0,80844620000.0,83409990000.0,72886080000.0,82312700000.0
2049.0,81237630000.0,82919735000.0,72018665000.0,81911685000.0
2050.0,80402250000.0,82471110000.0,71693800000.0,82786340000.0
2051.0,80410020000.0,81936290000.0,70855050000.0,82021750000.0
2052.0,79622880000.0,81969775000.0,70104760000.0,81679330000.0
2053.0,78885850000.0,81693650000.0,69678350000.0,81252130000.0
2054.0,78472430000.0,80982790000.0,68670763000.0,80679870000.0
2055.0,78122890000.0,80578280000.0,67784540000.0,80137580000.0
2056.0,77677550000.0,80148370000.0,66926977000.0,80265265000.0
2057.0,77250314000.0,79762120000.0,66047330000.0,79958980000.0
2058.0,76737110000.0,79212180000.0,65319570000.0,79545750000.0
2059.0,77534085000.0,78969270000.0,64565800000.0,79084520000.0
2060.0,76170050000.0,78929330000.0,63833900000.0,78692720000.0
2061.0,79910450000.0,78346910000.0,63374870000.0,78831280000.0
2062.0,78955740000.0,77860940000.0,62332470000.0,77997400000.0
2063.0,75506220000.0,77793920000.0,61546926000.0,77514630000.0
2064.0,77696380000.0,77399000000.0,60802760000.0,77270270000.0
2065.0,75595760000.0,77296250000.0,60119860000.0,77047820000.0
2066.0,77176610000.0,77344840000.0,59264160000.0,76542700000.0
2067.0,76266316000.0,76235070000.0,58534850000.0,76563186000.0
2068.0,75400765000.0,75798270000.0,57725112000.0,76257930000.0
2069.0,77076950000.0,75107190000.0,56695720000.0,75684400000.0
2070.0,74207450000.0,74733690000.0,56002744000.0,75836580000.0
2071.0,76810486000.0,74487366000.0,55287276000.0,75485860000.0
2072.0,73837030000.0,76917830000.0,54516797000.0,75098980000.0
2073.0,73217050000.0,75119165000.0,54329803000.0,74434570000.0
2074.0,73038700000.0,74215825000.0,53293335000.0,74105864000.0
2075.0,73297560000.0,74137520000.0,52649263000.0,74689630000.0
2076.0,72572430000.0,74005840000.0,51986416000.0,73740900000.0
2077.0,72686170000.0,73422980000.0,51062570000.0,73340944000.0
2078.0,72683850000.0,72849875000.0,50399445000.0,73145690000.0
2079.0,74015620000.0,72211505000.0,49589567000.0,72859560000.0
2080.0,72252160000.0,71973265000.0,50181180000.0,73049100000.0
2081.0,70935134000.0,71802905000.0,48779410000.0,72403845000.0
2082.0,70683260000.0,72045640000.0,47698543000.0,73440490000.0
2083.0,71282780000.0,71785144000.0,46969990000.0,73032170000.0
2084.0,70554665000.0,72067180000.0,46673230000.0,72006205000.0
2085.0,69904340000.0,70821070000.0,46408835000.0,72113780000.0
2086.0,69594145000.0,70199150000.0,45152567000.0,71319650000.0
2087.0,70167910000.0,70469320000.0,44445544000.0,75055870000.0
2088.0,70003730000.0,70498810000.0,44407652000.0,74722870000.0
2089.0,71914830000.0,69409440000.0,43827487000.0,72314780000.0
2090.0,70255840000.0,69068734000.0,43002140000.0,70953296000.0
2091.0,70334900000.0,68799180000.0,42201810000.0,70739820000.0
2092.0,69357520000.0,68590285000.0,41946320000.0,70288105000.0
2093.0,68401360000.0,69763870000.0,41285170000.0,69533030000.0
2094.0,67791553000.0,68231324000.0,40676155000.0,69363560000.0
