time,IITM-ESM,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,TAIESM1,KACE-1-0-G,CESM2-WACCM,GFDL-ESM4,UKESM1-0-LL
2000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0
2001.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0
2002.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0
2003.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0
2004.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0
2005.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0
2006.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0
2007.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0
2008.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0
2009.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0
2010.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0
2011.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0
2012.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0
2013.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0
2014.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0
2015.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0
2016.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0
2017.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0
2018.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0
2019.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0
2020.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0
2021.0,89377040000.0,89096710000.0,88896240000.0,88712210000.0,88865540000.0,88905610000.0,88964596000.0,89016300000.0,89081910000.0
2022.0,89125330000.0,89026620000.0,88885486000.0,88554270000.0,88743240000.0,88554920000.0,88832870000.0,88874410000.0,88552570000.0
2023.0,88753750000.0,88661090000.0,88747870000.0,88557660000.0,88381000000.0,88354570000.0,88655160000.0,88586540000.0,88556265000.0
2024.0,88656600000.0,88582180000.0,88536500000.0,88267194000.0,88067210000.0,88079500000.0,88359330000.0,88536285000.0,88257900000.0
2025.0,88405070000.0,88249300000.0,88557450000.0,87961330000.0,88004280000.0,87889110000.0,88244490000.0,88198455000.0,87983800000.0
2026.0,88265100000.0,88688610000.0,88448470000.0,87811785000.0,87594690000.0,87974360000.0,87943184000.0,88054825000.0,87441826000.0
2027.0,88166060000.0,88016020000.0,88463460000.0,87556370000.0,87276085000.0,87488470000.0,87746590000.0,88316160000.0,87480750000.0
2028.0,88072110000.0,87821074000.0,88100980000.0,87446000000.0,87016890000.0,87249980000.0,87550730000.0,87725280000.0,87019225000.0
2029.0,87796920000.0,87797300000.0,87828660000.0,87194340000.0,86773670000.0,87025340000.0,87226870000.0,87677430000.0,86860370000.0
2030.0,87568670000.0,87334130000.0,88112960000.0,87129070000.0,86490300000.0,87182295000.0,86881804000.0,87344865000.0,86399830000.0
2031.0,87276650000.0,87262150000.0,87571005000.0,87031090000.0,86098690000.0,87128360000.0,86681150000.0,87101490000.0,86083460000.0
2032.0,86993450000.0,86949800000.0,87638870000.0,86586460000.0,85661370000.0,86341706000.0,86435880000.0,86761680000.0,85617810000.0
2033.0,86983480000.0,86828030000.0,87684490000.0,86121280000.0,85158430000.0,85761020000.0,85995970000.0,86853730000.0,85104830000.0
2034.0,86594450000.0,86440670000.0,87281850000.0,86521360000.0,84895515000.0,85400584000.0,85717450000.0,86497400000.0,84601800000.0
2035.0,86526650000.0,86636446000.0,86928610000.0,86185980000.0,84184730000.0,85023875000.0,86828260000.0,86150020000.0,83957620000.0
2036.0,86253674000.0,85991210000.0,86869830000.0,85396170000.0,83530770000.0,84428360000.0,85601510000.0,86086844000.0,83388620000.0
2037.0,85884520000.0,85736720000.0,86557680000.0,85102780000.0,83064790000.0,84410060000.0,85711700000.0,86252210000.0,82884330000.0
2038.0,85387270000.0,85263655000.0,86313755000.0,84402290000.0,82394070000.0,83830890000.0,84963310000.0,86003040000.0,82005610000.0
2039.0,85465010000.0,84916494000.0,86094910000.0,84087950000.0,81717250000.0,83188425000.0,84387750000.0,85163640000.0,81333160000.0
2040.0,84859036000.0,84521360000.0,85872730000.0,83597206000.0,81464480000.0,82414890000.0,84013630000.0,84978850000.0,80481510000.0
2041.0,84737745000.0,84743790000.0,85658790000.0,83249190000.0,80368160000.0,82028810000.0,83835730000.0,84559290000.0,79737450000.0
2042.0,84132545000.0,84024680000.0,85302075000.0,82577690000.0,79652045000.0,81482190000.0,83732144000.0,84495390000.0,79021200000.0
2043.0,83746680000.0,83496350000.0,85786520000.0,82051875000.0,78932230000.0,80946905000.0,83333710000.0,83898650000.0,78089090000.0
2044.0,83429286000.0,82977840000.0,84922280000.0,81797490000.0,78049590000.0,80396935000.0,82965040000.0,83688915000.0,77183780000.0
2045.0,83108310000.0,82502164000.0,84765024000.0,81265500000.0,77469420000.0,79896410000.0,82878350000.0,83726320000.0,76328370000.0
2046.0,82703790000.0,82212260000.0,84698186000.0,80856420000.0,76680560000.0,79568290000.0,81955880000.0,83189670000.0,75361750000.0
2047.0,82418970000.0,81661320000.0,84269285000.0,80171070000.0,75803080000.0,79014480000.0,81784185000.0,82941980000.0,74679260000.0
2048.0,81909780000.0,82313314000.0,83858700000.0,79687190000.0,74945790000.0,78331660000.0,81190650000.0,82283995000.0,73864920000.0
2049.0,81200170000.0,80933660000.0,83561380000.0,79412570000.0,74036870000.0,77812965000.0,80585480000.0,81916600000.0,72934515000.0
2050.0,80772325000.0,80897245000.0,84529504000.0,78901680000.0,73069980000.0,77641360000.0,80090600000.0,82634500000.0,72024450000.0
2051.0,80376960000.0,79840340000.0,83461540000.0,78128000000.0,72241000000.0,76662070000.0,79449790000.0,81495196000.0,71045010000.0
2052.0,79776700000.0,79378440000.0,82857410000.0,77725370000.0,71286630000.0,75890440000.0,78653760000.0,80836710000.0,69976244000.0
2053.0,79050236000.0,78846360000.0,82356780000.0,77987774000.0,70645950000.0,75244400000.0,78102240000.0,80428960000.0,69097930000.0
2054.0,78551120000.0,78296120000.0,82532480000.0,77318340000.0,69379430000.0,74606760000.0,77294805000.0,80209110000.0,67923677000.0
