time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,UKESM1-0-LL
2000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0
2001.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0
2002.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0
2003.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0
2004.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0
2005.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0
2006.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0
2007.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0
2008.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0
2009.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0
2010.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0
2011.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0
2012.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0
2013.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0
2014.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0
2015.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0
2016.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0
2017.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0
2018.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0
2019.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0
2020.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0
2021.0,90129410000.0,88902885000.0,88908780000.0,89068670000.0,89248170000.0
2022.0,90865385000.0,88789690000.0,88834080000.0,88587395000.0,88709510000.0
2023.0,88853820000.0,88309326000.0,88430666000.0,88324740000.0,88394760000.0
2024.0,88486440000.0,88073200000.0,88614480000.0,87880020000.0,88080150000.0
2025.0,88168860000.0,88255330000.0,88600320000.0,87389120000.0,87754250000.0
2026.0,88408890000.0,87847444000.0,88096980000.0,87090455000.0,87458546000.0
2027.0,87838900000.0,87942005000.0,88030150000.0,86803300000.0,87259330000.0
2028.0,87533450000.0,87877230000.0,87748380000.0,86140540000.0,86813336000.0
2029.0,87205380000.0,87446520000.0,87431980000.0,85636506000.0,86564495000.0
2030.0,87931760000.0,87226390000.0,87356326000.0,85589975000.0,86099720000.0
2031.0,86972570000.0,87090780000.0,87284150000.0,84900720000.0,85651820000.0
2032.0,86663860000.0,86567000000.0,86760290000.0,84090356000.0,85137105000.0
2033.0,86362960000.0,86586390000.0,86525860000.0,83472640000.0,84521670000.0
2034.0,86240670000.0,85896210000.0,86284050000.0,82782980000.0,83846710000.0
2035.0,85818090000.0,85611140000.0,86434560000.0,82263840000.0,82875060000.0
2036.0,85648230000.0,85961380000.0,86136685000.0,81405660000.0,82274116000.0
2037.0,85207280000.0,85494096000.0,85953330000.0,80763140000.0,81358225000.0
2038.0,85550514000.0,84622860000.0,85522570000.0,80228620000.0,80519110000.0
2039.0,84759626000.0,84270410000.0,85011800000.0,79604750000.0,79732880000.0
2040.0,84628400000.0,84687480000.0,85104160000.0,78872860000.0,79112770000.0
2041.0,84175050000.0,83656880000.0,84848060000.0,78030684000.0,77972380000.0
2042.0,83657620000.0,82905500000.0,84260320000.0,77077520000.0,76878954000.0
2043.0,83266100000.0,82275560000.0,83531200000.0,76130750000.0,76001100000.0
2044.0,82929070000.0,81716030000.0,83175140000.0,75347580000.0,74943040000.0
2045.0,82490500000.0,80989320000.0,82767045000.0,74526500000.0,74080846000.0
2046.0,81708876000.0,80414410000.0,82410150000.0,73707140000.0,72999100000.0
2047.0,81320590000.0,79712715000.0,82116220000.0,72811320000.0,72019420000.0
2048.0,80888250000.0,78935400000.0,81160380000.0,71917036000.0,70867984000.0
2049.0,80182200000.0,78518110000.0,80595400000.0,70983970000.0,70107270000.0
2050.0,80385460000.0,77996515000.0,80509810000.0,70196290000.0,69077430000.0
2051.0,79190350000.0,77323670000.0,79614140000.0,69307070000.0,68120375000.0
2052.0,78671720000.0,76725550000.0,79380670000.0,68185180000.0,67016356000.0
2053.0,78043800000.0,75900330000.0,78523660000.0,67268927000.0,65883640000.0
2054.0,79035860000.0,75343420000.0,78064930000.0,66343760000.0,64744270000.0
2055.0,77629860000.0,75090160000.0,77446760000.0,65200914000.0,63592300000.0
2056.0,77026260000.0,74247290000.0,77379200000.0,64780260000.0,62373020000.0
2057.0,76801180000.0,73754894000.0,76629710000.0,63650560000.0,61325263000.0
2058.0,75774394000.0,72959920000.0,76044780000.0,62519747000.0,60255937000.0
2059.0,75034210000.0,72239730000.0,75396370000.0,61581963000.0,59319770000.0
2060.0,74549020000.0,71878030000.0,74907450000.0,60616843000.0,58445857000.0
2061.0,74032456000.0,71094050000.0,74040890000.0,59855340000.0,57307574000.0
2062.0,74456285000.0,70683345000.0,73264750000.0,58854105000.0,56049970000.0
2063.0,72871076000.0,70119465000.0,72415000000.0,57922030000.0,54996357000.0
2064.0,72368760000.0,69389615000.0,71998270000.0,57292243000.0,53923780000.0
2065.0,71580610000.0,69026340000.0,71476020000.0,56138723000.0,52804338000.0
2066.0,72343370000.0,68775360000.0,70865265000.0,55370584000.0,51517190000.0
2067.0,70613230000.0,68125320000.0,70569440000.0,54474228000.0,50174034000.0
2068.0,69950830000.0,67848670000.0,69558740000.0,53840265000.0,49027240000.0
2069.0,69620710000.0,70433235000.0,68811220000.0,52694286000.0,47957987000.0
2070.0,68763620000.0,70226830000.0,68018545000.0,51935597000.0,46924616000.0
2071.0,68452450000.0,67992846000.0,67440900000.0,51190395000.0,46555267000.0
2072.0,67686420000.0,66228896000.0,66949136000.0,50514080000.0,45250080000.0
2073.0,66717250000.0,65473098000.0,66305704000.0,49494438000.0,44279124000.0
2074.0,66072380000.0,65255707000.0,65794646000.0,49211720000.0,43266007000.0
2075.0,65310830000.0,64816808000.0,65002865000.0,48312467000.0,42514403000.0
2076.0,64544637000.0,64042127000.0,64322966000.0,47533523000.0,41924210000.0
2077.0,64342740000.0,63134335000.0,64481604000.0,46831333000.0,40693887000.0
2078.0,63368155000.0,64314760000.0,63600652000.0,46174480000.0,39905346000.0
2079.0,62449684000.0,62645993000.0,63405445000.0,45593180000.0,39205777000.0
2080.0,61725962000.0,62008885000.0,62550860000.0,45099233000.0,39809230000.0
2081.0,60785830000.0,61264368000.0,62169776000.0,44380230000.0,38366110000.0
2082.0,60145066000.0,60965868000.0,61494944000.0,43704332000.0,37282810000.0
2083.0,60561560000.0,60364812000.0,60811444000.0,43177316000.0,36498563000.0
2084.0,59065295000.0,59890635000.0,60269785000.0,42652870000.0,35673950000.0
2085.0,58830820000.0,59982467000.0,59687430000.0,42029867000.0,34586900000.0
2086.0,58514375000.0,60077730000.0,59456030000.0,41835770000.0,33929822000.0
2087.0,57412895000.0,63134634000.0,61292945000.0,40997640000.0,33352143000.0
2088.0,57299476000.0,61720056000.0,58806608000.0,40421170000.0,32592355000.0
2089.0,56758428000.0,60930720000.0,57763766000.0,39775790000.0,31805774000.0
2090.0,55848026000.0,60145738000.0,57339875000.0,39463840000.0,31026096000.0
2091.0,55602115000.0,61480770000.0,56730976000.0,38757870000.0,30372270000.0
2092.0,54897086000.0,59076952000.0,56352944000.0,38813430000.0,30427249000.0
2093.0,54948897000.0,61770800000.0,58172670000.0,40081568000.0,30079450000.0
2094.0,53656654000.0,59483214000.0,55526576000.0,37853540000.0,29038942000.0
2095.0,55487545000.0,59754300000.0,55194956000.0,37146200000.0,28515324000.0
2096.0,52912730000.0,57695035000.0,54485996000.0,37054520000.0,27949595000.0
2097.0,52264632000.0,61558560000.0,53890130000.0,36296675000.0,27551896000.0
2098.0,57731660000.0,57075170000.0,53377040000.0,35874583000.0,26767655000.0
2099.0,52027360000.0,56069108000.0,53172752000.0,35975860000.0,26296146000.0
