time,ACCESS-CM2,ACCESS-ESM1-5,MRI-ESM2-0,CANESM5,CESM2-WACCM,IPSL-CM6A-LR
2000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0
2015.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0
2016.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0
2017.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0
2018.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0
2019.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0
2020.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0
2021.0,26690000000000.0,26742673000000.0,26783026000000.0,26708990000000.0,26703124000000.0,26728649000000.0
2022.0,26627386000000.0,26752902000000.0,26794963000000.0,26650730000000.0,26701067000000.0,26624310000000.0
2023.0,26583370000000.0,26703430000000.0,26730330000000.0,26606190000000.0,26670568000000.0,26545209000000.0
2024.0,26545557000000.0,26648420000000.0,26686895000000.0,26575091000000.0,26658034000000.0,26547558000000.0
2025.0,26442593000000.0,26596587000000.0,26707365000000.0,26445796000000.0,26577314000000.0,26458125000000.0
2026.0,26403314000000.0,26541247000000.0,26720325000000.0,26433232000000.0,26530570000000.0,26372840000000.0
2027.0,26290204000000.0,26523644000000.0,26689898000000.0,26414238000000.0,26525993000000.0,26332893000000.0
2028.0,26276773000000.0,26471494000000.0,26615218000000.0,26305238000000.0,26562420000000.0,26282922000000.0
2029.0,26240810000000.0,26414414000000.0,26592414000000.0,26207029000000.0,26488313000000.0,26236686000000.0
2030.0,26203115000000.0,26391744000000.0,26507467000000.0,26208207000000.0,26470576000000.0,26225135000000.0
2031.0,26182393000000.0,26362602000000.0,26502274000000.0,26160472000000.0,26470030000000.0,26166220000000.0
2032.0,26138785000000.0,26354586000000.0,26440213000000.0,26090458000000.0,26434599000000.0,26101610000000.0
2033.0,26129480000000.0,26292185000000.0,26456715000000.0,26027863000000.0,26347785000000.0,26066612000000.0
2034.0,26043457000000.0,26195683000000.0,26379723000000.0,25936689000000.0,26292443000000.0,25991452000000.0
2035.0,25940495000000.0,26171658000000.0,26345394000000.0,25849955000000.0,26251608000000.0,25979056000000.0
2036.0,25848778000000.0,26144395000000.0,26341750000000.0,25754352000000.0,26225550000000.0,25943467000000.0
2037.0,25801441000000.0,26067706000000.0,26242412000000.0,25716899000000.0,26205330000000.0,25886875000000.0
2038.0,25744114000000.0,26013428000000.0,26257849000000.0,25605307000000.0,26122905000000.0,25827893000000.0
2039.0,25701573000000.0,25959363000000.0,26196847000000.0,25498310000000.0,26022693000000.0,25801104000000.0
2040.0,25595696000000.0,25931068000000.0,26183092000000.0,25436482000000.0,25931477000000.0,25757340000000.0
2041.0,25577620000000.0,25910649000000.0,26079788000000.0,25373800000000.0,25911720000000.0,25685117000000.0
2042.0,25490784000000.0,25848965000000.0,25987510000000.0,25313627000000.0,25758414000000.0,25653198000000.0
2043.0,25376447000000.0,25878180000000.0,25894196000000.0,25251797000000.0,25698000000000.0,25592010000000.0
2044.0,25286190000000.0,25832995000000.0,25720384000000.0,25120035000000.0,25532901000000.0,25534413000000.0
2045.0,25247590000000.0,25751366000000.0,25597466000000.0,25058475000000.0,25483821000000.0,25481074000000.0
2046.0,25162857000000.0,25734203000000.0,25483210000000.0,25021922000000.0,25370870000000.0,25353978000000.0
2047.0,25067761000000.0,25582058000000.0,25306243000000.0,24906020000000.0,25311192000000.0,25278542000000.0
2048.0,24960137000000.0,25496958000000.0,25056950000000.0,24820163000000.0,25310764000000.0,25206940000000.0
2049.0,24892393000000.0,25475238000000.0,25026697000000.0,24715318000000.0,25235950000000.0,25024375000000.0
