time,NORESM1-M,GFDL-CM3,CCSM4,IPSL-CM5A-LR,GFDL-ESM2G,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
2010.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0
2011.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0
2012.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0
2013.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0
2014.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0
2015.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0
2016.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0
2017.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0
2018.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0
2019.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0
2020.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0
2021.0,4665401400000.0,4645748000000.0,4675754000000.0,4653640600000.0,4678627000000.0,4652087600000.0,4663771400000.0,4672883000000.0
2022.0,4646669600000.0,4605384000000.0,4649249000000.0,4620523000000.0,4652243400000.0,4625599600000.0,4640188000000.0,4629625000000.0
2023.0,4617251300000.0,4555745500000.0,4626554000000.0,4585123500000.0,4647128000000.0,4589758000000.0,4622948000000.0,4603568500000.0
2024.0,4581916400000.0,4548391000000.0,4610589700000.0,4540934400000.0,4612225500000.0,4555695700000.0,4611364600000.0,4591056300000.0
2025.0,4550033400000.0,4519758400000.0,4593440000000.0,4500463000000.0,4599442300000.0,4526472400000.0,4609787000000.0,4560222000000.0
2026.0,4541888000000.0,4480573000000.0,4552820500000.0,4467120000000.0,4577297400000.0,4517997300000.0,4588417600000.0,4529060000000.0
2027.0,4508812300000.0,4458601000000.0,4496365700000.0,4429720000000.0,4572790000000.0,4512554700000.0,4565837000000.0,4505912000000.0
2028.0,4480760000000.0,4446189000000.0,4475308000000.0,4407918000000.0,4556133000000.0,4483767000000.0,4540422700000.0,4465121000000.0
2029.0,4460750300000.0,4401550300000.0,4447395600000.0,4400032000000.0,4540558000000.0,4433853000000.0,4511480000000.0,4426724000000.0
2030.0,4401810000000.0,4367883700000.0,4414991500000.0,4391947500000.0,4518532000000.0,4398647000000.0,4488625700000.0,4394550000000.0
2031.0,4370259000000.0,4356518700000.0,4371165200000.0,4384405800000.0,4496651000000.0,4364069800000.0,4476423000000.0,4373621500000.0
2032.0,4339677500000.0,4312170500000.0,4351448000000.0,4368458800000.0,4466267000000.0,4345493000000.0,4429658000000.0,4336012500000.0
2033.0,4312230300000.0,4291303300000.0,4309921600000.0,4347377500000.0,4424766300000.0,4332585000000.0,4405576000000.0,4298248600000.0
2034.0,4273741200000.0,4274350200000.0,4275876100000.0,4310939500000.0,4402428000000.0,4314322400000.0,4388127000000.0,4287406000000.0
2035.0,4256572600000.0,4255330300000.0,4242979200000.0,4302134300000.0,4381770000000.0,4285604600000.0,4369021000000.0,4279892200000.0
2036.0,4235350800000.0,4230963800000.0,4252251500000.0,4266892200000.0,4372834000000.0,4252564000000.0,4346394700000.0,4250379000000.0
2037.0,4210752000000.0,4226771600000.0,4213422700000.0,4216526500000.0,4353079000000.0,4236810400000.0,4320664500000.0,4232068700000.0
2038.0,4169924000000.0,4212344200000.0,4176779000000.0,4173844200000.0,4339766400000.0,4221858200000.0,4288631800000.0,4216849400000.0
2039.0,4128273600000.0,4205578300000.0,4153215300000.0,4148568800000.0,4330322100000.0,4199056100000.0,4268528200000.0,4206398300000.0
