time,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,GFDL-ESM2G,IPSL-CM5A-LR,MPI-ESM-LR,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,CNRM-CM5
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
2010.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0
2011.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0
2012.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0
2013.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0
2014.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0
2015.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0
2016.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0
2017.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0
2018.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0
2019.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0
2020.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0
2021.0,4642837600000.0,4662585500000.0,4693187000000.0,4694106000000.0,4664543700000.0,4640976000000.0,4676019300000.0,4655901300000.0,4649022700000.0,4653269400000.0,4644171000000.0
2022.0,4624869000000.0,4635944000000.0,4681060300000.0,4675168400000.0,4618366500000.0,4606410000000.0,4646947000000.0,4634263000000.0,4632992000000.0,4630920000000.0,4636929000000.0
2023.0,4596761600000.0,4609697400000.0,4648851700000.0,4657213600000.0,4565522000000.0,4574367700000.0,4624734500000.0,4611233000000.0,4600242400000.0,4611241000000.0,4596010300000.0
2024.0,4553857600000.0,4598295700000.0,4629155000000.0,4637581600000.0,4534184000000.0,4549201000000.0,4607012500000.0,4588285500000.0,4550773700000.0,4606012700000.0,4597121300000.0
2025.0,4525672400000.0,4564656000000.0,4593928400000.0,4616111500000.0,4498362700000.0,4520232000000.0,4569473000000.0,4588122000000.0,4517000600000.0,4594975000000.0,4551245000000.0
2026.0,4485535000000.0,4495983500000.0,4580160600000.0,4580001000000.0,4449223000000.0,4498080000000.0,4554074600000.0,4563453600000.0,4485937600000.0,4579297600000.0,4514490000000.0
2027.0,4439378000000.0,4465799000000.0,4572520000000.0,4565189500000.0,4431254000000.0,4492800600000.0,4548798000000.0,4521274600000.0,4470076000000.0,4565243500000.0,4488015000000.0
2028.0,4415457600000.0,4436487000000.0,4562997500000.0,4530961400000.0,4395673300000.0,4473145500000.0,4534942300000.0,4486871400000.0,4470269300000.0,4545072000000.0,4463375400000.0
2029.0,4378493000000.0,4392088500000.0,4556770000000.0,4514691700000.0,4375200400000.0,4440925000000.0,4510696600000.0,4470874000000.0,4441647300000.0,4507052300000.0,4407273000000.0
2030.0,4341189000000.0,4333871000000.0,4543257500000.0,4503205000000.0,4359176600000.0,4429494000000.0,4451487000000.0,4459157000000.0,4401281000000.0,4469491000000.0,4389359800000.0
2031.0,4319824000000.0,4296467000000.0,4534222000000.0,4485117600000.0,4344502800000.0,4424674600000.0,4395424000000.0,4445701000000.0,4366694600000.0,4443081300000.0,4342568500000.0
2032.0,4279840500000.0,4260577400000.0,4505863700000.0,4450744300000.0,4329102600000.0,4401030000000.0,4378361000000.0,4443261600000.0,4341361800000.0,4410093000000.0,4290155600000.0
2033.0,4270595200000.0,4231044000000.0,4480789000000.0,4419301700000.0,4291701200000.0,4366195800000.0,4371737200000.0,4433076000000.0,4313726600000.0,4361838000000.0,4266642400000.0
2034.0,4235523300000.0,4195009400000.0,4466720000000.0,4419096700000.0,4259154200000.0,4352405100000.0,4348726200000.0,4410224700000.0,4283873000000.0,4340538000000.0,4246826000000.0
2035.0,4199387500000.0,4169297000000.0,4459027500000.0,4408725700000.0,4221742600000.0,4342022000000.0,4334429700000.0,4402503000000.0,4239804900000.0,4323217800000.0,4214212500000.0
2036.0,4173975500000.0,4151150000000.0,4419188000000.0,4377247500000.0,4208838600000.0,4311893000000.0,4319851600000.0,4371007000000.0,4186896900000.0,4299568400000.0,4185977300000.0
2037.0,4164489300000.0,4123329800000.0,4387063700000.0,4365288500000.0,4205923300000.0,4285132200000.0,4256757200000.0,4344994300000.0,4166606000000.0,4296235500000.0,4136648800000.0
2038.0,4130517500000.0,4092770400000.0,4371728300000.0,4344282600000.0,4189409800000.0,4264108500000.0,4223602000000.0,4331085500000.0,4122126600000.0,4295112500000.0,4122355200000.0
2039.0,4092235600000.0,4067268200000.0,4332061500000.0,4330089600000.0,4166757600000.0,4247445800000.0,4200294000000.0,4321062000000.0,4077876200000.0,4291513300000.0,4115145000000.0
