time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
2010.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0
2011.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0
2012.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0
2013.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0
2014.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0
2015.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0
2016.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0
2017.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0
2018.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0
2019.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0
2020.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0
2021.0,4684878700000.0,4649750400000.0,4667777500000.0,4689525500000.0,4653645300000.0,4668032000000.0,4669344000000.0,4664481300000.0,4663843000000.0,4675062000000.0
2022.0,4665375000000.0,4626526500000.0,4650403600000.0,4682289000000.0,4625227000000.0,4642195400000.0,4627644300000.0,4639108400000.0,4643367000000.0,4645022300000.0
2023.0,4638227000000.0,4608365000000.0,4600091400000.0,4650520500000.0,4610297000000.0,4611006500000.0,4606285300000.0,4616629500000.0,4627579000000.0,4596370000000.0
2024.0,4627033000000.0,4589086000000.0,4583406000000.0,4586455000000.0,4579673500000.0,4596827000000.0,4575208000000.0,4590960400000.0,4601737600000.0,4563881000000.0
2025.0,4589071400000.0,4554935500000.0,4554432700000.0,4546255000000.0,4566756000000.0,4581344400000.0,4556757000000.0,4527873300000.0,4573546000000.0,4554533000000.0
2026.0,4549594600000.0,4517044000000.0,4531884000000.0,4498512700000.0,4540018500000.0,4575967300000.0,4531924500000.0,4487299700000.0,4553955600000.0,4517835000000.0
2027.0,4518916400000.0,4481210600000.0,4497892400000.0,4457901000000.0,4530784700000.0,4551253000000.0,4507880700000.0,4440753400000.0,4529848300000.0,4467179000000.0
2028.0,4497112000000.0,4461967000000.0,4471077700000.0,4427859000000.0,4494430000000.0,4519155000000.0,4453556000000.0,4367502000000.0,4477189000000.0,4456927700000.0
2029.0,4466039300000.0,4442539700000.0,4448409600000.0,4399988000000.0,4485393000000.0,4480972000000.0,4419334000000.0,4328831300000.0,4440985700000.0,4414639000000.0
2030.0,4428205000000.0,4427153000000.0,4412448000000.0,4375644500000.0,4458295000000.0,4451134000000.0,4382056000000.0,4290797600000.0,4408154000000.0,4380949000000.0
2031.0,4401854000000.0,4406797400000.0,4388429200000.0,4366660800000.0,4428052600000.0,4434087600000.0,4333772000000.0,4253015600000.0,4388153700000.0,4369191500000.0
2032.0,4378169700000.0,4393333000000.0,4375631600000.0,4346881800000.0,4406709000000.0,4421194000000.0,4267525500000.0,4217515300000.0,4366800000000.0,4357000500000.0
2033.0,4368377300000.0,4353473600000.0,4326451000000.0,4305258300000.0,4386204200000.0,4378206700000.0,4210308700000.0,4175670000000.0,4328235500000.0,4318122700000.0
2034.0,4353487300000.0,4328697000000.0,4306562400000.0,4272245400000.0,4350134700000.0,4328781800000.0,4180042300000.0,4151927600000.0,4304156000000.0,4255840000000.0
2035.0,4325932000000.0,4316886700000.0,4275603000000.0,4237881500000.0,4340857700000.0,4289388000000.0,4151750700000.0,4117703000000.0,4289676700000.0,4228777800000.0
2036.0,4304434000000.0,4301141600000.0,4242219000000.0,4213184000000.0,4304363000000.0,4249682200000.0,4122183000000.0,4075522600000.0,4245609800000.0,4209513900000.0
2037.0,4294701700000.0,4241284100000.0,4199909700000.0,4176976000000.0,4275558700000.0,4207410400000.0,4086770000000.0,4027550300000.0,4192655400000.0,4195808700000.0
2038.0,4287005700000.0,4207395200000.0,4174324700000.0,4114572400000.0,4258756300000.0,4184140000000.0,4042522000000.0,3996662000000.0,4179567800000.0,4178254200000.0
2039.0,4242731400000.0,4168367700000.0,4146386000000.0,4082016000000.0,4241882300000.0,4151972700000.0,4011061700000.0,3956202300000.0,4149365700000.0,4153079800000.0
2040.0,4223492400000.0,4097707900000.0,4085820700000.0,4055672800000.0,4203095800000.0,4135185500000.0,3981958700000.0,3882457800000.0,4116961000000.0,4125535800000.0
2041.0,4202865000000.0,4068452900000.0,4054515000000.0,4027612100000.0,4184751200000.0,4122178200000.0,3955395100000.0,3852184600000.0,4079935300000.0,4104417400000.0
2042.0,4188207800000.0,3999353300000.0,4032257000000.0,3995142200000.0,4157334600000.0,4114915500000.0,3933413800000.0,3798130200000.0,4064193300000.0,4085930300000.0
2043.0,4121314000000.0,3966061500000.0,3995751400000.0,3952580500000.0,4151423000000.0,4081279800000.0,3886824600000.0,3746086500000.0,4023553400000.0,4067514400000.0
2044.0,4086956600000.0,3921100400000.0,3971166800000.0,3919752700000.0,4148149400000.0,4052694300000.0,3835513000000.0,3715947300000.0,3991542200000.0,4028245700000.0
