time,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0,133755126000.0
2001.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0,132738480000.0
2002.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0,131753620000.0
2003.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0,130296960000.0
2004.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0,129265656000.0
2005.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0,128364190000.0
2006.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0,127007070000.0
2007.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0,125484250000.0
2008.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0,123747470000.0
2009.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0,121561280000.0
2010.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0,120761745000.0
2011.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0,119271850000.0
2012.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0,117383250000.0
2013.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0,115975930000.0
2014.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0,115214840000.0
2015.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0,113599275000.0
2016.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0,111849000000.0
2017.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0,109499560000.0
2018.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0,107731270000.0
2019.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0,106519994000.0
2020.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0,105577290000.0
2021.0,102799080000.0,104856360000.0,102691730000.0,104152100000.0,104566465000.0
2022.0,99088105000.0,102928610000.0,99188480000.0,101455454000.0,103587594000.0
2023.0,96430870000.0,101501950000.0,95460780000.0,100140800000.0,102925670000.0
2024.0,92929400000.0,98932965000.0,92585230000.0,96343750000.0,100420895000.0
2025.0,89295250000.0,95132610000.0,88888310000.0,94937710000.0,98608940000.0
2026.0,86251520000.0,93219680000.0,84381550000.0,92003390000.0,97005355000.0
2027.0,80673505000.0,92484250000.0,80203360000.0,89627210000.0,94531620000.0
2028.0,77483516000.0,90967550000.0,76868540000.0,85936360000.0,94250060000.0
2029.0,72998100000.0,88640905000.0,72569060000.0,83073520000.0,92956510000.0
2030.0,69440360000.0,87997180000.0,70139710000.0,80268510000.0,92241000000.0
2031.0,64531220000.0,85683020000.0,67126043000.0,78112610000.0,91013600000.0
2032.0,60234630000.0,82668160000.0,62898913000.0,76813115000.0,88942666000.0
2033.0,57209516000.0,80459320000.0,59726330000.0,73871890000.0,86882435000.0
2034.0,53624304000.0,78338070000.0,56879063000.0,70129930000.0,84791880000.0
2035.0,50161780000.0,77386650000.0,53972152000.0,66366450000.0,84425980000.0
2036.0,46872770000.0,75595600000.0,52376680000.0,64163627000.0,82618160000.0
2037.0,43320300000.0,73758835000.0,50041475000.0,62100304000.0,81240580000.0
2038.0,40236450000.0,71149610000.0,46405816000.0,60365370000.0,78775570000.0
2039.0,38280995000.0,69492610000.0,42915870000.0,57720865000.0,76531410000.0
2040.0,34743435000.0,68322280000.0,40778957000.0,54685500000.0,73716650000.0
2041.0,31981625000.0,65907606000.0,38635737000.0,51746705000.0,71175460000.0
2042.0,29561512000.0,64616820000.0,37148970000.0,49546883000.0,69441390000.0
2043.0,27801158000.0,62058610000.0,35057365000.0,47602876000.0,67599130000.0
2044.0,25651464000.0,61137027000.0,33445767000.0,44820603000.0,66997395000.0
2045.0,23607077000.0,59461755000.0,31790907000.0,43247124000.0,64828410000.0
2046.0,21928843000.0,57488880000.0,29726999000.0,40940634000.0,63706644000.0
2047.0,20369971000.0,56800756000.0,27867951000.0,38957826000.0,62358370000.0
2048.0,18224960000.0,55404920000.0,26579245000.0,37281720000.0,59864134000.0
2049.0,16662551000.0,53044244000.0,25455696000.0,34645220000.0,58378105000.0
2050.0,15603954000.0,50491286000.0,24595456000.0,32366330000.0,56791704000.0
2051.0,14375299000.0,48334344000.0,23792900000.0,30152188000.0,55425204000.0
2052.0,13340372000.0,45905576000.0,23057644000.0,28398438000.0,53354738000.0
2053.0,12422495000.0,43993260000.0,22289031000.0,26842930000.0,52044947000.0
2054.0,11662017000.0,41939083000.0,21725948000.0,25317847000.0,50862264000.0
2055.0,10828570000.0,41329010000.0,21149403000.0,23715473000.0,50013090000.0
2056.0,10048393000.0,39817978000.0,20502555000.0,22227980000.0,47904285000.0
2057.0,9598720000.0,37337300000.0,19743173000.0,20672496000.0,45727437000.0
2058.0,8978199000.0,35883510000.0,19154278000.0,19407714000.0,44306870000.0
2059.0,8474926000.0,33866844000.0,18046330000.0,17934375000.0,43193143000.0
2060.0,7988847000.0,32327582000.0,17190730000.0,16780548000.0,40913846000.0
2061.0,7567676000.0,30916370000.0,16592101000.0,15594414000.0,39286370000.0
2062.0,7023839000.0,29947783000.0,15796853000.0,14824534000.0,38094590000.0
2063.0,6586966000.0,28730330000.0,15122613000.0,13490643000.0,36732050000.0
2064.0,6230821000.0,27322431000.0,14659978000.0,12546211000.0,35091735000.0
2065.0,6064886000.0,26306490000.0,14332605000.0,11975666000.0,33445239000.0
2066.0,5731616300.0,24976430000.0,13961535000.0,11486709000.0,32262877000.0
2067.0,5470999000.0,23872561000.0,13548426000.0,10832539000.0,31240151000.0
2068.0,5188504600.0,23059632000.0,13006638000.0,10261336000.0,29884312000.0
2069.0,4961597000.0,21976111000.0,12784050000.0,9533625000.0,28968088000.0
2070.0,4654496300.0,20906748000.0,12237812000.0,9118244000.0,27464900000.0
2071.0,4493041000.0,19992780000.0,11842345000.0,8567024000.0,26634560000.0
2072.0,4330532000.0,19567505000.0,11743959000.0,8129379000.0,25825820000.0
2073.0,4199027500.0,19007950000.0,11418827000.0,7591983600.0,24801250000.0
