time,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2,CANESM5
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
2011.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0
2012.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0
2013.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0
2014.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0
2015.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0
2016.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0
2017.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0
2018.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0
2019.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0
2020.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0
2021.0,705358270000.0,701558800000.0,701191600000.0,698126900000.0,705982300000.0,741117500000.0
2022.0,692796600000.0,691926470000.0,681609600000.0,682706530000.0,693143000000.0,772869460000.0
2023.0,685165000000.0,679535000000.0,673957940000.0,671923000000.0,682501700000.0,751556900000.0
2024.0,674117650000.0,668252500000.0,660304600000.0,657291400000.0,673758100000.0,735633740000.0
2025.0,668900850000.0,656330650000.0,645551750000.0,643654500000.0,654553060000.0,724615950000.0
2026.0,651799170000.0,643193100000.0,632637100000.0,635979400000.0,632408050000.0,713020340000.0
2027.0,636629550000.0,620140000000.0,609928940000.0,621904200000.0,615106740000.0,687480000000.0
2028.0,623401800000.0,598889860000.0,600330800000.0,612394100000.0,599709840000.0,674039000000.0
2029.0,611518600000.0,584084360000.0,597108800000.0,612112860000.0,580770500000.0,646748400000.0
2030.0,587883350000.0,572457900000.0,579082300000.0,595783800000.0,567790670000.0,646476800000.0
2031.0,572615900000.0,557936930000.0,563635360000.0,583402700000.0,559259450000.0,640307900000.0
2032.0,557046300000.0,544938920000.0,545154200000.0,575643300000.0,544187650000.0,615873200000.0
2033.0,538896400000.0,527747500000.0,534612930000.0,557877800000.0,530151640000.0,587599500000.0
2034.0,536865000000.0,515589540000.0,519913870000.0,538282160000.0,525856150000.0,561976970000.0
2035.0,527404340000.0,499540460000.0,507472300000.0,524240200000.0,515209170000.0,554357360000.0
2036.0,512592400000.0,484348300000.0,498551260000.0,505527500000.0,512854260000.0,522374380000.0
2037.0,499044420000.0,465487560000.0,485876040000.0,498316940000.0,509614880000.0,524848270000.0
2038.0,483619080000.0,450441380000.0,474061100000.0,487790500000.0,496268900000.0,510007100000.0
2039.0,469219080000.0,437002240000.0,467594400000.0,470493820000.0,482064760000.0,488122680000.0
2040.0,459824100000.0,416532000000.0,455792700000.0,456638140000.0,470673520000.0,472914460000.0
2041.0,445057140000.0,401959900000.0,437116800000.0,444789160000.0,455254840000.0,462794460000.0
2042.0,436605680000.0,386230260000.0,429331550000.0,443740750000.0,446679940000.0,444093730000.0
2043.0,423631680000.0,382228800000.0,411119300000.0,426251260000.0,433961600000.0,421319770000.0
2044.0,422807370000.0,373931000000.0,401422580000.0,415906430000.0,417369200000.0,404894420000.0
