time,MPI-ESM1-2-HR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CANESM5,BCC-CSM2-MR,CAMS-CSM1-0,ACCESS-CM2,EC-EARTH3,TAIESM1,ACCESS-ESM1-5,NORESM2-MM,INM-CM4-8,FGOALS-F3-L
2032.0,81953830000.0,79648730000.0,78954520000.0,82417440000.0,79555330000.0,81529045000.0,80565990000.0,79858630000.0,80900270000.0,80776995000.0,79044870000.0,80692240000.0,79591145000.0,79531190000.0,80870590000.0,79627030000.0,81541644000.0,81202010000.0,81056090000.0
2033.0,81581335000.0,78959346000.0,78367070000.0,82084070000.0,79211080000.0,81232600000.0,80006150000.0,79075090000.0,80425790000.0,80313800000.0,78240900000.0,80106275000.0,79119260000.0,78894540000.0,80383345000.0,78860920000.0,81340590000.0,80573006000.0,80539390000.0
2034.0,81209860000.0,79099510000.0,77608485000.0,81964925000.0,78761730000.0,80893665000.0,79694690000.0,78427640000.0,79921226000.0,79613580000.0,77106184000.0,80003910000.0,78314970000.0,78285455000.0,79608560000.0,78111965000.0,81636580000.0,80107560000.0,80055890000.0
2035.0,80537390000.0,78040244000.0,76669850000.0,81558800000.0,78610000000.0,80467935000.0,79685040000.0,77847290000.0,79633090000.0,79080100000.0,76239550000.0,79155840000.0,77630325000.0,77687850000.0,79010610000.0,77527564000.0,80857670000.0,79326180000.0,79535340000.0
2036.0,80016600000.0,76993610000.0,76103220000.0,81111210000.0,77907410000.0,80062380000.0,78989165000.0,77343660000.0,79328350000.0,78477040000.0,75145830000.0,78368375000.0,76709550000.0,76883860000.0,78382040000.0,77119200000.0,79964210000.0,78503690000.0,78918525000.0
2037.0,79740550000.0,76619090000.0,75319630000.0,80615040000.0,77056960000.0,79580370000.0,78569955000.0,76414304000.0,78881250000.0,77681230000.0,74844610000.0,77819530000.0,75848745000.0,76020120000.0,77748340000.0,76180330000.0,79461640000.0,77736660000.0,78455820000.0
2038.0,79191340000.0,76106460000.0,74372030000.0,80064610000.0,76194900000.0,79152180000.0,77552490000.0,75623230000.0,78248550000.0,77329826000.0,74240190000.0,77123805000.0,75045626000.0,75452965000.0,77114720000.0,75714540000.0,79058930000.0,77194870000.0,77778930000.0
2039.0,78695910000.0,75072270000.0,73809840000.0,79396480000.0,75654610000.0,78653450000.0,76796805000.0,75026145000.0,77749630000.0,76639715000.0,73820480000.0,76659610000.0,75038010000.0,74872260000.0,76471230000.0,74542710000.0,78585070000.0,76442770000.0,77208490000.0
2040.0,79999070000.0,74498040000.0,74030785000.0,79443520000.0,74781204000.0,78141325000.0,75975800000.0,74647110000.0,77306724000.0,75767920000.0,72890500000.0,76280230000.0,74216730000.0,73913730000.0,75692140000.0,73680585000.0,78072500000.0,75812170000.0,76778050000.0
2041.0,79355930000.0,73711890000.0,72802430000.0,78539390000.0,74130870000.0,77866500000.0,75452570000.0,74355180000.0,77012320000.0,74863140000.0,71817100000.0,76006015000.0,73207400000.0,72791520000.0,74872980000.0,72657370000.0,77370020000.0,75427270000.0,76585450000.0
2042.0,78192240000.0,72819980000.0,71704950000.0,77973316000.0,73467650000.0,77310410000.0,74421810000.0,73618660000.0,76286460000.0,74195616000.0,71154440000.0,76065070000.0,72456620000.0,71965180000.0,73865000000.0,71878270000.0,76823120000.0,74891880000.0,76297620000.0
2043.0,77253790000.0,71711780000.0,70837480000.0,77014410000.0,73115500000.0,76876740000.0,73764050000.0,72998930000.0,75717010000.0,73226740000.0,70108990000.0,76336280000.0,71469340000.0,71268810000.0,73134290000.0,71272180000.0,76195620000.0,74146840000.0,75593310000.0
2044.0,76694585000.0,70866240000.0,70239310000.0,76483060000.0,72305400000.0,76308234000.0,73022930000.0,72104935000.0,75131036000.0,72177690000.0,69229290000.0,74715010000.0,70703505000.0,70781310000.0,72262240000.0,70618910000.0,75671390000.0,73545790000.0,74836976000.0
2045.0,76272320000.0,69997560000.0,69533370000.0,76032310000.0,71380615000.0,75817870000.0,72330990000.0,71398090000.0,74244800000.0,71150050000.0,68556673000.0,74314285000.0,69857260000.0,70012396000.0,71265760000.0,70098846000.0,74825040000.0,73183330000.0,74221330000.0
2046.0,76106140000.0,69357500000.0,68684984000.0,75861270000.0,70407954000.0,75396810000.0,71794600000.0,70869890000.0,73616340000.0,70174840000.0,67803580000.0,73939616000.0,68904030000.0,68975470000.0,70483330000.0,69574280000.0,74013745000.0,72530560000.0,73413310000.0
2047.0,75349530000.0,68759190000.0,68319010000.0,75018265000.0,69320930000.0,75894380000.0,71183340000.0,70151640000.0,73185390000.0,69378980000.0,67050602000.0,73500615000.0,68057068000.0,67824194000.0,69556950000.0,68477112000.0,73206560000.0,71992410000.0,73148080000.0
2048.0,74841630000.0,68443685000.0,67081834000.0,74020720000.0,68602032000.0,74790300000.0,70475430000.0,69595840000.0,72662530000.0,68325016000.0,66232177000.0,73031640000.0,67437978000.0,67066524000.0,68520346000.0,67914230000.0,72383400000.0,71305190000.0,72110360000.0
2049.0,74390860000.0,67608048000.0,65932874000.0,72897010000.0,67505926000.0,74121530000.0,69731670000.0,68870750000.0,72050220000.0,67345744000.0,65819767000.0,72379530000.0,66752440000.0,66177778000.0,67331770000.0,67200037000.0,71699310000.0,70742470000.0,71395885000.0
2050.0,73782110000.0,66835950000.0,65105830000.0,72030580000.0,66597577000.0,73577300000.0,69095360000.0,68006048000.0,71331770000.0,66504170000.0,64633917000.0,71697620000.0,65844570000.0,65249194000.0,66305282000.0,66654835000.0,70868296000.0,70157115000.0,70766470000.0
2051.0,73298740000.0,65860040000.0,64592150000.0,71750296000.0,66204643000.0,74281435000.0,68355650000.0,67194106000.0,70696860000.0,65562206000.0,63725863000.0,71405020000.0,65015706000.0,64353130000.0,65471824000.0,66561176000.0,70182670000.0,69457200000.0,70091960000.0
2052.0,72815120000.0,65314935000.0,64018334000.0,71005150000.0,64706780000.0,72985076000.0,68298834000.0,66450740000.0,70342850000.0,64568664000.0,62921290000.0,70997434000.0,64402120000.0,63398930000.0,64666210000.0,65493025000.0,69235490000.0,69234090000.0,69900370000.0
2053.0,72354820000.0,64174883000.0,63366357000.0,70227690000.0,63810500000.0,72644256000.0,67501134000.0,65677360000.0,69907900000.0,63685964000.0,62144254000.0,70633366000.0,63642180000.0,62352257000.0,63829365000.0,64584004000.0,68080017000.0,68393603000.0,69039006000.0
2054.0,71828005000.0,63378616000.0,62179970000.0,69422670000.0,62732990000.0,71877240000.0,66822738000.0,64730427000.0,69135580000.0,62868520000.0,61535240000.0,69674250000.0,62704110000.0,61503255000.0,62698000000.0,63777390000.0,67293170000.0,67940990000.0,68359684000.0
2055.0,71633240000.0,62618624000.0,61169717000.0,68654710000.0,61742584000.0,71396690000.0,66154594000.0,63906783000.0,68652480000.0,62034020000.0,61095223000.0,69426750000.0,61889745000.0,60676960000.0,61712400000.0,62811940000.0,66761860000.0,67460600000.0,68069597000.0
2056.0,70958580000.0,61758788000.0,60297736000.0,67452910000.0,60982088000.0,70789780000.0,65629910000.0,62983050000.0,68024877000.0,61152940000.0,60335845000.0,68749574000.0,60843300000.0,60025885000.0,60417950000.0,61996646000.0,65961873000.0,66480820000.0,67144954000.0
2057.0,70376055000.0,60935705000.0,59331110000.0,66465670000.0,59938940000.0,70020555000.0,65076097000.0,62743250000.0,67433150000.0,60032893000.0,59682740000.0,68127030000.0,59848724000.0,59119972000.0,59675128000.0,60928233000.0,65272664000.0,65807544000.0,66815074000.0
2058.0,69834000000.0,60285796000.0,58542813000.0,65421095000.0,59050713000.0,69214960000.0,64241738000.0,61795280000.0,66959282000.0,58981777000.0,58909280000.0,68617870000.0,58981590000.0,58380420000.0,58731190000.0,59970937000.0,64366150000.0,65228878000.0,65895750000.0
2059.0,69178876000.0,59339715000.0,57778990000.0,64488014000.0,57857233000.0,68768860000.0,63589290000.0,60919320000.0,66234540000.0,58175103000.0,57843945000.0,67288556000.0,58038714000.0,57581380000.0,57398505000.0,58985260000.0,63316177000.0,64655704000.0,65090430000.0
2060.0,68689015000.0,58103960000.0,56709403000.0,63721718000.0,56743520000.0,68131520000.0,62725005000.0,59974455000.0,65752752000.0,57287393000.0,56630776000.0,66706403000.0,57165865000.0,56569970000.0,56206120000.0,57953235000.0,62291660000.0,64204600000.0,64409735000.0
2061.0,68057120000.0,56973640000.0,55731302000.0,63236080000.0,55737127000.0,68181560000.0,62087016000.0,59045958000.0,65201234000.0,56273060000.0,55575370000.0,66274250000.0,56362540000.0,55751100000.0,54870286000.0,56819216000.0,61373567000.0,63695925000.0,63714693000.0
2062.0,67519504000.0,56147055000.0,54734000000.0,62232880000.0,54366196000.0,67552920000.0,61508694000.0,58391155000.0,64451817000.0,55221547000.0,54665052000.0,65686680000.0,55424455000.0,55081755000.0,53489234000.0,56223610000.0,60412293000.0,63115280000.0,63025310000.0
2063.0,66968916000.0,55187860000.0,53889380000.0,61047087000.0,53404740000.0,66947500000.0,60813746000.0,57733726000.0,64013218000.0,54279410000.0,53941346000.0,65126003000.0,54445260000.0,54121800000.0,52672774000.0,55313010000.0,59378420000.0,62749303000.0,62367010000.0
2064.0,66438770000.0,54392500000.0,52925450000.0,60146586000.0,52228010000.0,66116210000.0,59834750000.0,56812140000.0,63464165000.0,53357343000.0,53063230000.0,64761850000.0,53567230000.0,53282652000.0,51970850000.0,54620710000.0,58730110000.0,63181267000.0,61648617000.0
2065.0,65917640000.0,53380710000.0,51687657000.0,59124740000.0,51206754000.0,65443390000.0,59364905000.0,55951364000.0,62864224000.0,52460863000.0,52466115000.0,64224490000.0,52669650000.0,53167700000.0,50973045000.0,53670140000.0,57764020000.0,61732336000.0,60870280000.0
2066.0,65481187000.0,52584907000.0,50570076000.0,58151686000.0,49750040000.0,64995690000.0,58676515000.0,55089750000.0,62299370000.0,51766104000.0,51573383000.0,63986010000.0,51914560000.0,52117914000.0,49856324000.0,52630090000.0,56825827000.0,61130000000.0,60006650000.0
2067.0,64657530000.0,51838260000.0,49263070000.0,57099375000.0,48342073000.0,64345784000.0,58259747000.0,54336356000.0,61636160000.0,50694095000.0,50678817000.0,63992490000.0,51010224000.0,51485856000.0,48563778000.0,51784960000.0,55938580000.0,60491026000.0,59154215000.0
2068.0,63935865000.0,50942950000.0,48096190000.0,55993025000.0,47257110000.0,63897432000.0,57644593000.0,53678460000.0,60866110000.0,49819830000.0,50001936000.0,63023112000.0,50054310000.0,50611958000.0,47009485000.0,50913340000.0,55113160000.0,60189913000.0,58706375000.0
2069.0,63355920000.0,49863397000.0,47266316000.0,55042822000.0,46385210000.0,63182668000.0,57204090000.0,52597940000.0,60172860000.0,49172177000.0,49124740000.0,62577304000.0,49172400000.0,49342915000.0,46016893000.0,49989530000.0,54405880000.0,59485696000.0,57858680000.0
2070.0,63113753000.0,48916280000.0,46503060000.0,54159250000.0,45212987000.0,62758093000.0,56754016000.0,51857416000.0,59541500000.0,48257364000.0,48297430000.0,61918610000.0,48368964000.0,48317500000.0,44995076000.0,48587070000.0,53670650000.0,58797510000.0,57060364000.0
2071.0,62250760000.0,47962313000.0,45451280000.0,53156532000.0,44059350000.0,62013690000.0,56003420000.0,50960196000.0,58804360000.0,47148253000.0,47345963000.0,61466410000.0,47540460000.0,47313842000.0,43701600000.0,47697527000.0,52661110000.0,58297830000.0,56013435000.0
2072.0,61720682000.0,46972686000.0,44133220000.0,52350108000.0,42880963000.0,61409770000.0,55311344000.0,50036820000.0,58368602000.0,46240830000.0,46290194000.0,61058560000.0,46677463000.0,46588862000.0,42578350000.0,46548824000.0,51669246000.0,57833110000.0,55249093000.0
2073.0,61242278000.0,45964575000.0,42662384000.0,51264377000.0,42033783000.0,61034710000.0,54659350000.0,49069306000.0,57908584000.0,45413716000.0,45383130000.0,60972597000.0,45698710000.0,45641520000.0,41757323000.0,45478662000.0,50808270000.0,57290306000.0,54513025000.0
