time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4,GISS-E2-R,CANESM2,GFDL-CM3,CNRM-CM5,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G
2000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0
2001.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0
2002.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0
2003.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0
2004.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0
2005.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0
2006.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0
2007.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0
2008.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0
2009.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0
2010.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0
2011.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0
2012.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0
2013.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0
2014.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0
2015.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0
2016.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0
2017.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0
2018.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0
2019.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0
2020.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0
2021.0,265646370000.0,266890000000.0,266761010000.0,265668070000.0,266880020000.0,265234760000.0,265955180000.0,266688180000.0,268279860000.0,265632660000.0
2022.0,265699100000.0,264441480000.0,266742510000.0,263767360000.0,265473340000.0,259941120000.0,262213400000.0,262862720000.0,263007060000.0,260794340000.0
2023.0,264241430000.0,262488700000.0,263103900000.0,260823350000.0,265121940000.0,252196850000.0,261356000000.0,257914340000.0,255886820000.0,256797020000.0
2024.0,261842930000.0,257440530000.0,256850330000.0,257356970000.0,263248180000.0,248330240000.0,262118010000.0,258692240000.0,253076370000.0,253310190000.0
2025.0,261143840000.0,255760610000.0,255331430000.0,250712060000.0,257739400000.0,242876280000.0,259753100000.0,259766880000.0,246571990000.0,250968880000.0
2026.0,260185830000.0,250105250000.0,253047820000.0,247443570000.0,254188780000.0,237161090000.0,257767100000.0,259169830000.0,243425080000.0,248640160000.0
2027.0,259071510000.0,244850260000.0,248644390000.0,245038240000.0,251157600000.0,232354640000.0,257361740000.0,255570260000.0,238241800000.0,242353910000.0
2028.0,258786870000.0,238469230000.0,248348770000.0,240472110000.0,244559820000.0,227657120000.0,254826280000.0,253978640000.0,234589360000.0,238872050000.0
2029.0,260355340000.0,237844870000.0,245808860000.0,233981970000.0,240785110000.0,221856710000.0,251812070000.0,253551330000.0,231571780000.0,235126500000.0
2030.0,260369760000.0,234170580000.0,245582480000.0,233126170000.0,238609700000.0,215255480000.0,247056730000.0,252347190000.0,225782840000.0,231412900000.0
2031.0,256826260000.0,233583480000.0,244870920000.0,227566730000.0,231705820000.0,210867030000.0,244172360000.0,251657900000.0,218944260000.0,224772340000.0
2032.0,255362890000.0,230420820000.0,242985710000.0,224917930000.0,228623700000.0,206505600000.0,241198300000.0,246506010000.0,212025950000.0,222297440000.0
2033.0,254271370000.0,226458370000.0,240909500000.0,219033880000.0,221548900000.0,204308280000.0,238280250000.0,246074300000.0,207043800000.0,219308050000.0
2034.0,252956970000.0,220159820000.0,236946050000.0,215770640000.0,217003400000.0,200014230000.0,235646750000.0,245101300000.0,200324640000.0,215716410000.0
2035.0,251448870000.0,215361980000.0,232162640000.0,213546660000.0,215746660000.0,195566320000.0,231120760000.0,241441490000.0,194258570000.0,214147660000.0
2036.0,246503600000.0,211281530000.0,227315300000.0,208002830000.0,212041480000.0,193903210000.0,227773840000.0,237969720000.0,189215010000.0,211054950000.0
2037.0,245548680000.0,215221080000.0,223263080000.0,202437840000.0,205831400000.0,190576770000.0,223810260000.0,237916550000.0,182699790000.0,209635720000.0
2038.0,243724340000.0,211185880000.0,221389730000.0,197653380000.0,200835780000.0,186626060000.0,221675040000.0,235182460000.0,178238640000.0,206034730000.0
2039.0,242781860000.0,210400900000.0,218867610000.0,193445270000.0,195378510000.0,181406900000.0,217533900000.0,229025710000.0,173326800000.0,203320510000.0
2040.0,236503040000.0,204764640000.0,216655920000.0,187806910000.0,192374060000.0,175739160000.0,215831720000.0,225672200000.0,167015300000.0,200028130000.0
2041.0,233284100000.0,203246550000.0,213717700000.0,183227430000.0,188579430000.0,172368250000.0,213792850000.0,222991560000.0,165359520000.0,195726340000.0
2042.0,232865150000.0,197512610000.0,210307320000.0,177493750000.0,182944940000.0,166896520000.0,211006800000.0,222477660000.0,161622440000.0,191459840000.0
2043.0,232475560000.0,192116560000.0,209155160000.0,170234800000.0,180157070000.0,162369450000.0,208622030000.0,218907340000.0,156776370000.0,190191500000.0
2044.0,227783490000.0,187389480000.0,207803760000.0,166162560000.0,177507530000.0,157017800000.0,204902500000.0,213933300000.0,152466880000.0,186853030000.0
2045.0,221875600000.0,187043940000.0,207127720000.0,160871060000.0,174110100000.0,152667930000.0,200750630000.0,209472360000.0,146767000000.0,187426520000.0
2046.0,216039900000.0,182253200000.0,202798700000.0,154463520000.0,168478180000.0,148023700000.0,197592020000.0,210020700000.0,139739320000.0,186598150000.0
2047.0,212949400000.0,179138350000.0,198184390000.0,148805000000.0,163474440000.0,143999190000.0,194202470000.0,208355300000.0,134728630000.0,185092240000.0
2048.0,211909750000.0,173676310000.0,194899530000.0,142320250000.0,159210460000.0,139677270000.0,191480740000.0,205528150000.0,129041916000.0,181968390000.0
2049.0,210923590000.0,170845240000.0,190667240000.0,136918670000.0,154684950000.0,135304790000.0,188263970000.0,201397670000.0,124691630000.0,178778650000.0
