time,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,CCSM4,CSIRO-MK3-6-0,GFDL-CM3,GISS-E2-R
2000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0
2001.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0
2002.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0
2003.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0
2004.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0
2005.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0
2006.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0
2007.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0
2008.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0
2009.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0
2010.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0
2011.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0
2012.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0
2013.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0
2014.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0
2015.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0
2016.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0
2017.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0
2018.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0
2019.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0
2020.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0
2021.0,264671790000.0,267414000000.0,264138770000.0,264420750000.0,267365380000.0,270865170000.0,264592770000.0,268631440000.0
2022.0,261442760000.0,263293370000.0,257671800000.0,265718580000.0,265386310000.0,273286000000.0,261152310000.0,267012230000.0
2023.0,262489620000.0,259859970000.0,255295230000.0,262284850000.0,263989690000.0,271682950000.0,259026490000.0,268053920000.0
2024.0,263128100000.0,257456870000.0,253164100000.0,259137270000.0,262474610000.0,272279100000.0,254951900000.0,267648550000.0
2025.0,260755850000.0,254352470000.0,253613230000.0,256621330000.0,259832710000.0,271779070000.0,250907120000.0,263821890000.0
2026.0,258595400000.0,250591180000.0,250914050000.0,251809250000.0,257410810000.0,268729680000.0,246223850000.0,260155870000.0
2027.0,258647640000.0,247454840000.0,245854160000.0,245279930000.0,255516600000.0,269275770000.0,242553060000.0,257796060000.0
2028.0,256080480000.0,245084930000.0,242223070000.0,242824760000.0,252581860000.0,269496700000.0,239777420000.0,254569330000.0
2029.0,254993270000.0,240433220000.0,238903330000.0,235128260000.0,246835360000.0,266828400000.0,231858830000.0,250265200000.0
2030.0,254029920000.0,235793860000.0,238387510000.0,235878420000.0,241698600000.0,267074300000.0,226722200000.0,249887340000.0
2031.0,253970640000.0,233771120000.0,236767840000.0,229712280000.0,239028440000.0,264379320000.0,223261100000.0,243418530000.0
2032.0,249796210000.0,230244840000.0,234415880000.0,227789640000.0,237329300000.0,261541760000.0,219718700000.0,240989540000.0
2033.0,247503210000.0,227586050000.0,235502580000.0,221701690000.0,235244930000.0,262279900000.0,216305500000.0,237985710000.0
2034.0,245942320000.0,223794610000.0,232563310000.0,217787000000.0,229985120000.0,260563910000.0,211426330000.0,236710220000.0
2035.0,242497300000.0,218180830000.0,229343510000.0,211840270000.0,228923180000.0,258612400000.0,206866420000.0,233169470000.0
2036.0,241292170000.0,213974940000.0,226737130000.0,205494080000.0,226774780000.0,256870880000.0,202132700000.0,232142910000.0
2037.0,240800480000.0,211653920000.0,224513980000.0,200331200000.0,222307760000.0,255093770000.0,200035010000.0,229251550000.0
2038.0,238337470000.0,209918400000.0,220605920000.0,195514170000.0,220903770000.0,255471030000.0,195387310000.0,224976980000.0
2039.0,235457130000.0,206269330000.0,217346490000.0,189080670000.0,216781520000.0,254278250000.0,190580740000.0,223487590000.0
2040.0,232670890000.0,204797890000.0,216343840000.0,183074160000.0,213016440000.0,256044990000.0,185107700000.0,220731310000.0
2041.0,231078300000.0,200576910000.0,215485780000.0,178828100000.0,207771900000.0,254750720000.0,182309880000.0,217294680000.0
2042.0,227795570000.0,200341800000.0,209853250000.0,174851230000.0,208142600000.0,254976750000.0,177661150000.0,211885080000.0
2043.0,224900680000.0,197644910000.0,208294970000.0,170859040000.0,205890170000.0,251304200000.0,174729280000.0,209803920000.0
2044.0,221688220000.0,194973300000.0,206113980000.0,168607990000.0,202573200000.0,246613950000.0,170588240000.0,208870590000.0
2045.0,218544300000.0,191375500000.0,203977180000.0,164114330000.0,200554730000.0,245381430000.0,167765690000.0,206453540000.0
2046.0,215012500000.0,185659830000.0,204955860000.0,161167600000.0,198130800000.0,240209350000.0,161206960000.0,204778590000.0
2047.0,214555160000.0,183166700000.0,203061070000.0,154298420000.0,196764810000.0,237858620000.0,156886960000.0,202748700000.0
2048.0,212749420000.0,180711820000.0,200599010000.0,151297430000.0,196044800000.0,236613140000.0,154933020000.0,199599240000.0
2049.0,209556440000.0,173600750000.0,198370620000.0,148445050000.0,194178070000.0,234755870000.0,151657860000.0,197449730000.0
2050.0,207302400000.0,169478160000.0,193211000000.0,142421280000.0,190384950000.0,233443770000.0,147826430000.0,194378580000.0
2051.0,205365020000.0,164434260000.0,190596280000.0,135648076000.0,188249340000.0,228769000000.0,143445310000.0,190816100000.0
2052.0,205358300000.0,161170830000.0,188436870000.0,130309390000.0,185126010000.0,228478750000.0,141012520000.0,187597200000.0
2053.0,201465720000.0,158390080000.0,184975690000.0,127595500000.0,182009070000.0,226526430000.0,137418150000.0,182830550000.0
2054.0,198372300000.0,153653640000.0,183434310000.0,122957770000.0,176139120000.0,222874160000.0,133489435000.0,181604020000.0
2055.0,194623160000.0,150237170000.0,180318200000.0,118282770000.0,175627440000.0,220752080000.0,129929170000.0,178862080000.0
2056.0,192642140000.0,146203210000.0,177054500000.0,113219445000.0,173438420000.0,218194790000.0,125262970000.0,178416940000.0
2057.0,189109750000.0,142596820000.0,174656700000.0,109438525000.0,167748800000.0,219430240000.0,120500310000.0,176407760000.0
2058.0,189420080000.0,139432540000.0,169925050000.0,105255020000.0,163167080000.0,218115640000.0,116579360000.0,172481690000.0
2059.0,187196980000.0,136930970000.0,164221120000.0,100811750000.0,159548690000.0,218699090000.0,112057180000.0,169305390000.0
2060.0,184311710000.0,133127850000.0,160601300000.0,97637070000.0,155388610000.0,217309530000.0,108797075000.0,166890320000.0
2061.0,181629170000.0,128669700000.0,157896250000.0,93930420000.0,151452520000.0,214285220000.0,104831180000.0,165136150000.0
2062.0,180282470000.0,124360280000.0,155130230000.0,90108174000.0,148033650000.0,209366970000.0,99996970000.0,161545490000.0
2063.0,176185410000.0,122148710000.0,153015030000.0,86108496000.0,146456070000.0,209094930000.0,95935414000.0,161006400000.0
2064.0,175157610000.0,118965660000.0,148731080000.0,82317500000.0,143261600000.0,210098800000.0,92650890000.0,159267370000.0
2065.0,173175720000.0,113520990000.0,146775230000.0,80982130000.0,140226080000.0,209924750000.0,90098360000.0,156712680000.0
2066.0,169625810000.0,109222404000.0,143504400000.0,78252655000.0,137084800000.0,206782250000.0,86901870000.0,152817340000.0
2067.0,167224790000.0,106366810000.0,139738920000.0,75712315000.0,133453590000.0,204634420000.0,84128580000.0,150863410000.0
2068.0,165591190000.0,102192970000.0,135377215000.0,72078920000.0,128067990000.0,201856290000.0,81511160000.0,148939200000.0
2069.0,163896300000.0,99496985000.0,132563755000.0,69547070000.0,126445630000.0,201647820000.0,78777570000.0,148070060000.0
2070.0,162972240000.0,94801300000.0,130980460000.0,67479794000.0,124136140000.0,198477200000.0,75324020000.0,145328600000.0
2071.0,157883240000.0,91930930000.0,128667420000.0,65595220000.0,121285345000.0,198609200000.0,73651380000.0,143623110000.0
2072.0,156248800000.0,88963960000.0,126127120000.0,63060967000.0,118466855000.0,199421310000.0,70452880000.0,141448760000.0
2073.0,154233800000.0,85340650000.0,124294530000.0,60387967000.0,113749600000.0,200109100000.0,67593867000.0,139146870000.0
2074.0,151838130000.0,81923870000.0,119346830000.0,57529820000.0,111071625000.0,199940200000.0,65109414000.0,137630990000.0
2075.0,148238300000.0,79208510000.0,116376550000.0,55190344000.0,109222440000.0,198196760000.0,62880113000.0,135604200000.0
2076.0,144795440000.0,76161800000.0,114873680000.0,53364710000.0,105909400000.0,198504480000.0,60062605000.0,132549150000.0
