time,CCSM4,CSIRO-MK3-6-0,MPI-ESM-LR,CNRM-CM5,CANESM2,GISS-E2-R,GFDL-CM3,CESM1-CAM5,NORESM1-M,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0,306328930000.0
2001.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0,307506680000.0
2002.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0,305881580000.0
2003.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0,300428260000.0
2004.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0,297830840000.0
2005.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0,296095220000.0
2006.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0,296015430000.0
2007.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0,291898520000.0
2008.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0,292775850000.0
2009.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0,291812600000.0
2010.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0,287543600000.0
2011.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0,285188230000.0
2012.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0,284529400000.0
2013.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0,285088970000.0
2014.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0,282159220000.0
2015.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0,278154970000.0
2016.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0,280165580000.0
2017.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0,276606840000.0
2018.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0,276399820000.0
2019.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0,271140130000.0
2020.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0,269031820000.0
2021.0,264405480000.0,269762660000.0,267769940000.0,265914120000.0,266010760000.0,265195400000.0,264691700000.0,264672740000.0,268553030000.0,265648370000.0,266241500000.0
2022.0,262480670000.0,268668620000.0,262289670000.0,264106080000.0,263795640000.0,261776850000.0,258768160000.0,259087930000.0,267243500000.0,263762950000.0,262186170000.0
2023.0,263231370000.0,267590760000.0,260054430000.0,261214850000.0,259760080000.0,260994900000.0,254763940000.0,254745690000.0,262227260000.0,262654360000.0,261663560000.0
2024.0,262654920000.0,265859040000.0,258768270000.0,258703280000.0,258629470000.0,259042900000.0,249052300000.0,252330900000.0,260494130000.0,260725390000.0,261034640000.0
2025.0,263267570000.0,265215130000.0,256359200000.0,254320130000.0,253302980000.0,257337200000.0,245527200000.0,249456920000.0,258978040000.0,259046570000.0,258027550000.0
2026.0,260172640000.0,260522740000.0,256670550000.0,250689270000.0,250870330000.0,255858310000.0,240992780000.0,246378280000.0,257423590000.0,256959580000.0,253661720000.0
2027.0,257208450000.0,258216020000.0,252505920000.0,252165460000.0,246101020000.0,251498710000.0,234201810000.0,239135130000.0,256724390000.0,254123640000.0,247825510000.0
2028.0,254280660000.0,254985750000.0,250813610000.0,249523800000.0,241532980000.0,247550740000.0,225771950000.0,240099100000.0,253148270000.0,254131420000.0,247019670000.0
2029.0,252311580000.0,251834340000.0,246557100000.0,244053790000.0,237001850000.0,243514250000.0,221058250000.0,235064750000.0,250899960000.0,251258080000.0,241341320000.0
2030.0,244954300000.0,248493400000.0,244679640000.0,241856530000.0,235258950000.0,241147940000.0,216996460000.0,230799980000.0,246975230000.0,248372220000.0,236395380000.0
2031.0,242626070000.0,245919000000.0,243426590000.0,239668120000.0,235515070000.0,235831540000.0,209307580000.0,226199950000.0,244270190000.0,244983680000.0,228831800000.0
2032.0,238808990000.0,244044100000.0,240912600000.0,232947660000.0,231340430000.0,231587430000.0,204257130000.0,221002170000.0,241549400000.0,242919000000.0,222525490000.0
2033.0,237639470000.0,239619780000.0,237593820000.0,230729580000.0,227195860000.0,227488000000.0,198823000000.0,219229130000.0,237526840000.0,238183220000.0,217858850000.0
2034.0,236367760000.0,237290980000.0,235139840000.0,230340950000.0,223906630000.0,223684200000.0,196284470000.0,212715320000.0,236379370000.0,234492430000.0,215022160000.0
2035.0,232185540000.0,233812660000.0,231786700000.0,227755210000.0,220192560000.0,219486060000.0,191414630000.0,208090300000.0,231634110000.0,231753100000.0,211167300000.0
2036.0,228715530000.0,230136920000.0,227345150000.0,222774770000.0,217822940000.0,216173350000.0,187133800000.0,203352870000.0,228322380000.0,227506060000.0,206112110000.0
2037.0,227400580000.0,226206380000.0,223244860000.0,222158180000.0,215545900000.0,212035520000.0,182757930000.0,200875540000.0,225193800000.0,226926600000.0,202362780000.0
2038.0,222266590000.0,223002280000.0,220776270000.0,218674380000.0,210276970000.0,207042450000.0,178017270000.0,197867950000.0,221063760000.0,224159610000.0,195349180000.0
