time,TAIESM1,UKESM1-0-LL,GFDL-ESM4,IITM-ESM,CESM2-WACCM,MRI-ESM2-0,KACE-1-0-G,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
2020.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0
2021.0,33292802000.0,33377634000.0,33259543000.0,33529893000.0,33427000000.0,33571322000.0,33340895000.0,33460507000.0,33915023000.0
2022.0,33716185000.0,33166176000.0,33132853000.0,33575844000.0,33737208000.0,33280800000.0,33350883000.0,33477526000.0,33432818000.0
2023.0,33154238000.0,33087906000.0,32997700000.0,33363480000.0,33401068000.0,33219445000.0,33640962000.0,33250546000.0,33222218000.0
2024.0,33314142000.0,32863500000.0,33007073000.0,33695863000.0,33210843000.0,33101992000.0,33128233000.0,33172617000.0,33044412000.0
2025.0,34047726000.0,32607490000.0,32971727000.0,33839772000.0,33090933000.0,32960647000.0,33231192000.0,33341747000.0,32944624000.0
2026.0,33080308000.0,32379060000.0,32652628000.0,33346190000.0,33128534000.0,32885969000.0,33877604000.0,33183314000.0,32817150000.0
2027.0,32956613000.0,32287416000.0,32526787000.0,33208996000.0,32973644000.0,33273108000.0,32863703000.0,32988529000.0,32684724000.0
2028.0,32946799000.0,32134932000.0,32534637000.0,33148213000.0,32852355000.0,32831945000.0,32711148000.0,33111556000.0,32618779000.0
2029.0,32718772000.0,31908506000.0,32624896000.0,33099256000.0,33169730000.0,32631290000.0,32570874000.0,33137986000.0,32470565000.0
2030.0,32664020000.0,31970335000.0,32227113000.0,33312483000.0,32839832000.0,34240408000.0,32449937000.0,32976290000.0,32330512000.0
2031.0,33465713000.0,31855570000.0,36212910000.0,33001531000.0,32652763000.0,32646472000.0,32256737000.0,32769286000.0,32203864000.0
2032.0,32426540000.0,31477027000.0,34435265000.0,32959860000.0,32525267000.0,32419967000.0,32880466000.0,32736980000.0,31925170000.0
2033.0,32235930000.0,31188734000.0,33456034000.0,33108079000.0,32491688000.0,32483373000.0,32115288000.0,32753093000.0,31732550000.0
2034.0,32372881000.0,30743630000.0,32325753000.0,32880378000.0,32220930000.0,32117055000.0,31685466000.0,32634225000.0,31433470000.0
2035.0,31985517000.0,30269870000.0,34268295000.0,32835494000.0,32345563000.0,32578521000.0,31437302000.0,32858070000.0,31027825000.0
2036.0,31780116000.0,29847738000.0,33173858000.0,32914547000.0,32118510000.0,32123302000.0,31221006000.0,32439410000.0,31196203000.0
2037.0,31691534000.0,29954150000.0,32174960000.0,32807422000.0,31785370000.0,31658768000.0,33736950000.0,32199516000.0,30704626000.0
2038.0,31785464000.0,29306026000.0,32007043000.0,32852955000.0,31530168000.0,31486847000.0,31610044000.0,31963462000.0,30179100000.0
2039.0,31308814000.0,28895775000.0,31739372000.0,32689930000.0,32047946000.0,31349334000.0,30827127000.0,31800584000.0,29811206000.0
2040.0,31013145000.0,28638050000.0,31481645000.0,32669050000.0,31282950000.0,31140039000.0,30452648000.0,31900416000.0,29573755000.0
2041.0,30781307000.0,28167637000.0,31267670000.0,32708053000.0,31385340000.0,30795162000.0,30177757000.0,31682458000.0,29380575000.0
2042.0,31605900000.0,27591123000.0,31068250000.0,32385980000.0,31048160000.0,30482004000.0,30038570000.0,31971877000.0,29025411000.0
2043.0,31082826000.0,27155022000.0,32152414000.0,32370354000.0,30827920000.0,30428742000.0,29805107000.0,31680272000.0,28448203000.0
2044.0,30327845000.0,26646012000.0,31264412000.0,32342501000.0,30670336000.0,30238351000.0,29680390000.0,31167756000.0,28107270000.0
2045.0,29874751000.0,26297403000.0,30955282000.0,32435760000.0,30565652000.0,29904986000.0,29515104000.0,30802817000.0,27713096000.0
2046.0,29564970000.0,25748128000.0,30599764000.0,32095191000.0,30207402000.0,29664324000.0,28831265000.0,30691576000.0,27408296000.0
2047.0,29400265000.0,25154947000.0,30222158000.0,32003686000.0,29959086000.0,29408373000.0,28797288000.0,31541447000.0,26908428000.0
2048.0,29315637000.0,24695392000.0,30222710000.0,31825152000.0,29644397000.0,29032990000.0,28252316000.0,30723398000.0,26458380000.0
2049.0,28828908000.0,24205588000.0,30379899000.0,32132213000.0,29408283000.0,28876442000.0,28170465000.0,30136547000.0,26114930000.0
2050.0,28482994000.0,23593607000.0,29935219000.0,31807818000.0,29109443000.0,28543506000.0,27684454000.0,30539983000.0,25737122000.0
2051.0,28135690000.0,23050023000.0,29621279000.0,31935015000.0,28898769000.0,28127613000.0,27287230000.0,29878764000.0,25596715000.0
2052.0,27835236000.0,22497448000.0,29354482000.0,31680676000.0,28878977000.0,27803427000.0,26911922000.0,30302454000.0,25063008000.0
2053.0,27587318000.0,22935822000.0,29180797000.0,31554505000.0,28374303000.0,27352963000.0,26433147000.0,29606370000.0,24760190000.0
2054.0,27198216000.0,21762966000.0,29182611000.0,31369530000.0,28040854000.0,26944477000.0,25992202000.0,29289740000.0,24618076000.0
2055.0,26719210000.0,21481460000.0,28779676000.0,31175970000.0,27645413000.0,26618649000.0,25517953000.0,28980574000.0,24845250000.0
2056.0,26424963000.0,21185198000.0,29265410000.0,31041534000.0,27541918000.0,26481396000.0,25154750000.0,28734446000.0,25021217000.0
2057.0,26086785000.0,20984550000.0,28691802000.0,30893955000.0,27472234000.0,26720731000.0,24802249000.0,28417930000.0,23870669000.0
2058.0,25684247000.0,20417788000.0,28190320000.0,30962540000.0,27013540000.0,26946363000.0,25612323000.0,28254620000.0,23489161000.0
2059.0,25361598000.0,19829873000.0,27950098000.0,31075422000.0,26632448000.0,25770213000.0,24247063000.0,28010766000.0,23272866000.0
2060.0,25159310000.0,19459285000.0,27652950000.0,30639303000.0,26413134000.0,25298878000.0,23814332000.0,28219046000.0,22823506000.0
2061.0,25559100000.0,19289320000.0,27391435000.0,30460684000.0,26210621000.0,24956688000.0,23455179000.0,27615046000.0,22425410000.0
2062.0,24804153000.0,18841750000.0,27003437000.0,30447921000.0,25912066000.0,24810463000.0,23127970000.0,27224435000.0,22144817000.0
2063.0,24210438000.0,18377372000.0,26691785000.0,30201606000.0,25622010000.0,24542233000.0,23510467000.0,26787127000.0,21967518000.0
2064.0,24017082000.0,17911673000.0,26386657000.0,29999237000.0,25223434000.0,23926108000.0,22540466000.0,26622988000.0,22755484000.0
2065.0,24138580000.0,17548722000.0,26078462000.0,29830530000.0,24988895000.0,23516176000.0,22186981000.0,26376240000.0,21612372000.0
2066.0,23587764000.0,17243519000.0,25780052000.0,29711352000.0,24701473000.0,23101676000.0,21901543000.0,29227076000.0,21195958000.0
2067.0,23381123000.0,16909167000.0,25580920000.0,29642109000.0,24233705000.0,22765466000.0,21371859000.0,26657790000.0,20998502000.0
2068.0,23078728000.0,17860980000.0,25127715000.0,29737478000.0,24074793000.0,22389572000.0,21238493000.0,25924900000.0,20678863000.0
2069.0,23760767000.0,16357212000.0,24867461000.0,29293210000.0,23823757000.0,22136443000.0,20878510000.0,25524169000.0,20345684000.0
2070.0,22829090000.0,16208240000.0,24471720000.0,29099393000.0,23517452000.0,21791934000.0,21147531000.0,25177637000.0,20024869000.0
2071.0,22408448000.0,17214933000.0,24181418000.0,29299268000.0,23352610000.0,21320010000.0,20410026000.0,24851075000.0,19780725000.0
2072.0,22132455000.0,15725172000.0,23914470000.0,28870021000.0,24685169000.0,21116981000.0,20100946000.0,26880442000.0,19569449000.0
2073.0,21848470000.0,15233817000.0,23603526000.0,28720103000.0,22965158000.0,20734988000.0,19802573000.0,24994402000.0,19215264000.0
2074.0,21387330000.0,14964246000.0,23349670000.0,28535704000.0,22662627000.0,20565053000.0,19802696000.0,24722393000.0,18910347000.0
2075.0,21159030000.0,14624515000.0,22960003000.0,28480460000.0,22684434000.0,20295522000.0,19230038000.0,24183968000.0,18544030000.0
2076.0,22431545000.0,14317853000.0,22733285000.0,28478358000.0,22313556000.0,21007356000.0,19264154000.0,23880727000.0,18268801000.0
2077.0,20575885000.0,14006538000.0,22445220000.0,28193604000.0,22212397000.0,20104751000.0,18879169000.0,23500818000.0,18172287000.0
2078.0,20172354000.0,13735671000.0,22222442000.0,27949236000.0,22005225000.0,19597795000.0,19677778000.0,23007605000.0,17732723000.0
2079.0,19875666000.0,13413338000.0,21815960000.0,28066198000.0,21696754000.0,19304810000.0,18326925000.0,22676700000.0,17543887000.0
2080.0,19558849000.0,13057653000.0,22262946000.0,27766690000.0,21448503000.0,19526732000.0,18308810000.0,22353506000.0,17253840000.0
2081.0,19475511000.0,13014120000.0,21439298000.0,27758995000.0,21210595000.0,18980380000.0,17990939000.0,21994818000.0,17029461000.0
2082.0,18975195000.0,12834381000.0,21107737000.0,27673555000.0,21410570000.0,19213742000.0,17585041000.0,21755994000.0,16775670000.0
2083.0,18642639000.0,12449150000.0,20707960000.0,27401480000.0,20863160000.0,18649039000.0,18069750000.0,21555995000.0,16593782000.0
2084.0,18350412000.0,12141083000.0,20396999000.0,27245095000.0,21970205000.0,18397503000.0,17225095000.0,21116135000.0,16309522000.0
2085.0,18305760000.0,11863468000.0,20060144000.0,27096807000.0,20423720000.0,18200590000.0,16985648000.0,20931043000.0,16061193000.0
2086.0,17850962000.0,11628812000.0,19759421000.0,27305080000.0,20101681000.0,18081583000.0,16792054000.0,20637872000.0,15826933000.0
2087.0,17545605000.0,11386718000.0,19449688000.0,26929142000.0,19939500000.0,17796174000.0,17559552000.0,20681662000.0,15545634000.0
2088.0,17517599000.0,11135473000.0,19193612000.0,26750167000.0,20023420000.0,18327288000.0,16610246000.0,20253210000.0,15352159000.0
2089.0,17011292000.0,10909716000.0,19130730000.0,26550458000.0,19812725000.0,17511614000.0,16282085000.0,19945636000.0,15279922000.0
