time,CESM2-WACCM,MIROC6,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,KACE-1-0-G,CNRM-CM6-1,TAIESM1,EC-EARTH3,GFDL-ESM4,UKESM1-0-LL,CANESM5,CNRM-ESM2-1
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
2020.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0
2021.0,33342167000.0,33373977000.0,33537690000.0,33547043000.0,33302231000.0,34073612000.0,33667185000.0,33453877000.0,33293564000.0,33419135000.0,33483540000.0,33319725000.0,33337895000.0
2022.0,33545804000.0,34377155000.0,33327548000.0,33251650000.0,33372223000.0,33708403000.0,33449611000.0,33240672000.0,33031227000.0,34142173000.0,33285640000.0,33094300000.0,33727896000.0
2023.0,33298162000.0,33933144000.0,33214800000.0,33210968000.0,33141508000.0,33377544000.0,33305727000.0,33266596000.0,32848386000.0,33601751000.0,33095856000.0,33038977000.0,33198120000.0
2024.0,33292170000.0,33043140000.0,33096782000.0,33508616000.0,33073650000.0,33282658000.0,33671068000.0,33086906000.0,32869265000.0,33027893000.0,32931290000.0,32954348000.0,33124921000.0
2025.0,33205805000.0,32833751000.0,32990500000.0,33049813000.0,33049970000.0,35262947000.0,33284465000.0,33059154000.0,32503271000.0,33430024000.0,33113385000.0,32540590000.0,32949873000.0
2026.0,32972771000.0,32662430000.0,33031741000.0,32986618000.0,33181417000.0,33317782000.0,33066578000.0,33345815000.0,32264837000.0,33306823000.0,32690452000.0,32353868000.0,32983325000.0
2027.0,32845940000.0,32713642000.0,32875727000.0,33057815000.0,32953692000.0,33174587000.0,33026140000.0,32882252000.0,31984873000.0,33041328000.0,32601809000.0,32081460000.0,32841603000.0
2028.0,32821778000.0,32976568000.0,32687342000.0,33063025000.0,32792504000.0,32853240000.0,32978401000.0,32815174000.0,31846228000.0,32775370000.0,32638136000.0,31901362000.0,33614574000.0
2029.0,32812442000.0,32691943000.0,32532568000.0,32734714000.0,32603818000.0,32749496000.0,32770066000.0,32649353000.0,31517643000.0,32670380000.0,32277303000.0,31478872000.0,32727855000.0
2030.0,32611248000.0,32488247000.0,32405805000.0,32819950000.0,32915874000.0,32583300000.0,32699132000.0,32495819000.0,31098830000.0,32837646000.0,31987692000.0,31070812000.0,32592124000.0
2031.0,32407610000.0,34265950000.0,33254460000.0,32669325000.0,32461787000.0,32369105000.0,32719727000.0,32665956000.0,30701883000.0,32601362000.0,31775154000.0,30816709000.0,32560730000.0
2032.0,32923030000.0,34341403000.0,33122382000.0,32397066000.0,32300755000.0,32871549000.0,32541989000.0,32251980000.0,30200308000.0,32397892000.0,31447749000.0,30390548000.0,32310577000.0
2033.0,33030386000.0,33603166000.0,32462463000.0,32194281000.0,32456405000.0,32430615000.0,32439083000.0,32078090000.0,29813158000.0,32521234000.0,31119931000.0,30653640000.0,32159451000.0
2034.0,32323647000.0,32918653000.0,32548358000.0,32021092000.0,32087702000.0,31879549000.0,32166244000.0,31878908000.0,29334247000.0,32222448000.0,30780922000.0,29705048000.0,32138535000.0
2035.0,32115659000.0,32468752000.0,32625609000.0,32048175000.0,31942010000.0,31826815000.0,32066783000.0,31564590000.0,28853510000.0,32031277000.0,30516273000.0,29030541000.0,32375228000.0
2036.0,32009585000.0,32095562000.0,32530532000.0,31879530000.0,31772334000.0,31532935000.0,31825572000.0,31965317000.0,28267162000.0,31904066000.0,30055650000.0,28479080000.0,31985768000.0
2037.0,31780827000.0,31870018000.0,32261732000.0,31426036000.0,31600486000.0,31394607000.0,31633527000.0,32026538000.0,27478084000.0,32292006000.0,29787120000.0,28195963000.0,31632840000.0
2038.0,31657450000.0,31686406000.0,31832465000.0,31321473000.0,31439927000.0,31298093000.0,31407962000.0,31226456000.0,27049376000.0,32259305000.0,29422205000.0,27485831000.0,31358405000.0
2039.0,31583928000.0,32269249000.0,32131678000.0,31029135000.0,31242725000.0,30907280000.0,31301840000.0,30843382000.0,26598343000.0,31660550000.0,29005298000.0,26783445000.0,32064342000.0
2040.0,31556456000.0,31598828000.0,32583174000.0,30938229000.0,31024030000.0,30676707000.0,31107360000.0,30685278000.0,26306234000.0,31794776000.0,28495320000.0,26140811000.0,31672099000.0
2041.0,31760919000.0,31382557000.0,31721101000.0,30464600000.0,30802050000.0,30340897000.0,30854105000.0,31174980000.0,25537454000.0,31946748000.0,27992381000.0,25435134000.0,31132144000.0
