time,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR
2000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0
2015.0,26833953000000.0,26833953000000.0,26833953000000.0
2016.0,26744747000000.0,26744747000000.0,26744747000000.0
2017.0,26735454000000.0,26735454000000.0,26735454000000.0
2018.0,26717809000000.0,26717809000000.0,26717809000000.0
2019.0,26726774000000.0,26726774000000.0,26726774000000.0
2020.0,26743595000000.0,26743595000000.0,26743595000000.0
2021.0,26663799000000.0,26766056000000.0,26630750000000.0
2022.0,26604795000000.0,26738654000000.0,26653055000000.0
2023.0,26631578000000.0,26793363000000.0,26612068000000.0
2024.0,26626845000000.0,26801993000000.0,26609092000000.0
2025.0,26619272000000.0,26776393000000.0,26561242000000.0
2026.0,26608916000000.0,26783989000000.0,26579218000000.0
2027.0,26559948000000.0,26680005000000.0,26513974000000.0
2028.0,26484207000000.0,26597820000000.0,26440360000000.0
2029.0,26414124000000.0,26553930000000.0,26405803000000.0
2030.0,26400453000000.0,26584539000000.0,26378450000000.0
2031.0,26363375000000.0,26603185000000.0,26296550000000.0
2032.0,26339749000000.0,26582390000000.0,26227144000000.0
2033.0,26274504000000.0,26459637000000.0,26166608000000.0
2034.0,26218190000000.0,26456277000000.0,26101588000000.0
2035.0,26150923000000.0,26358166000000.0,26074598000000.0
2036.0,26095278000000.0,26354320000000.0,26050780000000.0
2037.0,26120010000000.0,26259017000000.0,26037004000000.0
2038.0,26032095000000.0,26141027000000.0,25893418000000.0
2039.0,25985039000000.0,26144263000000.0,25847371000000.0
2040.0,25968211000000.0,26141883000000.0,25786214000000.0
2041.0,25880624000000.0,26123325000000.0,25702338000000.0
2042.0,25846773000000.0,26012337000000.0,25710675000000.0
2043.0,25747250000000.0,25941760000000.0,25659628000000.0
2044.0,25662799000000.0,25905520000000.0,25503765000000.0
2045.0,25524701000000.0,25826022000000.0,25443684000000.0
2046.0,25483530000000.0,25846838000000.0,25383590000000.0
2047.0,25467824000000.0,25728702000000.0,25327277000000.0
2048.0,25425433000000.0,25696842000000.0,25271650000000.0
2049.0,25382875000000.0,25606250000000.0,25112435000000.0
2050.0,25326466000000.0,25558254000000.0,25010570000000.0
2051.0,25292265000000.0,25478330000000.0,24910284000000.0
2052.0,25271246000000.0,25446333000000.0,24857687000000.0
2053.0,25240034000000.0,25386354000000.0,24784285000000.0
2054.0,25182933000000.0,25310423000000.0,24670010000000.0
2055.0,25139870000000.0,25231850000000.0,24667211000000.0
2056.0,25076617000000.0,25183132000000.0,24603263000000.0
2057.0,25033286000000.0,25107706000000.0,24507606000000.0
2058.0,24949603000000.0,24989214000000.0,24411506000000.0
2059.0,24871670000000.0,24943608000000.0,24357250000000.0
2060.0,24796759000000.0,24905653000000.0,24283317000000.0
2061.0,24725785000000.0,24857832000000.0,24216198000000.0
2062.0,24610695000000.0,24843326000000.0,24073917000000.0
2063.0,24573280000000.0,24746977000000.0,23959718000000.0
2064.0,24493643000000.0,24618990000000.0,23867838000000.0
2065.0,24456620000000.0,24475444000000.0,23750026000000.0
2066.0,24463345000000.0,24355707000000.0,23631652000000.0
2067.0,24362787000000.0,24303372000000.0,23523160000000.0
2068.0,24266976000000.0,24236144000000.0,23409570000000.0
2069.0,24138660000000.0,24156742000000.0,23256269000000.0
2070.0,24000953000000.0,24055707000000.0,23194702000000.0
2071.0,23899150000000.0,23954727000000.0,23101970000000.0
2072.0,23816953000000.0,23789604000000.0,22960386000000.0
2073.0,23726955000000.0,23708448000000.0,22834695000000.0
2074.0,23609870000000.0,23609397000000.0,22740776000000.0
2075.0,23547030000000.0,23491265000000.0,22575806000000.0
2076.0,23423810000000.0,23340748000000.0,22442293000000.0
2077.0,23301500000000.0,23287105000000.0,22289008000000.0
2078.0,23259326000000.0,23204966000000.0,22190960000000.0
2079.0,23090937000000.0,23104800000000.0,22049215000000.0
2080.0,22950418000000.0,22920580000000.0,21912164000000.0
2081.0,22880253000000.0,22854882000000.0,21782086000000.0
2082.0,22773856000000.0,22768198000000.0,21672743000000.0
2083.0,22683496000000.0,22724766000000.0,21543020000000.0
2084.0,22481807000000.0,22640824000000.0,21397473000000.0
2085.0,22317468000000.0,22518461000000.0,21204086000000.0
2086.0,22194710000000.0,22423466000000.0,21085030000000.0
2087.0,22082832000000.0,22264120000000.0,20949422000000.0
2088.0,22005026000000.0,22106432000000.0,20769533000000.0
2089.0,21892755000000.0,21946419000000.0,20614279000000.0
2090.0,21712352000000.0,21758088000000.0,20468399000000.0
2091.0,21457323000000.0,21510413000000.0,20353909000000.0
2092.0,21285252000000.0,21372000000000.0,20205506000000.0
2093.0,21131824000000.0,21275685000000.0,20092337000000.0
2094.0,20925794000000.0,21126835000000.0,19975025000000.0
2095.0,20852888000000.0,20976041000000.0,19783425000000.0
2096.0,20695447000000.0,20805633000000.0,19601969000000.0
2097.0,20545152000000.0,20720453000000.0,19470676000000.0
2098.0,20428716000000.0,20586357000000.0,19344879000000.0
2099.0,20356952000000.0,20386620000000.0,19200190000000.0
2100.0,20211546000000.0,20245511000000.0,19067644000000.0
2101.0,19928596000000.0,20112944000000.0,18947443000000.0
2102.0,19832513000000.0,19920455000000.0,18810206000000.0
2103.0,19651713000000.0,19835840000000.0,18654104000000.0
2104.0,19469838000000.0,19740532000000.0,18538253000000.0
2105.0,19298169000000.0,19617058000000.0,18417768000000.0
2106.0,19065440000000.0,19448190000000.0,18254603000000.0
2107.0,18761520000000.0,19254317000000.0,18119500000000.0
2108.0,18593171000000.0,19018535000000.0,17957810000000.0
2109.0,18405015000000.0,18797585000000.0,17849697000000.0
2110.0,18250713000000.0,18634129000000.0,17694672000000.0
