time,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0
2000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0
2001.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0
2002.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0
2003.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0
2004.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0
2005.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0
2006.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0
2007.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0
2008.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0
2009.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0
2010.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0
2011.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0
2012.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0
2013.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0
2014.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0
2015.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0
2016.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0
2017.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0
2018.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0
2019.0,44734127000000.0,44734127000000.0,44734127000000.0,44734127000000.0
2020.0,44718100000000.0,44718100000000.0,44718100000000.0,44718100000000.0
2021.0,44639986000000.0,44565230000000.0,44622220000000.0,44714363000000.0
2022.0,44513500000000.0,44503900000000.0,44568783000000.0,44689634000000.0
2023.0,44417630000000.0,44441235000000.0,44500504000000.0,44591466000000.0
2024.0,44382560000000.0,44401057000000.0,44389330000000.0,44532030000000.0
2025.0,44235290000000.0,44377710000000.0,44326900000000.0,44395143000000.0
2026.0,44208570000000.0,44307180000000.0,44165420000000.0,44349363000000.0
2027.0,44065354000000.0,44236326000000.0,44046714000000.0,44337476000000.0
2028.0,43841755000000.0,44096064000000.0,43903848000000.0,44286276000000.0
2029.0,43821430000000.0,44000890000000.0,43791790000000.0,44239006000000.0
2030.0,43846990000000.0,43888845000000.0,43592550000000.0,44237345000000.0
2031.0,43758544000000.0,43779935000000.0,43404193000000.0,44246183000000.0
2032.0,43612360000000.0,43655616000000.0,43344445000000.0,44272160000000.0
2033.0,43591140000000.0,43495117000000.0,43220667000000.0,44282505000000.0
2034.0,43407502000000.0,43314183000000.0,43103327000000.0,44241963000000.0
2035.0,43282378000000.0,43229743000000.0,43058192000000.0,44113546000000.0
2036.0,43326990000000.0,43096964000000.0,42969474000000.0,44082240000000.0
