time,MPI-ESM-LR,GISS-E2-R,CNRM-CM5,GFDL-CM3,CANESM2,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G
2000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0
2015.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0
2016.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0
2017.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0
2018.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0
2019.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0
2020.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0
2021.0,26631417000000.0,26674893000000.0,26657037000000.0,26664092000000.0,26691819000000.0,26659753000000.0,26766578000000.0,26644247000000.0,26718855000000.0,26649532000000.0
2022.0,26663000000000.0,26564486000000.0,26520658000000.0,26646613000000.0,26591359000000.0,26597367000000.0,26738938000000.0,26655517000000.0,26650459000000.0,26631029000000.0
2023.0,26625566000000.0,26503186000000.0,26493751000000.0,26630253000000.0,26513573000000.0,26624897000000.0,26796085000000.0,26691450000000.0,26607240000000.0,26567151000000.0
2024.0,26622835000000.0,26349840000000.0,26441880000000.0,26569460000000.0,26485105000000.0,26619626000000.0,26806988000000.0,26632279000000.0,26571044000000.0,26543130000000.0
2025.0,26583335000000.0,26336951000000.0,26395980000000.0,26478637000000.0,26416305000000.0,26611965000000.0,26780763000000.0,26667767000000.0,26519754000000.0,26440995000000.0
2026.0,26611920000000.0,26308852000000.0,26389082000000.0,26391857000000.0,26421418000000.0,26603220000000.0,26789722000000.0,26579208000000.0,26476095000000.0,26325966000000.0
2027.0,26549617000000.0,26244310000000.0,26309804000000.0,26330160000000.0,26363709000000.0,26552182000000.0,26682700000000.0,26484847000000.0,26380681000000.0,26253780000000.0
2028.0,26475806000000.0,26261620000000.0,26319568000000.0,26234562000000.0,26299142000000.0,26473486000000.0,26598655000000.0,26465817000000.0,26339522000000.0,26237170000000.0
2029.0,26442675000000.0,26297716000000.0,26202150000000.0,26111342000000.0,26166985000000.0,26403913000000.0,26554086000000.0,26472067000000.0,26238563000000.0,26159704000000.0
2030.0,26417178000000.0,26222124000000.0,26094999000000.0,25995556000000.0,26086042000000.0,26389615000000.0,26584810000000.0,26455744000000.0,26093302000000.0,26134534000000.0
2031.0,26336175000000.0,26181389000000.0,25964474000000.0,25913914000000.0,26032021000000.0,26350134000000.0,26603090000000.0,26487617000000.0,26037380000000.0,26067731000000.0
2032.0,26260846000000.0,26117851000000.0,25858018000000.0,25820194000000.0,25994975000000.0,26323743000000.0,26582085000000.0,26459928000000.0,25936202000000.0,26036564000000.0
2033.0,26209174000000.0,26092832000000.0,25834736000000.0,25740549000000.0,25928174000000.0,26254164000000.0,26460610000000.0,26398970000000.0,25883771000000.0,25979506000000.0
2034.0,26141161000000.0,25994998000000.0,25726858000000.0,25723280000000.0,25832915000000.0,26199798000000.0,26457177000000.0,26380358000000.0,25768378000000.0,25951837000000.0
2035.0,26124360000000.0,26003372000000.0,25624370000000.0,25674618000000.0,25770353000000.0,26130076000000.0,26359385000000.0,26306849000000.0,25736030000000.0,25881697000000.0
2036.0,26108603000000.0,25998953000000.0,25534170000000.0,25612155000000.0,25730163000000.0,26075646000000.0,26358084000000.0,26173950000000.0,25638535000000.0,25872292000000.0
2037.0,26098304000000.0,25907262000000.0,25432108000000.0,25547710000000.0,25677695000000.0,26099027000000.0,26261349000000.0,26132603000000.0,25573620000000.0,25829866000000.0
2038.0,25942508000000.0,25797570000000.0,25303546000000.0,25440532000000.0,25642656000000.0,26008797000000.0,26144183000000.0,26040838000000.0,25546308000000.0,25742591000000.0
2039.0,25896226000000.0,25746509000000.0,25239048000000.0,25383735000000.0,25519419000000.0,25958810000000.0,26148642000000.0,26004580000000.0,25475921000000.0,25689762000000.0
2040.0,25836124000000.0,25711340000000.0,25092476000000.0,25304840000000.0,25417640000000.0,25938922000000.0,26146412000000.0,25915495000000.0,25446603000000.0,25623532000000.0
2041.0,25748516000000.0,25630809000000.0,25081466000000.0,25205546000000.0,25324190000000.0,25844018000000.0,26127295000000.0,25849496000000.0,25376586000000.0,25502987000000.0
