time,CSIRO-MK3-6-0,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,NORESM1-M,CCSM4,GFDL-CM3,GISS-E2-R
2000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0
2015.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0
2016.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0
2017.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0
2018.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0
2019.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0
2020.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0
2021.0,26696613000000.0,26642676000000.0,26732988000000.0,26697078000000.0,26693868000000.0,26727049000000.0,26691645000000.0,26784666000000.0
2022.0,26677525000000.0,26508830000000.0,26730725000000.0,26673769000000.0,26688228000000.0,26702097000000.0,26659525000000.0,26771830000000.0
2023.0,26623512000000.0,26412768000000.0,26654700000000.0,26573028000000.0,26572721000000.0,26718293000000.0,26577107000000.0,26706230000000.0
2024.0,26625370000000.0,26257006000000.0,26594146000000.0,26535384000000.0,26548246000000.0,26622256000000.0,26544605000000.0,26654626000000.0
2025.0,26559620000000.0,26076256000000.0,26481971000000.0,26458645000000.0,26486107000000.0,26584430000000.0,26501408000000.0,26620138000000.0
2026.0,26520196000000.0,25918951000000.0,26454117000000.0,26476506000000.0,26429245000000.0,26425606000000.0,26403850000000.0,26637735000000.0
2027.0,26449170000000.0,25846174000000.0,26381120000000.0,26482078000000.0,26385810000000.0,26406862000000.0,26291437000000.0,26604490000000.0
2028.0,26373301000000.0,25705981000000.0,26345275000000.0,26487497000000.0,26273714000000.0,26361679000000.0,26176492000000.0,26587945000000.0
2029.0,26395170000000.0,25564113000000.0,26315265000000.0,26478771000000.0,26198936000000.0,26269052000000.0,26118782000000.0,26516658000000.0
2030.0,26399463000000.0,25434238000000.0,26329875000000.0,26415165000000.0,26109427000000.0,26220595000000.0,26046074000000.0,26537665000000.0
2031.0,26355450000000.0,25271535000000.0,26306708000000.0,26434968000000.0,26105543000000.0,26227325000000.0,25980184000000.0,26481726000000.0
2032.0,26355574000000.0,25188897000000.0,26207020000000.0,26400155000000.0,26089271000000.0,26184176000000.0,25907197000000.0,26450801000000.0
2033.0,26276853000000.0,25087621000000.0,26189943000000.0,26283635000000.0,26042968000000.0,26123228000000.0,25832007000000.0,26398473000000.0
2034.0,26195838000000.0,24988306000000.0,26165597000000.0,26250070000000.0,26033500000000.0,26112500000000.0,25698610000000.0,26370100000000.0
2035.0,26136623000000.0,24859703000000.0,26133900000000.0,26094676000000.0,25963410000000.0,26040710000000.0,25616986000000.0,26355647000000.0
2036.0,26130840000000.0,24785457000000.0,26070728000000.0,26040422000000.0,25901434000000.0,25993316000000.0,25493636000000.0,26318438000000.0
2037.0,26100220000000.0,24604777000000.0,26017702000000.0,25961989000000.0,25788330000000.0,25901534000000.0,25377460000000.0,26264088000000.0
2038.0,26046588000000.0,24496580000000.0,25970424000000.0,25975335000000.0,25687897000000.0,25885420000000.0,25328300000000.0,26230875000000.0
2039.0,25946594000000.0,24337025000000.0,25925696000000.0,25894171000000.0,25686884000000.0,25769833000000.0,25160829000000.0,26203160000000.0
2040.0,25845890000000.0,24172869000000.0,25929340000000.0,25840730000000.0,25649900000000.0,25699250000000.0,25098973000000.0,26111398000000.0
2041.0,25810147000000.0,24056624000000.0,25865507000000.0,25825752000000.0,25529007000000.0,25677084000000.0,25014418000000.0,26089005000000.0
2042.0,25771440000000.0,23904520000000.0,25803344000000.0,25806452000000.0,25457634000000.0,25565935000000.0,24967473000000.0,26095124000000.0
2043.0,25764752000000.0,23715576000000.0,25781060000000.0,25775678000000.0,25370942000000.0,25529663000000.0,24901732000000.0,26122616000000.0
2044.0,25649144000000.0,23659037000000.0,25737998000000.0,25751447000000.0,25292983000000.0,25453683000000.0,24828413000000.0,26125485000000.0
2045.0,25585860000000.0,23558506000000.0,25637786000000.0,25693646000000.0,25280203000000.0,25328074000000.0,24797218000000.0,26120234000000.0
2046.0,25495033000000.0,23386525000000.0,25670546000000.0,25639464000000.0,25169052000000.0,25247711000000.0,24692030000000.0,26091578000000.0
2047.0,25446253000000.0,23177223000000.0,25669583000000.0,25549660000000.0,25094034000000.0,25237691000000.0,24649912000000.0,26076667000000.0
2048.0,25412086000000.0,22934423000000.0,25613753000000.0,25453746000000.0,24935844000000.0,25221103000000.0,24579238000000.0,26045636000000.0
2049.0,25394450000000.0,22862247000000.0,25568215000000.0,25383842000000.0,24949257000000.0,25144230000000.0,24474011000000.0,25920442000000.0
2050.0,25323612000000.0,22712888000000.0,25549520000000.0,25302885000000.0,24919134000000.0,25090939000000.0,24407376000000.0,25891309000000.0
2051.0,25337136000000.0,22473830000000.0,25459985000000.0,25278733000000.0,24918752000000.0,25016605000000.0,24333445000000.0,25861955000000.0
2052.0,25261340000000.0,22255160000000.0,25421312000000.0,25251050000000.0,24838215000000.0,24937656000000.0,24259611000000.0,25843190000000.0
2053.0,25179843000000.0,22035818000000.0,25357132000000.0,25190770000000.0,24777887000000.0,24800710000000.0,24133860000000.0,25869603000000.0
2054.0,25117460000000.0,21929350000000.0,25321750000000.0,25093195000000.0,24750733000000.0,24678018000000.0,24051026000000.0,25852048000000.0
2055.0,24980526000000.0,21771095000000.0,25241523000000.0,25037506000000.0,24693128000000.0,24596810000000.0,23940343000000.0,25862600000000.0
2056.0,24942012000000.0,21568806000000.0,25177964000000.0,24972028000000.0,24630943000000.0,24506127000000.0,23849897000000.0,25858232000000.0
2057.0,24922156000000.0,21351998000000.0,25145748000000.0,24975765000000.0,24460164000000.0,24494872000000.0,23732530000000.0,25851614000000.0
2058.0,24883059000000.0,21312305000000.0,25017302000000.0,24943073000000.0,24400259000000.0,24417868000000.0,23646058000000.0,25830154000000.0
2059.0,24811818000000.0,21118602000000.0,24935483000000.0,24827025000000.0,24293767000000.0,24307491000000.0,23481702000000.0,25804540000000.0
2060.0,24807250000000.0,20907974000000.0,24896535000000.0,24703589000000.0,24167570000000.0,24222164000000.0,23355699000000.0,25760436000000.0
2061.0,24753760000000.0,20671357000000.0,24829428000000.0,24654916000000.0,24113934000000.0,24123116000000.0,23282173000000.0,25734859000000.0
2062.0,24717721000000.0,20445920000000.0,24707605000000.0,24661572000000.0,24063160000000.0,23979723000000.0,23151023000000.0,25645320000000.0
2063.0,24670468000000.0,20246373000000.0,24581633000000.0,24557449000000.0,23892068000000.0,23918750000000.0,23034545000000.0,25530447000000.0
2064.0,24622520000000.0,19969170000000.0,24570220000000.0,24368764000000.0,23770840000000.0,23798357000000.0,22898203000000.0,25519600000000.0
2065.0,24586420000000.0,19740102000000.0,24481033000000.0,24270904000000.0,23650288000000.0,23657456000000.0,22700915000000.0,25512217000000.0
2066.0,24459117000000.0,19462986000000.0,24391656000000.0,24179093000000.0,23538472000000.0,23529051000000.0,22639018000000.0,25527480000000.0
2067.0,24338137000000.0,19191388000000.0,24363187000000.0,24013974000000.0,23389197000000.0,23462496000000.0,22529322000000.0,25530598000000.0
2068.0,24322250000000.0,18921984000000.0,24339395000000.0,23957072000000.0,23254637000000.0,23369173000000.0,22378436000000.0,25488446000000.0
2069.0,24309740000000.0,18664700000000.0,24232205000000.0,23803235000000.0,23187723000000.0,23267295000000.0,22287552000000.0,25377154000000.0
2070.0,24241974000000.0,18382213000000.0,24161353000000.0,23726114000000.0,23186607000000.0,23182969000000.0,22199870000000.0,25247894000000.0
2071.0,24206570000000.0,18157018000000.0,24043202000000.0,23741880000000.0,22974256000000.0,23112419000000.0,22088245000000.0,25167722000000.0
2072.0,24164444000000.0,17938384000000.0,23989630000000.0,23601384000000.0,22886820000000.0,23038112000000.0,21955636000000.0,25218460000000.0
2073.0,24099034000000.0,17835020000000.0,23887293000000.0,23430684000000.0,22888520000000.0,22961734000000.0,21799593000000.0,25190800000000.0
2074.0,24082158000000.0,17636327000000.0,23761751000000.0,23365960000000.0,22772487000000.0,22900373000000.0,21603423000000.0,25155443000000.0
2075.0,23966146000000.0,17374121000000.0,23666903000000.0,23254540000000.0,22689980000000.0,22773343000000.0,21445246000000.0,25057106000000.0
2076.0,23899937000000.0,17175677000000.0,23557092000000.0,23184714000000.0,22543172000000.0,22725058000000.0,21350889000000.0,25020462000000.0
2077.0,23893637000000.0,17011772000000.0,23545237000000.0,23144713000000.0,22433529000000.0,22541282000000.0,21211940000000.0,24888524000000.0
2078.0,23776419000000.0,16788040000000.0,23530524000000.0,23092640000000.0,22267382000000.0,22384280000000.0,21058598000000.0,24764458000000.0
2079.0,23669350000000.0,16535524000000.0,23483050000000.0,22913332000000.0,22269850000000.0,22272373000000.0,20906653000000.0,24686774000000.0
2080.0,23645615000000.0,16277920000000.0,23477801000000.0,22799651000000.0,22083742000000.0,22164873000000.0,20857007000000.0,24666798000000.0
2081.0,23530509000000.0,16116533000000.0,23452514000000.0,22796074000000.0,21904470000000.0,22103005000000.0,20710162000000.0,24631577000000.0
2082.0,23429378000000.0,15999955000000.0,23402780000000.0,22674160000000.0,21707815000000.0,21963880000000.0,20565755000000.0,24505366000000.0
2083.0,23373227000000.0,15792074000000.0,23365656000000.0,22598985000000.0,21523656000000.0,21847354000000.0,20414980000000.0,24517011000000.0
2084.0,23334744000000.0,15545105000000.0,23336581000000.0,22517070000000.0,21346931000000.0,21713146000000.0,20230907000000.0,24468645000000.0
2085.0,23268266000000.0,15323116000000.0,23213967000000.0,22422892000000.0,21238202000000.0,21509788000000.0,20020440000000.0,24459600000000.0
2086.0,23197810000000.0,15066315000000.0,23179488000000.0,22291832000000.0,21101197000000.0,21435647000000.0,19889900000000.0,24398954000000.0
2087.0,23136148000000.0,14801851000000.0,23089771000000.0,22186962000000.0,21069618000000.0,21364580000000.0,19740599000000.0,24370701000000.0
2088.0,23099857000000.0,14571575000000.0,23049236000000.0,22100629000000.0,21009670000000.0,21312014000000.0,19634470000000.0,24272775000000.0
2089.0,22995882000000.0,14315470000000.0,22995563000000.0,22066154000000.0,20890130000000.0,21230004000000.0,19458550000000.0,24278429000000.0
2090.0,22893749000000.0,14141532000000.0,22956393000000.0,21984226000000.0,20792832000000.0,21130136000000.0,19348536000000.0,24204542000000.0
2091.0,22786014000000.0,13878119000000.0,22876338000000.0,21931190000000.0,20661727000000.0,21031977000000.0,19184403000000.0,24085698000000.0
2092.0,22707238000000.0,13679797000000.0,22788388000000.0,21874405000000.0,20522937000000.0,20931400000000.0,19011478000000.0,23956094000000.0
2093.0,22622813000000.0,13551561000000.0,22732446000000.0,21832800000000.0,20445642000000.0,20793904000000.0,18870096000000.0,23889816000000.0
2094.0,22507598000000.0,13346311000000.0,22681785000000.0,21680978000000.0,20333789000000.0,20662532000000.0,18709990000000.0,23775091000000.0
2095.0,22477707000000.0,13152774000000.0,22635325000000.0,21671847000000.0,20241040000000.0,20538520000000.0,18616267000000.0,23718621000000.0
2096.0,22395710000000.0,12971181000000.0,22593277000000.0,21603952000000.0,20079593000000.0,20426145000000.0,18506112000000.0,23680833000000.0
2097.0,22276710000000.0,12743587000000.0,22537308000000.0,21616923000000.0,19876058000000.0,20303283000000.0,18357498000000.0,23681049000000.0
2098.0,22091930000000.0,12527503000000.0,22453036000000.0,21494963000000.0,19697704000000.0,20239184000000.0,18210050000000.0,23618851000000.0
2099.0,22038383000000.0,12313434000000.0,22341814000000.0,21403936000000.0,19604185000000.0,20141467000000.0,18087550000000.0,23583313000000.0
2100.0,21939114000000.0,12057822000000.0,22280046000000.0,21352017000000.0,19502192000000.0,20047000000000.0,17960496000000.0,23538524000000.0
