time,GISS-E2-R,CESM1-CAM5,NORESM1-M,CCSM4,GFDL-CM3,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0
2001.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0
2002.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0
2003.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0
2004.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0
2005.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0
2006.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0
2007.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0
2008.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0
2009.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0
2010.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0
2011.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0
2012.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0
2013.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0
2014.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0
2015.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0
2016.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0
2017.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0
2018.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0
2019.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0
2020.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0
2021.0,14709405000000.0,14653533000000.0,14654345000000.0,14704693000000.0,14660091000000.0,14692078000000.0,14714069000000.0,14642040000000.0
2022.0,14639226000000.0,14560608000000.0,14600972000000.0,14657882000000.0,14587289000000.0,14653059000000.0,14648656000000.0,14652244000000.0
2023.0,14591893000000.0,14474766000000.0,14541752000000.0,14645809000000.0,14489935000000.0,14595792000000.0,14590805000000.0,14574433000000.0
2024.0,14561897000000.0,14386817000000.0,14531874000000.0,14586355000000.0,14417356000000.0,14589653000000.0,14542220000000.0,14497916000000.0
2025.0,14464610000000.0,14267071000000.0,14531008000000.0,14558131000000.0,14310386000000.0,14569089000000.0,14466042000000.0,14452544000000.0
2026.0,14453490000000.0,14158499000000.0,14458669000000.0,14503101000000.0,14212971000000.0,14572151000000.0,14390598000000.0,14395985000000.0
2027.0,14373942000000.0,14062574000000.0,14393919000000.0,14505193000000.0,14150762000000.0,14579380000000.0,14302814000000.0,14354698000000.0
2028.0,14347852000000.0,13929794000000.0,14300634000000.0,14503066000000.0,14073885000000.0,14525025000000.0,14248480000000.0,14341315000000.0
2029.0,14336858000000.0,13796433000000.0,14183154000000.0,14473941000000.0,14020250000000.0,14548766000000.0,14196793000000.0,14226177000000.0
2030.0,14301842000000.0,13667207000000.0,14091490000000.0,14436621000000.0,13919350000000.0,14570058000000.0,14133549000000.0,14169120000000.0
2031.0,14204763000000.0,13533278000000.0,14025402000000.0,14431764000000.0,13830965000000.0,14501797000000.0,14100153000000.0,14106677000000.0
2032.0,14161400000000.0,13414632000000.0,13992553000000.0,14405806000000.0,13700216000000.0,14506497000000.0,14040033000000.0,14025106000000.0
2033.0,14096789000000.0,13296596000000.0,13929129000000.0,14391860000000.0,13614287000000.0,14410104000000.0,14003994000000.0,13966284000000.0
2034.0,14074054000000.0,13174086000000.0,13882031000000.0,14350503000000.0,13509576000000.0,14413361000000.0,13956193000000.0,13901574000000.0
2035.0,14047161000000.0,13034142000000.0,13778946000000.0,14317613000000.0,13407651000000.0,14388203000000.0,13949959000000.0,13785505000000.0
2036.0,13999442000000.0,12943805000000.0,13718024000000.0,14354255000000.0,13289178000000.0,14402425000000.0,13894036000000.0,13694787000000.0
2037.0,13941514000000.0,12792205000000.0,13636416000000.0,14322882000000.0,13174583000000.0,14366213000000.0,13903210000000.0,13695549000000.0
2038.0,13898344000000.0,12641473000000.0,13561766000000.0,14298885000000.0,13061003000000.0,14311123000000.0,13832343000000.0,13568723000000.0
2039.0,13822860000000.0,12539526000000.0,13522968000000.0,14210554000000.0,12968343000000.0,14255177000000.0,13776313000000.0,13449339000000.0
2040.0,13782926000000.0,12425176000000.0,13418527000000.0,14167981000000.0,12845194000000.0,14194241000000.0,13753601000000.0,13312463000000.0
2041.0,13744728000000.0,12287300000000.0,13365236000000.0,14133376000000.0,12744961000000.0,14119106000000.0,13690776000000.0,13260133000000.0
2042.0,13678779000000.0,12135106000000.0,13268500000000.0,14036824000000.0,12634321000000.0,14104477000000.0,13655822000000.0,13167422000000.0
2043.0,13685511000000.0,12029912000000.0,13153554000000.0,13957331000000.0,12526366000000.0,14097347000000.0,13569868000000.0,13063178000000.0
