time,CCSM4,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-ESM2G,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0
2000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0
2001.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0
2002.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0
2003.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0
2004.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0
2005.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0
2006.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0
2007.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0
2008.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0
2009.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0
2010.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0
2011.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0
2012.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0
2013.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0
2014.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0
2015.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0
2016.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0
2017.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0
2018.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0
2019.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0
2020.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0
2021.0,13893085000.0,13952949000.0,13852800000.0,13886837000.0,13908549000.0,13905179000.0,13991912000.0,13883433000.0,13930123000.0,13852772000.0
2022.0,13798987000.0,13792745000.0,13687608000.0,13742022000.0,13767339000.0,13794980000.0,13841784000.0,13745910000.0,13804960000.0,13787028000.0
2023.0,13703682000.0,13746926000.0,13467333000.0,13768251000.0,13624809000.0,13797628000.0,13677054000.0,13604962000.0,13717978000.0,13700502000.0
2024.0,13560277000.0,13594106000.0,13246350000.0,13544651000.0,13516832000.0,13618641000.0,13582991000.0,13415471000.0,13567350000.0,13569063000.0
2025.0,13422927000.0,13517809000.0,13021891000.0,13360380000.0,13415941000.0,13593999000.0,13497298000.0,13245609000.0,13433115000.0,13393436000.0
2026.0,13244901000.0,13351315000.0,12726035000.0,13149373000.0,13277143000.0,13425623000.0,13336538000.0,13103675000.0,13351873000.0,13296393000.0
2027.0,13115432000.0,13207625000.0,12423278000.0,12959177000.0,13099751000.0,13361288000.0,13270788000.0,12904906000.0,13267322000.0,13192624000.0
2028.0,12963369000.0,13011830000.0,12100490000.0,12961136000.0,12942511000.0,13192146000.0,13117196000.0,12737370000.0,13089698000.0,13064551000.0
2029.0,12844679000.0,12852753000.0,11782640000.0,12867033000.0,12725965000.0,13081443000.0,12917719000.0,12605452000.0,12956879000.0,12862087000.0
2030.0,12711766000.0,12695293000.0,11445054000.0,12533161000.0,12524012000.0,12953459000.0,12711840000.0,12463831000.0,12792887000.0,12884101000.0
2031.0,12499420000.0,12509090000.0,11161003000.0,12366092000.0,12413918000.0,12804572000.0,12600795000.0,12293151000.0,12843965000.0,12561639000.0
2032.0,12384580000.0,12311097000.0,10814626000.0,12196961000.0,12184777000.0,12696368000.0,12463263000.0,12242883000.0,12549597000.0,12381300000.0
2033.0,12267565000.0,12103225000.0,10508694000.0,11997880000.0,11993037000.0,12502925000.0,12288473000.0,12016466000.0,12341565000.0,12201646000.0
2034.0,12069335000.0,11859962000.0,10140382000.0,11810557000.0,11982762000.0,12348387000.0,12172394000.0,11897420000.0,12188004000.0,12025610000.0
2035.0,11862422000.0,11724220000.0,9832097000.0,11625816000.0,11869302000.0,12229431000.0,11955030000.0,11740213000.0,11981716000.0,11771624000.0
2036.0,11677570000.0,11573845000.0,9529887000.0,11430517000.0,11655520000.0,12130244000.0,11745509000.0,11589714000.0,11771382000.0,11560260000.0
2037.0,11491459000.0,11477911000.0,9207761000.0,11219627000.0,11525627000.0,11924136000.0,11578746000.0,11605347000.0,11600331000.0,11390444000.0
2038.0,11374737000.0,11253689000.0,8863414000.0,11149049000.0,11411552000.0,11837958000.0,11383128000.0,11340965000.0,11384729000.0,11201481000.0
2039.0,11201488000.0,11087662000.0,8551403000.0,11163951000.0,11189775000.0,11609213000.0,11211693000.0,11331523000.0,11201032000.0,11063697000.0
2040.0,11045671000.0,10921348000.0,8229068300.0,11208203000.0,10985652000.0,11721828000.0,11375604000.0,11121326000.0,10948110000.0,10804853000.0
2041.0,10981926000.0,10704345000.0,7952316400.0,10939500000.0,10834247000.0,11342929000.0,11103987000.0,11026105000.0,10719698000.0,10638790000.0
2042.0,10811085000.0,10494393000.0,7691822600.0,10981581000.0,10704715000.0,11462025000.0,10805258000.0,10902410000.0,10528060000.0,10864978000.0
2043.0,10676176000.0,10302969000.0,7395166000.0,10731089000.0,10587764000.0,11103783000.0,10609270000.0,10733270000.0,10288135000.0,10484085000.0
2044.0,10522402000.0,10127525000.0,7090345000.0,10559635000.0,10600248000.0,10946207000.0,10437937000.0,10604014000.0,10080573000.0,10300721000.0
2045.0,10359920000.0,10081774000.0,6876723000.0,10419950000.0,10337421000.0,10903685000.0,10350221000.0,10508046000.0,9870519000.0,10119456000.0
2046.0,10220848000.0,9947678000.0,6631081000.0,10630887000.0,10189039000.0,10844611000.0,10155933000.0,10395918000.0,9671689000.0,9931166000.0
2047.0,10071149000.0,9752288000.0,6379513000.0,10332268000.0,10015710000.0,10796868000.0,9970288000.0,10252750000.0,9418337000.0,10030262000.0
2048.0,9952575000.0,9623664000.0,6118233600.0,10194904000.0,9848574000.0,10745560000.0,9827483000.0,10123784000.0,9314276000.0,9726680000.0
2049.0,9823112000.0,9645409000.0,5895810600.0,10040843000.0,9683939000.0,10663326000.0,9681829000.0,9997994000.0,9132478000.0,9486840000.0
2050.0,9694782000.0,9410972000.0,5640338400.0,9906203000.0,9597194000.0,10695074000.0,9577249000.0,9849477000.0,9084023000.0,9344188000.0
2051.0,9635892000.0,9883997000.0,5466110500.0,9857271000.0,9742453000.0,10475192000.0,9548153000.0,9757853000.0,8786032000.0,9139517000.0
2052.0,9536043000.0,9489116000.0,5307326500.0,9670792000.0,9409158000.0,10336554000.0,9300325000.0,9719499000.0,8624690000.0,9107476000.0
2053.0,9791974000.0,9310619000.0,5178621400.0,9515588000.0,9328802000.0,10247584000.0,9160429000.0,9656362000.0,8517118500.0,9499999000.0
2054.0,9373724000.0,9332508000.0,5006118000.0,9443396000.0,9491272000.0,10131326000.0,9034194000.0,9524411000.0,8331218000.0,9062953000.0
2055.0,9385878000.0,9160703000.0,4834248000.0,9246475000.0,9319251000.0,10209289000.0,8975276000.0,9441519000.0,8176672000.0,8883994000.0
2056.0,9163737000.0,9113182000.0,4665209000.0,9161386000.0,9425004000.0,10065052000.0,8777287000.0,9369055000.0,8162057000.0,8956621000.0
2057.0,9218920000.0,9140033000.0,4553468400.0,9502852000.0,9080208000.0,9963613000.0,8717977000.0,9260782000.0,7952701400.0,8674873000.0
2058.0,9230635000.0,8937682000.0,4416082000.0,9038032000.0,8940667000.0,9848277000.0,8828040000.0,9229423000.0,7798852000.0,8528858000.0
2059.0,8982939000.0,8848432000.0,4287460400.0,8927626000.0,8952359000.0,9827652000.0,8507156500.0,9119984000.0,7809631000.0,8524529700.0
2060.0,9275726000.0,8752513000.0,4174221600.0,8844374000.0,8837785000.0,9753261000.0,8359315500.0,9051688000.0,7768721000.0,8469976600.0
2061.0,9051758000.0,8668600000.0,4074518000.0,8970043000.0,8742962000.0,9752987000.0,8231125000.0,9056502000.0,7575009300.0,8314731000.0
2062.0,8962275000.0,8561696000.0,3999376600.0,8677956000.0,8761200000.0,9620898000.0,8104813600.0,8972854000.0,7514793000.0,8214007000.0
2063.0,8932047000.0,8481029600.0,3921599700.0,8575471600.0,8674592000.0,9597486000.0,7977133000.0,8944282000.0,7489033700.0,8283521500.0
2064.0,8762293000.0,8423420000.0,3879052800.0,8477582300.0,8817665000.0,9852509000.0,7865016300.0,9416819000.0,7302772700.0,9139285000.0
2065.0,8689189000.0,8360089000.0,3776342800.0,8415585000.0,8544315400.0,9523399000.0,7743863300.0,8896172000.0,7412173000.0,8836115000.0
2066.0,8631475000.0,8311289000.0,3706392000.0,8379761700.0,8475422700.0,9598872000.0,7636980000.0,8885673000.0,7801307600.0,8344769500.0
2067.0,9096187000.0,8240474000.0,3645706000.0,8248447000.0,8698902000.0,9998223000.0,7527101400.0,8779894000.0,7239958500.0,8192798000.0
2068.0,8560177700.0,8150936000.0,3588750000.0,8172458500.0,8519994400.0,9545803000.0,7549470700.0,8703629000.0,7144779300.0,8049976300.0
2069.0,8845621000.0,8208216600.0,3536152000.0,8120382000.0,8477978000.0,9415814000.0,7345068500.0,8706698000.0,7041182700.0,7944283000.0
2070.0,9007744000.0,8034637000.0,3473474300.0,8089051000.0,8325575700.0,9721202000.0,7224782300.0,8620903000.0,6942678000.0,8211157500.0
