time,GFDL-ESM2G,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R
2000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0
2001.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0
2002.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0
2003.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0
2004.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0
2005.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0
2006.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0
2007.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0
2008.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0
2009.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0
2010.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0
2011.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0
2012.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0
2013.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0
2014.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0
2015.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0
2016.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0
2017.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0
2018.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0
2019.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0
2020.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0
2021.0,13946000000.0,14026975000.0,14020139000.0,13854280000.0,14191248000.0,13919619000.0,13942551000.0,13976173000.0
2022.0,13830437000.0,13902217000.0,13863943000.0,13654317000.0,13973897000.0,13816551000.0,14048132000.0,13839265000.0
2023.0,13726240000.0,13819117000.0,13741056000.0,13481616000.0,13860706000.0,13726910000.0,13839556000.0,13732890000.0
2024.0,13574556000.0,13632724000.0,13547707000.0,13291174000.0,13690765000.0,13587493000.0,13692175000.0,13614779000.0
2025.0,13397489000.0,13549610000.0,13370928000.0,13072838000.0,13555999000.0,13477352000.0,13549390000.0,13469727000.0
2026.0,13251587000.0,13452812000.0,13219183000.0,12808080000.0,13425108000.0,13346757000.0,13405833000.0,13297184000.0
2027.0,13185236000.0,13340143000.0,13010799000.0,12544725000.0,13258212000.0,13225737000.0,13303906000.0,13157705000.0
2028.0,13033217000.0,13181715000.0,12817280000.0,12227177000.0,13167706000.0,13130521000.0,13225909000.0,13161566000.0
2029.0,12939632000.0,12959866000.0,12572340000.0,11974310000.0,13037285000.0,12982637000.0,13355486000.0,13142733000.0
2030.0,12816292000.0,12875764000.0,12302418000.0,11698586000.0,12955146000.0,12860154000.0,13478185000.0,12929815000.0
2031.0,12608850000.0,12677229000.0,12103634000.0,11377761000.0,12766910000.0,12872917000.0,12976460000.0,12838487000.0
2032.0,12595246000.0,12543062000.0,11889141000.0,11095695000.0,13025945000.0,12680869000.0,13074432000.0,12612179000.0
2033.0,12347942000.0,12734175000.0,11726326000.0,10903007000.0,12604621000.0,12494198000.0,12792445000.0,12464191000.0
2034.0,12362078000.0,12313273000.0,11408650000.0,10568183000.0,12476387000.0,12370591000.0,12718190000.0,12428794000.0
2035.0,12119899000.0,12121955000.0,11145025000.0,10222960000.0,12347662000.0,12169248000.0,12659922000.0,12245698000.0
2036.0,11945491000.0,11919007000.0,10856239000.0,9902927000.0,12320877000.0,12061186000.0,12687930000.0,12077109000.0
2037.0,11850089000.0,11744844000.0,10591623000.0,9685136000.0,12218467000.0,11901724000.0,12517625000.0,12044290000.0
2038.0,11682349000.0,11635835000.0,10287949000.0,9423148000.0,11995809000.0,11762534000.0,12595967000.0,11845599000.0
2039.0,11534993000.0,11418021000.0,10065579000.0,9168148000.0,11864669000.0,11538626000.0,12300463000.0,11711013000.0
2040.0,11458711000.0,11494965000.0,9720871000.0,8940955000.0,11750139000.0,11405348000.0,12199873000.0,11625055000.0
2041.0,11295104000.0,11287675000.0,9488027000.0,8659680000.0,11727172000.0,11261051000.0,12411214000.0,11507518000.0
2042.0,11167607000.0,11117519000.0,9275041000.0,8442826000.0,11594316000.0,11114887000.0,12123811000.0,11390203000.0
2043.0,11034049000.0,10944253000.0,9115444000.0,8135291400.0,11399200000.0,10958295000.0,11983728000.0,11254737000.0
2044.0,10875094000.0,10771459000.0,8860843000.0,7879150000.0,11357371000.0,10819809000.0,12073103000.0,11229011000.0
2045.0,10689779000.0,10562616000.0,8535675400.0,7622071000.0,11189053000.0,10636504000.0,11802759000.0,11194578000.0
2046.0,10560717000.0,10441319000.0,8242507300.0,7364862500.0,11114139000.0,10462494000.0,12406574000.0,10988186000.0
2047.0,10615526000.0,10235769000.0,8229693000.0,7182570500.0,11001221000.0,10461620000.0,11824915000.0,10839338000.0
2048.0,10324224000.0,10287840000.0,7866933000.0,6990025700.0,10874864000.0,10211816000.0,11642504000.0,10710769000.0
2049.0,10192397000.0,10111150000.0,7569126400.0,6730027000.0,10727815000.0,10041538000.0,11546354000.0,10640442000.0
2050.0,10031263000.0,9927949000.0,7345159700.0,6558706000.0,10637039000.0,9886290000.0,12082810000.0,10500910000.0
2051.0,9860212000.0,9777049000.0,7196726000.0,6393593300.0,10435592000.0,9720399000.0,11442196000.0,10378355000.0
2052.0,9682330000.0,9609692000.0,7217557500.0,6227456500.0,10325936000.0,9588703000.0,11542264000.0,10286021000.0
2053.0,9507826000.0,9458899000.0,7089617400.0,6032160300.0,10186116000.0,9464822000.0,11265103000.0,10170673000.0
2054.0,9897938000.0,9320900000.0,6989859300.0,5879623700.0,10065064000.0,9259249000.0,11230540000.0,10074853000.0
