time,GFDL-ESM4,BCC-CSM2-MR,CAMS-CSM1-0,INM-CM5-0,NORESM2-MM,TAIESM1,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,FGOALS-F3-L,CMCC-CM2-SR5,INM-CM4-8,MPI-ESM1-2-HR,CESM2,CESM2-WACCM,EC-EARTH3,CANESM5,MRI-ESM2-0,EC-EARTH3-VEG
2000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0
2015.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0
2016.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0
2017.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0
2018.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0
2019.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0
2020.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0
2021.0,26719130000000.0,26754324000000.0,26712090000000.0,26671365000000.0,26692390000000.0,26661335000000.0,26742673000000.0,26728649000000.0,26690000000000.0,26670247000000.0,26777188000000.0,26708594000000.0,26683915000000.0,26739986000000.0,26703124000000.0,26711717000000.0,26708990000000.0,26783026000000.0,26681272000000.0
2022.0,26670059000000.0,26679794000000.0,26714992000000.0,26622925000000.0,26690395000000.0,26578055000000.0,26752902000000.0,26624310000000.0,26627386000000.0,26565220000000.0,26704794000000.0,26682983000000.0,26667685000000.0,26702974000000.0,26701067000000.0,26698324000000.0,26650730000000.0,26794963000000.0,26579273000000.0
2023.0,26634111000000.0,26608457000000.0,26668366000000.0,26526970000000.0,26629175000000.0,26521264000000.0,26703430000000.0,26545209000000.0,26583370000000.0,26551830000000.0,26645442000000.0,26644941000000.0,26601102000000.0,26707371000000.0,26670568000000.0,26674040000000.0,26606190000000.0,26730330000000.0,26462552000000.0
2024.0,26572336000000.0,26607640000000.0,26643643000000.0,26506443000000.0,26619142000000.0,26405300000000.0,26648420000000.0,26547558000000.0,26545557000000.0,26511124000000.0,26569687000000.0,26600184000000.0,26568550000000.0,26630402000000.0,26658034000000.0,26602988000000.0,26575091000000.0,26686895000000.0,26321034000000.0
2025.0,26530650000000.0,26585485000000.0,26627501000000.0,26475588000000.0,26611032000000.0,26385289000000.0,26596587000000.0,26458125000000.0,26442593000000.0,26441170000000.0,26496018000000.0,26549944000000.0,26535450000000.0,26582505000000.0,26577314000000.0,26487862000000.0,26445796000000.0,26707365000000.0,26234327000000.0
2026.0,26512378000000.0,26503107000000.0,26495364000000.0,26429562000000.0,26574390000000.0,26301172000000.0,26541247000000.0,26372840000000.0,26403314000000.0,26459073000000.0,26424616000000.0,26501546000000.0,26472415000000.0,26511667000000.0,26530570000000.0,26457013000000.0,26433232000000.0,26720325000000.0,26176005000000.0
2027.0,26499955000000.0,26490550000000.0,26476896000000.0,26363320000000.0,26501831000000.0,26254512000000.0,26523644000000.0,26332893000000.0,26290204000000.0,26403748000000.0,26333405000000.0,26400306000000.0,26476812000000.0,26459687000000.0,26525993000000.0,26431516000000.0,26414238000000.0,26689898000000.0,26102068000000.0
2028.0,26469349000000.0,26362954000000.0,26430388000000.0,26303913000000.0,26450093000000.0,26176446000000.0,26471494000000.0,26282922000000.0,26276773000000.0,26358365000000.0,26242397000000.0,26347156000000.0,26451303000000.0,26393840000000.0,26562420000000.0,26400386000000.0,26305238000000.0,26615218000000.0,26072475000000.0
2029.0,26395556000000.0,26289935000000.0,26335422000000.0,26294654000000.0,26403685000000.0,26070686000000.0,26414414000000.0,26236686000000.0,26240810000000.0,26316477000000.0,26172721000000.0,26296010000000.0,26463026000000.0,26326562000000.0,26488313000000.0,26323622000000.0,26207029000000.0,26592414000000.0,25938903000000.0
2030.0,26363935000000.0,26193636000000.0,26286781000000.0,26265090000000.0,26330402000000.0,25957176000000.0,26391744000000.0,26225135000000.0,26203115000000.0,26291636000000.0,26113858000000.0,26244798000000.0,26404090000000.0,26246738000000.0,26470576000000.0,26255236000000.0,26208207000000.0,26507467000000.0,25842739000000.0
2031.0,26273217000000.0,26129696000000.0,26225678000000.0,26224740000000.0,26247973000000.0,25826158000000.0,26362602000000.0,26166220000000.0,26182393000000.0,26267582000000.0,26104860000000.0,26213007000000.0,26384180000000.0,26190608000000.0,26470030000000.0,26116030000000.0,26160472000000.0,26502274000000.0,25757183000000.0
2032.0,26156609000000.0,26046640000000.0,26208081000000.0,26147600000000.0,26159406000000.0,25649016000000.0,26354586000000.0,26101610000000.0,26138785000000.0,26178566000000.0,26046949000000.0,26177217000000.0,26351612000000.0,26169095000000.0,26434599000000.0,26018815000000.0,26090458000000.0,26440213000000.0,25683175000000.0
2033.0,26094204000000.0,26007726000000.0,26140392000000.0,26073148000000.0,26143147000000.0,25535690000000.0,26292185000000.0,26066612000000.0,26129480000000.0,26121112000000.0,25994228000000.0,26123946000000.0,26294402000000.0,26092641000000.0,26347785000000.0,25850850000000.0,26027863000000.0,26456715000000.0,25535830000000.0
2034.0,26072318000000.0,25982545000000.0,26095894000000.0,26021223000000.0,26105208000000.0,25385400000000.0,26195683000000.0,25991452000000.0,26043457000000.0,26095814000000.0,25893576000000.0,26080590000000.0,26276566000000.0,26011001000000.0,26292443000000.0,25737126000000.0,25936689000000.0,26379723000000.0,25450540000000.0
2035.0,26034672000000.0,25913842000000.0,26052062000000.0,26010600000000.0,26045655000000.0,25164251000000.0,26171658000000.0,25979056000000.0,25940495000000.0,26060786000000.0,25739540000000.0,26070569000000.0,26277772000000.0,25961590000000.0,26251608000000.0,25618471000000.0,25849955000000.0,26345394000000.0,25358087000000.0
2036.0,26022326000000.0,25904680000000.0,25994377000000.0,25957497000000.0,25998968000000.0,25030885000000.0,26144395000000.0,25943467000000.0,25848778000000.0,26045254000000.0,25638874000000.0,26052910000000.0,26261638000000.0,25887599000000.0,26225550000000.0,25534030000000.0,25754352000000.0,26341750000000.0,25282868000000.0
2037.0,26008835000000.0,25855070000000.0,25921942000000.0,25936158000000.0,25956373000000.0,24838683000000.0,26067706000000.0,25886875000000.0,25801441000000.0,25998706000000.0,25507196000000.0,25964537000000.0,26249370000000.0,25855525000000.0,26205330000000.0,25441753000000.0,25716899000000.0,26242412000000.0,25251985000000.0
2038.0,25929800000000.0,25792891000000.0,25857022000000.0,25883643000000.0,25979456000000.0,24612117000000.0,26013428000000.0,25827893000000.0,25744114000000.0,25977963000000.0,25327710000000.0,25901486000000.0,26156418000000.0,25763450000000.0,26122905000000.0,25318375000000.0,25605307000000.0,26257849000000.0,25118776000000.0
2039.0,25904326000000.0,25772062000000.0,25869393000000.0,25819920000000.0,25942303000000.0,24517650000000.0,25959363000000.0,25801104000000.0,25701573000000.0,25906900000000.0,25230559000000.0,25844582000000.0,26115001000000.0,25715802000000.0,26022693000000.0,25262427000000.0,25498310000000.0,26196847000000.0,24934180000000.0
2040.0,25829380000000.0,25709685000000.0,25883291000000.0,25814603000000.0,25893307000000.0,24377385000000.0,25931068000000.0,25757340000000.0,25595696000000.0,25903296000000.0,25135890000000.0,25779325000000.0,26019300000000.0,25548932000000.0,25931477000000.0,25132412000000.0,25436482000000.0,26183092000000.0,24857970000000.0
2041.0,25760847000000.0,25669310000000.0,25854078000000.0,25720307000000.0,25826536000000.0,24152128000000.0,25910649000000.0,25685117000000.0,25577620000000.0,25870810000000.0,25147730000000.0,25713525000000.0,25963493000000.0,25522489000000.0,25911720000000.0,25034680000000.0,25373800000000.0,26079788000000.0,24759945000000.0
2042.0,25688426000000.0,25594020000000.0,25834969000000.0,25619713000000.0,25792100000000.0,23885443000000.0,25848965000000.0,25653198000000.0,25490784000000.0,25833658000000.0,25124607000000.0,25660444000000.0,25904454000000.0,25439450000000.0,25758414000000.0,24891326000000.0,25313627000000.0,25987510000000.0,24674906000000.0
