time,EC-EARTH3,IPSL-CM6A-LR,CNRM-CM6-1,CESM2-WACCM,GFDL-ESM4,CNRM-ESM2-1,UKESM1-0-LL,CANESM5,MIROC6,KACE-1-0-G,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0
2016.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0
2017.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0
2018.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0
2019.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0
2020.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0
2021.0,2341321500.0,2288284400.0,2327699500.0,2238638300.0,2340622000.0,2281272800.0,2229753900.0,2325148400.0,2276021000.0,2207636000.0,2276562400.0,2325685000.0,2245170700.0
2022.0,2221142800.0,2251037700.0,2293743000.0,2339475000.0,2280431600.0,2240058000.0,2214418000.0,2336397300.0,2272611600.0,2206396000.0,2221297700.0,2247128300.0,2240402700.0
2023.0,2221862100.0,2267109400.0,2260844800.0,2278898400.0,2217554200.0,2191522300.0,2215845400.0,2182049500.0,2281941000.0,2165726200.0,2200694300.0,2196357600.0,2231111200.0
2024.0,2176002800.0,2279782400.0,2230391000.0,2285725000.0,2219306800.0,2183434000.0,2203071500.0,2130416300.0,2235227400.0,2091550000.0,2204060200.0,2181428700.0,2286572000.0
2025.0,2110233500.0,2233953500.0,2253738000.0,2201424100.0,2288723700.0,2197529300.0,2172255700.0,2076317600.0,2169410300.0,2051920100.0,2174872300.0,2123501400.0,2232600000.0
2026.0,2059201800.0,2216983300.0,2168341000.0,2156377600.0,2260015900.0,2162932500.0,2074627800.0,2032919400.0,2137127600.0,1981706800.0,2145076200.0,2132666900.0,2166670000.0
2027.0,2006369200.0,2116641000.0,2206881000.0,2172203800.0,2187352000.0,2191258000.0,2023512300.0,1982376000.0,2143294500.0,1922692000.0,2110678700.0,2167811800.0,2190552800.0
2028.0,1967564200.0,2139343000.0,2135929300.0,2306369800.0,2114127400.0,2175055000.0,1957688000.0,1952463400.0,2082186400.0,1855343000.0,2106631800.0,2228749000.0,2123128000.0
2029.0,1925685000.0,2097400700.0,2437702700.0,2182263600.0,2107685900.0,2063118300.0,1921308000.0,2050807600.0,2045214100.0,1801984000.0,2010921200.0,2057863300.0,2063715500.0
