time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0
2016.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0
2017.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0
2018.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0
2019.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0
2020.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0
2021.0,2295284000.0,2237609700.0,2271197400.0,2261484000.0,2313434000.0
2022.0,2259130600.0,2251927800.0,2252518000.0,2216225000.0,2267790000.0
2023.0,2209313300.0,2210304300.0,2313341000.0,2166411000.0,2250371600.0
2024.0,2238040600.0,2150063900.0,2252676400.0,2125566600.0,2193165800.0
2025.0,2198695200.0,2105791900.0,2187732700.0,2110232300.0,2178339600.0
2026.0,2139315000.0,2051334700.0,2146887600.0,2050955300.0,2151649500.0
2027.0,2065306100.0,1993042400.0,2122318500.0,1993235700.0,2136581200.0
2028.0,2024072600.0,1948330800.0,2210877200.0,1948123900.0,2041372000.0
2029.0,1968201200.0,1890587400.0,2102797600.0,1869280800.0,2029719400.0
2030.0,1907399800.0,1862565900.0,2119355100.0,1867751600.0,1955651000.0
2031.0,1853293400.0,1794051100.0,2084145400.0,1756788100.0,1942278100.0
2032.0,1793224700.0,1712997900.0,2040401500.0,1649131500.0,1987055000.0
2033.0,1724479600.0,1648821600.0,1968333600.0,1575660000.0,1913661700.0
2034.0,1664086000.0,1587920000.0,1919582200.0,1500665900.0,1794994800.0
2035.0,1620596200.0,1527252900.0,1854107800.0,1421416800.0,1741237200.0
2036.0,1573112300.0,1498486300.0,1809849300.0,1344279900.0,1691591400.0
2037.0,1492178200.0,1436040800.0,1772236200.0,1267517700.0,1718672900.0
2038.0,1419106000.0,1345482000.0,1740419100.0,1208050600.0,1652063400.0
2039.0,1403012000.0,1288087400.0,1782707300.0,1141955800.0,1624939500.0
2040.0,1304555000.0,1231815700.0,1672553000.0,1029155260.0,1550638100.0
2041.0,1231787900.0,1145566200.0,1694436900.0,978367000.0,1452436200.0
2042.0,1174221300.0,1073359600.0,1602091900.0,894627000.0,1389838600.0
2043.0,1099799300.0,1014898240.0,1529923800.0,841261440.0,1312306800.0
2044.0,1024220300.0,970785200.0,1466431500.0,772356400.0,1260406900.0
2045.0,962971000.0,909748540.0,1468327000.0,717276600.0,1180832400.0
2046.0,905146700.0,863604500.0,1375685400.0,657948100.0,1120310900.0
2047.0,846026600.0,862080960.0,1342392300.0,615284160.0,1064044100.0
2048.0,795133600.0,807427500.0,1289169700.0,554419140.0,1017977100.0
2049.0,755103740.0,795628300.0,1229819600.0,501805660.0,952256260.0
2050.0,697408900.0,732740100.0,1280862000.0,455933900.0,904701700.0
2051.0,648793600.0,689557900.0,1247322900.0,407353400.0,853586100.0
2052.0,627656100.0,687493700.0,1185783700.0,369618940.0,802577540.0
2053.0,579313900.0,643438340.0,1118680200.0,337759600.0,776286340.0
2054.0,541682700.0,608861630.0,1022235400.0,319669820.0,769543000.0
2055.0,539341700.0,574723200.0,958773300.0,303658340.0,670710400.0
2056.0,486079940.0,570765300.0,945105200.0,282605470.0,633214800.0
2057.0,462025700.0,540332700.0,877712200.0,258097280.0,596686800.0
2058.0,438137860.0,512945000.0,952528600.0,239736940.0,569921100.0
2059.0,409828380.0,501633000.0,823510300.0,223662820.0,541850400.0
2060.0,386978750.0,491829220.0,792270660.0,209011420.0,511647230.0
2061.0,364961120.0,450097440.0,770781760.0,201911950.0,496933020.0
2062.0,344415300.0,503295900.0,831491000.0,180472210.0,471786780.0
2063.0,331746340.0,437693860.0,731942300.0,170575920.0,439220160.0
2064.0,311162430.0,411939620.0,681213700.0,158909820.0,425304960.0
2065.0,284975600.0,395232580.0,655860400.0,147505180.0,408256580.0
2066.0,263122540.0,421232800.0,799782600.0,142148270.0,400387840.0
2067.0,240755310.0,377867970.0,719635800.0,136942960.0,376086820.0
2068.0,243998820.0,366630820.0,608343360.0,130434696.0,354636200.0
