time,UKESM1-0-LL,MPI-ESM1-2-HR,TAIESM1,IITM-ESM,KACE-1-0-G,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,GFDL-ESM4
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0
2016.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0
2017.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0
2018.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0
2019.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0
2020.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0
2021.0,2325294000.0,2338388700.0,2242552300.0,2358103800.0,2209131000.0,2219241500.0,2302605300.0,2258246100.0,2355716900.0
2022.0,2250893600.0,2397524500.0,2207761400.0,2351678000.0,2169013800.0,2182305300.0,2329912300.0,2267969800.0,2342631700.0
2023.0,2178835500.0,2320208600.0,2251503000.0,2295994600.0,2115123000.0,2157142000.0,2224552000.0,2254674700.0,2286336800.0
2024.0,2132548900.0,2297503000.0,2155107600.0,2334099200.0,2050058900.0,2121090200.0,2186906600.0,2206166500.0,2325048300.0
2025.0,2104243500.0,2236664600.0,2118871600.0,2355000300.0,1987132300.0,2128057600.0,2195860700.0,2162013000.0,2382216200.0
2026.0,2081604100.0,2189036000.0,2099145200.0,2314540000.0,1912293900.0,2085021800.0,2158875100.0,2178245400.0,2281269800.0
2027.0,1983960700.0,2144142200.0,2042663700.0,2207106800.0,1837183900.0,2073320800.0,2105801100.0,2148473300.0,2220772900.0
2028.0,2026355700.0,2129154700.0,1989295400.0,2273597700.0,1746194300.0,2072315500.0,2311766500.0,2065838200.0,2180214800.0
2029.0,1985102000.0,2181930500.0,1938595100.0,2266488300.0,1678646000.0,2113058000.0,2265160200.0,2031409500.0,2147699700.0
2030.0,1943405800.0,2050002200.0,1966057600.0,2227043600.0,1624312700.0,1950652800.0,2056320800.0,1992486300.0,2121955000.0
2031.0,1850625000.0,2124989600.0,1890507600.0,2229796600.0,1545992800.0,1907721700.0,2048657500.0,1982174200.0,2101047900.0
2032.0,1811929500.0,1989166500.0,1808440700.0,2224342800.0,1497912600.0,1866052400.0,1985514400.0,2000627100.0,2205737700.0
2033.0,1753224800.0,1932487400.0,1761954700.0,2228558600.0,1405317000.0,1807115900.0,1940743700.0,1903022500.0,2072817200.0
2034.0,1683002000.0,1909600100.0,1742064500.0,2116181000.0,1353254800.0,1776651000.0,1873779700.0,1875866400.0,2026784500.0
2035.0,1600350300.0,1849451300.0,1680236000.0,2077095300.0,1330976600.0,1731203500.0,1822695300.0,1879272400.0,2010123900.0
2036.0,1514330000.0,1798601000.0,1631936900.0,2080681100.0,1175576400.0,1675877500.0,1793956200.0,1804482200.0,1944709900.0
2037.0,1442037800.0,1793651500.0,1602927500.0,2057960600.0,1109162400.0,1623990400.0,1774981900.0,1763498800.0,1916576300.0
2038.0,1358588000.0,1718024300.0,1544391700.0,2017138000.0,1044581400.0,1576001300.0,1718329200.0,1792098700.0,1886709400.0
2039.0,1270056800.0,1690779100.0,1466076900.0,2040260700.0,998518900.0,1520541700.0,1676863700.0,1705034600.0,1840150400.0
2040.0,1189284100.0,1713115800.0,1404282200.0,2059637100.0,917348030.0,1486228500.0,1615255900.0,1695581200.0,1806403500.0
2041.0,1130094100.0,1637502500.0,1374194800.0,1976192500.0,844502100.0,1445313800.0,1541481100.0,1625769000.0,1847575900.0
2042.0,1065096060.0,1538364800.0,1308898600.0,1950624100.0,790654200.0,1396189600.0,1483021800.0,1571767700.0,1768694400.0
2043.0,1003399300.0,1485859100.0,1254472600.0,2018418600.0,805812300.0,1322661800.0,1449636400.0,1654122200.0,1763957600.0
2044.0,940283700.0,1488525200.0,1203134000.0,1932483700.0,696372350.0,1263226800.0,1382371300.0,1435863600.0,1749592800.0
2045.0,889740540.0,1448068000.0,1157465900.0,1944756400.0,631207900.0,1196154900.0,1314312000.0,1364827900.0,1645464700.0
2046.0,857314800.0,1457569000.0,1095025900.0,1983533700.0,588974500.0,1148363500.0,1267267500.0,1300873300.0,1605381500.0
2047.0,781503700.0,1347756400.0,1045349800.0,1921304000.0,543624500.0,1109899600.0,1218438000.0,1262187600.0,1694958600.0
2048.0,733051100.0,1260010200.0,979627840.0,1902070500.0,505582050.0,1074440600.0,1156729100.0,1206411300.0,1640370300.0
2049.0,686938300.0,1246243600.0,976249540.0,1876827800.0,475287360.0,1037960500.0,1096109400.0,1160696300.0,1629907800.0
2050.0,629628000.0,1179743200.0,921489860.0,1889466200.0,440151550.0,990562500.0,1047550200.0,1106184400.0,1493891000.0
2051.0,592290900.0,1139163000.0,870412100.0,1811412500.0,405278370.0,918968300.0,1037778900.0,1070509060.0,1431760500.0
2052.0,543012860.0,1269368800.0,824142000.0,1861147500.0,380073500.0,886076800.0,993456200.0,1016851260.0,1391202800.0
2053.0,510416420.0,1101949700.0,791124600.0,1778102300.0,354845100.0,1035733400.0,934394940.0,969587700.0,1360192900.0
2054.0,484753800.0,1119286700.0,747044000.0,1791279700.0,330832830.0,828036300.0,905126700.0,924292540.0,1354026900.0
2055.0,460208580.0,1023371900.0,704486400.0,1745754000.0,312182400.0,808760640.0,838740300.0,915752260.0,1352473500.0
2056.0,421923420.0,970255200.0,673755300.0,1716625700.0,301377100.0,767213700.0,780707400.0,849270900.0,1290448100.0
2057.0,400142700.0,939527300.0,631132300.0,1679702000.0,278917000.0,724355140.0,740619600.0,808687600.0,1241607700.0
2058.0,366673180.0,915730300.0,605903600.0,1648702200.0,260295000.0,732732300.0,721376800.0,808907140.0,1188494100.0
2059.0,335300220.0,874853800.0,561897700.0,1628269800.0,240484130.0,688032400.0,672586600.0,802307460.0,1260035300.0
2060.0,315129760.0,844684000.0,534854720.0,1593152000.0,217576500.0,644458100.0,682615300.0,742452300.0,1198305500.0
2061.0,304065280.0,802231740.0,506082000.0,1583581300.0,256989870.0,610512300.0,622429250.0,692892900.0,1139960800.0
2062.0,288694100.0,843227900.0,484485920.0,1551770000.0,226149920.0,611387900.0,617146200.0,656617860.0,1081801300.0
2063.0,280018240.0,814182660.0,453504000.0,1521488500.0,208202690.0,580505100.0,558862500.0,626648300.0,1080220800.0
2064.0,262573520.0,819118850.0,432522300.0,1511199100.0,197287170.0,535521470.0,559624600.0,607296300.0,1033080800.0
2065.0,247631470.0,763501000.0,400400200.0,1478973600.0,187328430.0,553620350.0,502075420.0,625938560.0,1001601150.0
2066.0,245958000.0,706736260.0,378708930.0,1467366900.0,179486610.0,556272830.0,485229340.0,603496450.0,1108904700.0
2067.0,227089540.0,675689300.0,357679100.0,1523532400.0,172799070.0,527799500.0,473075260.0,564358460.0,1106214500.0
2068.0,218621070.0,682648600.0,342842460.0,1513961900.0,165745120.0,504593900.0,439331840.0,553590800.0,989033300.0
2069.0,222766860.0,655620400.0,324942880.0,1460776200.0,158226940.0,481592300.0,405089470.0,529222880.0,951717800.0
2070.0,200100050.0,628451460.0,311032900.0,1439198800.0,150663790.0,465911700.0,383512260.0,505640740.0,906708860.0
2071.0,189090430.0,609134800.0,289459550.0,1409341400.0,145060530.0,444787040.0,359700960.0,484574720.0,909339460.0
2072.0,181240340.0,612816000.0,277565980.0,1384546700.0,143144740.0,433526140.0,342447500.0,465808600.0,934635140.0
2073.0,172899800.0,607419600.0,261977570.0,1422859900.0,137155820.0,414261950.0,328261860.0,462569660.0,879598140.0
2074.0,164648290.0,579537000.0,249790370.0,1405683800.0,134305060.0,401526880.0,307918460.0,437443500.0,896261060.0
2075.0,159896770.0,618055550.0,244676300.0,1383076700.0,131338890.0,423032540.0,289704320.0,430790100.0,850639600.0
2076.0,151653540.0,547581300.0,235045220.0,1420759700.0,127143624.0,417211500.0,309613440.0,405803420.0,821578750.0
2077.0,147633570.0,546643600.0,224477730.0,1452327400.0,124674020.0,393580860.0,273359400.0,384178780.0,791964800.0
2078.0,139067550.0,527456200.0,214680750.0,1321871100.0,142984960.0,367523300.0,256916640.0,396556700.0,776180350.0
2079.0,135944460.0,544313660.0,203647710.0,1323651500.0,140775170.0,355055300.0,247358220.0,387732960.0,774381250.0
2080.0,133848480.0,738374660.0,192304380.0,1310792800.0,125519330.0,359199360.0,244161340.0,366032400.0,751404900.0
2081.0,128668930.0,473119140.0,185354620.0,1271693800.0,130033610.0,413035100.0,231555630.0,350575740.0,719316350.0
2082.0,125353490.0,543016100.0,180054270.0,1259440400.0,122929620.0,359335040.0,220089360.0,328228300.0,699983500.0
2083.0,122651690.0,440837380.0,173285600.0,1242501100.0,120541410.0,370847680.0,218185460.0,316347680.0,675858000.0
2084.0,119804520.0,480227330.0,166252430.0,1264474400.0,119512136.0,335472030.0,213264430.0,302625600.0,659574340.0
2085.0,117559370.0,429703070.0,160750770.0,1248636400.0,118776830.0,329082400.0,211274620.0,295045950.0,642989250.0
2086.0,116337560.0,427274140.0,155897180.0,1202931300.0,117303260.0,300628860.0,203259900.0,286323460.0,665779650.0
2087.0,113517100.0,429480450.0,149912530.0,1204996100.0,116251530.0,351643300.0,198530020.0,336296300.0,634881540.0
2088.0,111555970.0,435734600.0,148344380.0,1294727700.0,116811976.0,349018850.0,184675310.0,266961020.0,632031900.0
2089.0,107027544.0,394635800.0,143144560.0,1187606900.0,130484240.0,320564830.0,183688960.0,257159460.0,598847360.0
2090.0,105259144.0,394940640.0,138692860.0,1182211100.0,118385140.0,326631970.0,174567400.0,247947580.0,577367740.0
2091.0,102681140.0,407625800.0,135618780.0,1172795400.0,120706210.0,293064900.0,173020370.0,238218750.0,607526700.0
2092.0,98999080.0,398476380.0,131086424.0,1139005600.0,117713890.0,312814750.0,165740180.0,239816850.0,587036740.0
2093.0,96265140.0,391692000.0,128915730.0,1165217500.0,118130776.0,284350850.0,161483070.0,244982640.0,562082100.0
2094.0,118550984.0,367842940.0,126987544.0,1130063700.0,114003790.0,343423580.0,158544910.0,221687550.0,547079900.0
2095.0,90324856.0,351491070.0,124377816.0,1101946000.0,110709790.0,283522400.0,157488210.0,217115650.0,544232200.0
2096.0,87255340.0,350785540.0,122025670.0,1083563000.0,119504824.0,274126200.0,153639120.0,224145230.0,528782530.0
