time,CNRM-CM5,GISS-E2-R,MPI-ESM-LR,GFDL-CM3,CCSM4,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,CANESM2,CESM1-CAM5,CSIRO-MK3-6-0
2000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0
2001.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0
2002.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0
2003.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0
2004.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0
2005.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0
2006.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0
2007.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0
2008.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0
2009.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0
2010.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0
2011.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0
2012.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0
