time,CSIRO-MK3-6-0,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,NORESM1-M,CCSM4,GFDL-CM3,GISS-E2-R
2042.0,103400096000.0,101572550000.0,103393060000.0,103496040000.0,103158310000.0,103224934000.0,102824670000.0,103626480000.0
2043.0,103522075000.0,101296100000.0,103401540000.0,103414940000.0,103072150000.0,103174410000.0,102720050000.0,104200470000.0
2044.0,103270450000.0,101252290000.0,103325630000.0,103408755000.0,102975810000.0,103079620000.0,102623200000.0,103897040000.0
2045.0,103203280000.0,101021290000.0,103193280000.0,103332880000.0,102981130000.0,102948700000.0,102579860000.0,103707970000.0
2046.0,103114920000.0,100653375000.0,103437850000.0,103245505000.0,102819460000.0,102852160000.0,102421920000.0,103564435000.0
2047.0,103057230000.0,100293190000.0,103318570000.0,103137880000.0,102725180000.0,102864450000.0,102348250000.0,103509400000.0
2048.0,102994520000.0,99886590000.0,103120120000.0,103046365000.0,102548005000.0,102784970000.0,102226720000.0,103452385000.0
2049.0,102999130000.0,99710280000.0,103053120000.0,102970160000.0,102865040000.0,102635270000.0,102068716000.0,103325350000.0
2050.0,102861440000.0,99386240000.0,103016260000.0,102891495000.0,102523090000.0,102540690000.0,102009070000.0,103281000000.0
2051.0,103017770000.0,98939990000.0,102896790000.0,102918580000.0,102530425000.0,102433120000.0,101839890000.0,103250750000.0
2052.0,102739710000.0,98478570000.0,102840380000.0,102943530000.0,102342350000.0,102316730000.0,101699540000.0,103225030000.0
2053.0,102619636000.0,97993680000.0,102753910000.0,102713290000.0,102210200000.0,102132800000.0,101480374000.0,103560000000.0
2054.0,102532510000.0,97671060000.0,102683870000.0,102560930000.0,102134130000.0,101969854000.0,101318670000.0,103214570000.0
2055.0,102376374000.0,97282515000.0,102554450000.0,102486065000.0,102024724000.0,101819230000.0,101130820000.0,103188390000.0
2056.0,102339220000.0,96823510000.0,102473875000.0,102402695000.0,101873705000.0,101673120000.0,100957766000.0,103171490000.0
2057.0,102387680000.0,96273050000.0,102429990000.0,102600860000.0,101658220000.0,101688790000.0,100735050000.0,103112110000.0
2058.0,102176790000.0,96288380000.0,102231490000.0,102434880000.0,101558490000.0,101481180000.0,100522890000.0,103032095000.0
2059.0,102043650000.0,95691120000.0,102135185000.0,102111600000.0,101379285000.0,101309020000.0,100241826000.0,102951930000.0
2060.0,102111100000.0,95208150000.0,102086500000.0,101943116000.0,101180510000.0,101136360000.0,99986880000.0,102865940000.0
2061.0,101928630000.0,94651990000.0,101948375000.0,102086370000.0,101062935000.0,100950440000.0,99790720000.0,102806600000.0
2062.0,101843840000.0,94036290000.0,101784370000.0,102423510000.0,100957900000.0,100702680000.0,99524550000.0,102645360000.0
2063.0,101726540000.0,93537935000.0,101609050000.0,101706940000.0,100687980000.0,100568740000.0,99259010000.0,102513525000.0
2064.0,101635770000.0,92821270000.0,101776160000.0,101379940000.0,100485150000.0,100375814000.0,98914020000.0,102501670000.0
2065.0,101586790000.0,92235790000.0,101415430000.0,101188350000.0,100279620000.0,100137220000.0,98513130000.0,102536750000.0
2066.0,101355560000.0,91472404000.0,101232660000.0,101041040000.0,100093390000.0,99919725000.0,98369634000.0,102519040000.0
2067.0,101192516000.0,90744450000.0,101202910000.0,100802030000.0,99837880000.0,99756280000.0,98049210000.0,102477770000.0
2068.0,101165154000.0,89967470000.0,101129220000.0,100678025000.0,99610190000.0,99518400000.0,97675090000.0,102304860000.0
2069.0,101113410000.0,89267945000.0,100903600000.0,100413830000.0,99406110000.0,99304170000.0,97434894000.0,102099210000.0
2070.0,100934650000.0,88361560000.0,100753924000.0,100375675000.0,99593250000.0,99101000000.0,97236280000.0,101923774000.0
2071.0,100863520000.0,87685990000.0,100571455000.0,100599530000.0,98977590000.0,98925910000.0,96898390000.0,101810100000.0
2072.0,100717410000.0,86948690000.0,100462920000.0,99974860000.0,98800530000.0,98762810000.0,96585515000.0,103001410000.0
2073.0,100591890000.0,86972146000.0,100306035000.0,99657030000.0,99149190000.0,98589280000.0,96216620000.0,101893870000.0
2074.0,100675290000.0,85879380000.0,100092530000.0,99504720000.0,98500050000.0,98438330000.0,95778570000.0,101846390000.0
2075.0,100331820000.0,85082690000.0,99885890000.0,99288785000.0,98289380000.0,98162640000.0,95313700000.0,101541440000.0
2076.0,100185104000.0,84392010000.0,99703560000.0,99123530000.0,98037055000.0,98011540000.0,95063196000.0,101461870000.0
2077.0,100329150000.0,83924480000.0,99725710000.0,99055450000.0,97774760000.0,97670550000.0,94675894000.0,101285410000.0
2078.0,99937730000.0,83247505000.0,99676980000.0,98860196000.0,97455400000.0,97308180000.0,94167970000.0,101082810000.0
2079.0,99732250000.0,82538310000.0,99513630000.0,98491620000.0,98151750000.0,97068760000.0,93812410000.0,100936720000.0
2080.0,99745310000.0,81029130000.0,99562365000.0,98240630000.0,97029005000.0,96831810000.0,93650630000.0,100887390000.0
2081.0,99419640000.0,80476004000.0,99353980000.0,98788160000.0,96669620000.0,96659770000.0,93116015000.0,100873550000.0
2082.0,99236030000.0,80123610000.0,99139450000.0,97855890000.0,96268370000.0,96367400000.0,92748130000.0,100610930000.0
2083.0,99107660000.0,79485215000.0,99026730000.0,97616840000.0,95831280000.0,96069394000.0,92221555000.0,101003080000.0
2084.0,99102100000.0,78589485000.0,98964800000.0,97419035000.0,95435250000.0,95789950000.0,91785070000.0,100519444000.0
2085.0,98828090000.0,77885330000.0,98634100000.0,97185235000.0,95170340000.0,95391890000.0,90723050000.0,100549700000.0
2086.0,98648980000.0,77000010000.0,99174430000.0,96904910000.0,94843520000.0,95199960000.0,90082110000.0,100314780000.0
2087.0,98474254000.0,76241740000.0,98537230000.0,96628150000.0,95204710000.0,94988380000.0,89543070000.0,100221120000.0
2088.0,98356790000.0,75504165000.0,98281090000.0,96371294000.0,94634910000.0,94893470000.0,89075520000.0,100039490000.0
2089.0,98117710000.0,74640850000.0,98088550000.0,96627530000.0,94169784000.0,94531520000.0,88603615000.0,100598510000.0
2090.0,97909960000.0,74106240000.0,97994960000.0,96207450000.0,93893984000.0,94266410000.0,88143710000.0,100093710000.0
2091.0,97660985000.0,73196610000.0,97733490000.0,96085900000.0,93581270000.0,94012875000.0,87692630000.0,99672470000.0
2092.0,97486110000.0,72405900000.0,97525470000.0,96110830000.0,93229140000.0,93727646000.0,87163460000.0,99456120000.0
2093.0,97283790000.0,71823230000.0,97376900000.0,95820530000.0,93036960000.0,93379120000.0,86708070000.0,99333830000.0
2094.0,97036550000.0,71165290000.0,97230570000.0,95073900000.0,92655395000.0,93009306000.0,86186310000.0,99115565000.0
2095.0,97050530000.0,70499730000.0,97093640000.0,95569900000.0,92438590000.0,92711730000.0,85811290000.0,98982470000.0
2096.0,96696340000.0,69993190000.0,97088920000.0,94685670000.0,91996880000.0,92396290000.0,85279900000.0,98867170000.0
2097.0,96434800000.0,69259575000.0,96816650000.0,95701900000.0,91469810000.0,92069140000.0,84754040000.0,99428730000.0
2098.0,96088924000.0,68650130000.0,96594800000.0,94311850000.0,90965450000.0,91882290000.0,84177490000.0,98708460000.0
2099.0,95942250000.0,67904850000.0,96304860000.0,94032970000.0,90697330000.0,91578300000.0,83815190000.0,98553400000.0
2100.0,95717655000.0,67055858000.0,96125760000.0,93775460000.0,90391530000.0,91316420000.0,83329260000.0,98432350000.0
