time,NORESM1-M,CSIRO-MK3-6-0,CANESM2,GFDL-CM3,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,GFDL-ESM2G,CCSM4,GISS-E2-R
2000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0
2001.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0
2002.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0
2003.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0
2004.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0
2005.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0
2006.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0
2007.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0
2008.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0
2009.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0
2010.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0
2011.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0
2012.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0
2013.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0
2014.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0
2015.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0
2016.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0
2017.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0
2018.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0
2019.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0
2020.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0
2021.0,846806700000.0,840072230000.0,832462450000.0,838947400000.0,835317100000.0,835302600000.0,844117700000.0,821259200000.0,838934800000.0,838821900000.0
2022.0,834587700000.0,830259200000.0,825925040000.0,836419450000.0,821551200000.0,814109160000.0,825016450000.0,805142300000.0,828857900000.0,840517350000.0
2023.0,825107300000.0,834016840000.0,815517300000.0,820768870000.0,803368300000.0,802762800000.0,816994600000.0,785007500000.0,797226900000.0,827865600000.0
2024.0,816493040000.0,830752300000.0,805407700000.0,798669540000.0,795679800000.0,793670700000.0,799360100000.0,775092200000.0,755087100000.0,817439700000.0
2025.0,818556900000.0,822664400000.0,788377900000.0,786932200000.0,789164500000.0,787830700000.0,783947100000.0,760612260000.0,739191900000.0,805495500000.0
2026.0,810677600000.0,807850340000.0,774337500000.0,766171800000.0,793598800000.0,777764300000.0,766585340000.0,755124100000.0,707248850000.0,800208100000.0
2027.0,795927900000.0,796014100000.0,761639000000.0,728955100000.0,778833100000.0,761370500000.0,749938300000.0,751208100000.0,679981800000.0,787886600000.0
2028.0,776880300000.0,786433840000.0,743264160000.0,704936740000.0,754877300000.0,752518040000.0,723006060000.0,731724800000.0,665908150000.0,780931500000.0
2029.0,752784200000.0,776255440000.0,733020950000.0,688824100000.0,737188600000.0,751212170000.0,706456300000.0,711121630000.0,641719900000.0,784612400000.0
2030.0,734859000000.0,758463460000.0,732528900000.0,670677800000.0,717770100000.0,756536200000.0,682131200000.0,694004740000.0,614247240000.0,780406600000.0
2031.0,722507400000.0,745255140000.0,715382700000.0,638194100000.0,700753250000.0,753487640000.0,657188650000.0,680971000000.0,603815300000.0,766377660000.0
2032.0,702642600000.0,732455040000.0,692209100000.0,622247540000.0,677203100000.0,758810500000.0,634635940000.0,671053840000.0,585564100000.0,749812060000.0
2033.0,690011770000.0,726019900000.0,671503750000.0,607067640000.0,662212400000.0,744361600000.0,605690900000.0,659052560000.0,561048000000.0,738083500000.0
2034.0,678512030000.0,720898600000.0,664103940000.0,584669200000.0,659398850000.0,724845300000.0,603042940000.0,632005600000.0,534955330000.0,731106500000.0
2035.0,656538660000.0,711705800000.0,649137950000.0,576386200000.0,652282800000.0,704182700000.0,586728800000.0,608874600000.0,517437200000.0,725877600000.0
2036.0,644345950000.0,706225300000.0,625046600000.0,550767300000.0,627937700000.0,696918700000.0,558916570000.0,597023400000.0,488845180000.0,718572300000.0
2037.0,608513560000.0,683225700000.0,605029600000.0,531165940000.0,612439400000.0,684405600000.0,538238500000.0,585156300000.0,476163400000.0,712078070000.0
2038.0,599359700000.0,664098960000.0,584684000000.0,511760070000.0,594152900000.0,661919240000.0,522128800000.0,569986300000.0,455650740000.0,704380530000.0
2039.0,583164170000.0,655187700000.0,574070850000.0,489100400000.0,578157600000.0,655186900000.0,503416720000.0,554412800000.0,431528350000.0,689998500000.0
