time,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5,GISS-E2-R,CCSM4,NORESM1-M,GFDL-CM3,CSIRO-MK3-6-0
2000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0,1017658930000.0
2001.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0,1010991960000.0
2002.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0,1008924300000.0
2003.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0,1000959100000.0
2004.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0,993721800000.0
2005.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0,980550100000.0
2006.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0,977286460000.0
2007.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0,966646900000.0
2008.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0,970335300000.0
2009.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0,964672900000.0
2010.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0,951111600000.0
2011.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0,946021000000.0
2012.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0,948164600000.0
2013.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0,944374600000.0
2014.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0,923776600000.0
2015.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0,910068100000.0
2016.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0,893054500000.0
2017.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0,882071200000.0
2018.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0,871622100000.0
2019.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0,864401100000.0
2020.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0,849013240000.0
2021.0,822846000000.0,841677400000.0,833867600000.0,834608800000.0,839278300000.0,836647100000.0,835089300000.0,840131800000.0
2022.0,806843100000.0,837904200000.0,817138000000.0,827059000000.0,824696600000.0,816444000000.0,802483900000.0,815483700000.0
2023.0,783601400000.0,821290300000.0,805976300000.0,817672550000.0,820552600000.0,792899300000.0,775381250000.0,795312460000.0
2024.0,762021400000.0,808216560000.0,791286200000.0,809182760000.0,816365040000.0,767162800000.0,762230100000.0,783144850000.0
2025.0,744926600000.0,810067950000.0,779839300000.0,793352400000.0,798529200000.0,755036600000.0,750761500000.0,776717800000.0
2026.0,732672950000.0,796239500000.0,764111600000.0,780889160000.0,792303200000.0,744262600000.0,730067240000.0,757620500000.0
2027.0,727617700000.0,784527200000.0,739235860000.0,773025500000.0,783480500000.0,733253900000.0,710318750000.0,743414400000.0
2028.0,717814100000.0,772432900000.0,730939060000.0,762433200000.0,784534140000.0,734409200000.0,701296300000.0,741101000000.0
2029.0,696757900000.0,753929500000.0,720033740000.0,745472100000.0,776630700000.0,727011700000.0,677596400000.0,728792370000.0
2030.0,692069700000.0,738061900000.0,704023600000.0,731590300000.0,757988900000.0,718456500000.0,653287100000.0,722475700000.0
2031.0,678388760000.0,728133500000.0,698317000000.0,721339740000.0,741199200000.0,707698950000.0,637142430000.0,707659200000.0
2032.0,654116650000.0,713893200000.0,678744900000.0,717949600000.0,723196250000.0,699680800000.0,626826900000.0,695645630000.0
2033.0,646633000000.0,697189860000.0,666971400000.0,711937360000.0,706544700000.0,694534900000.0,611129560000.0,687363500000.0
2034.0,637899960000.0,680952140000.0,652843550000.0,708424000000.0,690272670000.0,684990100000.0,594920200000.0,690284300000.0
2035.0,627403500000.0,666542900000.0,642648640000.0,694221500000.0,680206140000.0,680020740000.0,587016500000.0,687187170000.0
2036.0,614824300000.0,656095900000.0,627090700000.0,684843900000.0,663037800000.0,671576950000.0,568516900000.0,676622500000.0
2037.0,606589400000.0,649831840000.0,610625000000.0,684348300000.0,654946140000.0,659740400000.0,559959240000.0,669291600000.0
2038.0,586857450000.0,639190200000.0,594133000000.0,683227350000.0,638180800000.0,651960500000.0,536834900000.0,655353300000.0
2039.0,575987600000.0,628868900000.0,583290000000.0,680432960000.0,620742200000.0,649981660000.0,523962350000.0,635751100000.0
2040.0,568905100000.0,611272800000.0,562988450000.0,670032460000.0,599407850000.0,643297600000.0,495015600000.0,631530400000.0
2041.0,551691940000.0,599020500000.0,553404660000.0,662485200000.0,584151470000.0,634154250000.0,478576050000.0,622219800000.0
2042.0,529981200000.0,579896000000.0,538389800000.0,653646760000.0,562910600000.0,622523250000.0,463927100000.0,617876500000.0
2043.0,516297600000.0,572289250000.0,535274520000.0,638889600000.0,556501240000.0,605229100000.0,445298250000.0,605604600000.0
2044.0,497590930000.0,555389000000.0,523603180000.0,624617400000.0,546059000000.0,590304600000.0,434372700000.0,593958400000.0
2045.0,491935700000.0,538401340000.0,505907480000.0,624426750000.0,533638400000.0,576656200000.0,416467800000.0,580322070000.0
2046.0,481034170000.0,517157680000.0,489139470000.0,611348500000.0,521974020000.0,575059600000.0,406400300000.0,567100600000.0
2047.0,465958900000.0,498520100000.0,479810550000.0,606013000000.0,507839680000.0,564311560000.0,386364100000.0,554137600000.0
2048.0,458704220000.0,486069040000.0,465950150000.0,593697440000.0,488984050000.0,551626700000.0,375020300000.0,541903360000.0
2049.0,446437360000.0,471160620000.0,450652930000.0,581866750000.0,478637500000.0,536504800000.0,360123330000.0,526728330000.0
2050.0,438468000000.0,443433750000.0,430645180000.0,571592150000.0,469996340000.0,521765620000.0,342448280000.0,507212860000.0
2051.0,430254560000.0,431896760000.0,417143320000.0,567155160000.0,458667620000.0,510566800000.0,333227460000.0,486446300000.0
2052.0,413730800000.0,411458300000.0,404222280000.0,560089900000.0,444002800000.0,500264860000.0,321556700000.0,470730830000.0
2053.0,408991270000.0,403422000000.0,397377730000.0,546618870000.0,436184600000.0,484065640000.0,304158830000.0,462597230000.0
2054.0,404716420000.0,386495100000.0,386625000000.0,532326880000.0,424533460000.0,477597040000.0,290011600000.0,456056240000.0
2055.0,398580150000.0,372716500000.0,368795300000.0,515660740000.0,415759400000.0,466109800000.0,281171400000.0,447525620000.0
2056.0,390461900000.0,361677750000.0,355178200000.0,505643700000.0,407924770000.0,450458980000.0,272589470000.0,437850960000.0
2057.0,383183000000.0,354354530000.0,344291250000.0,501824720000.0,402097900000.0,438298150000.0,263506620000.0,426655480000.0
2058.0,374925600000.0,350040520000.0,325416400000.0,490732700000.0,391845970000.0,431359660000.0,255970560000.0,418058470000.0
2059.0,368733800000.0,328391070000.0,311788500000.0,472995330000.0,382829850000.0,416644630000.0,246838590000.0,410295070000.0
2060.0,364505270000.0,318422100000.0,302597000000.0,465493430000.0,371774700000.0,406956930000.0,236669170000.0,395652330000.0
2061.0,362938000000.0,312435180000.0,294539500000.0,452708630000.0,365414780000.0,391446660000.0,226427650000.0,383990960000.0
2062.0,356446370000.0,302823200000.0,285500600000.0,442980240000.0,353971000000.0,373946220000.0,219031140000.0,378324350000.0
2063.0,349713000000.0,291650930000.0,275551300000.0,428424700000.0,349314000000.0,370499100000.0,211468980000.0,375804100000.0
2064.0,343091540000.0,281900320000.0,255507800000.0,418801200000.0,337339060000.0,364963820000.0,203731550000.0,371917520000.0
2065.0,338702630000.0,272757110000.0,239930800000.0,411126600000.0,327758050000.0,350562520000.0,190996560000.0,364995380000.0
2066.0,329250830000.0,269342980000.0,227320700000.0,400838100000.0,322746100000.0,332585800000.0,186464440000.0,353962950000.0
2067.0,325098400000.0,259415050000.0,213974300000.0,393425260000.0,316844670000.0,316169300000.0,176081040000.0,349476420000.0
2068.0,318106500000.0,251250660000.0,201756280000.0,379976350000.0,304908000000.0,302595280000.0,168398520000.0,336735960000.0
2069.0,310035200000.0,242975720000.0,188229530000.0,370024450000.0,295526560000.0,294037850000.0,158384010000.0,321777760000.0
2070.0,302947930000.0,236957120000.0,177084330000.0,361039560000.0,286178930000.0,286034620000.0,151241720000.0,315193230000.0
2071.0,298592470000.0,226138540000.0,164236940000.0,353722630000.0,280433660000.0,273404050000.0,142741930000.0,303433600000.0
2072.0,294903840000.0,218333770000.0,151838020000.0,346125240000.0,271060860000.0,263938900000.0,136560020000.0,293571950000.0
