time,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,UKESM1-0-LL
2000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0
2001.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0
2002.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0
2003.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0
2004.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0
2005.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0
2006.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0
2007.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0
2008.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0
2009.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0
2010.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0
2011.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0
2012.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0
2013.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0
2014.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0
2015.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0
2016.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0
2017.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0
2018.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0
2019.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0
2020.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0
2021.0,848895700000.0,848357000000.0,813775600000.0,830818160000.0,822079060000.0
2022.0,846879800000.0,831650400000.0,787736040000.0,822160900000.0,798436500000.0
2023.0,828351100000.0,813090540000.0,767090700000.0,804076260000.0,759616300000.0
2024.0,823711300000.0,795267400000.0,751268000000.0,768321600000.0,726860400000.0
2025.0,831846940000.0,776320060000.0,732093700000.0,730972100000.0,715644140000.0
2026.0,824458350000.0,765565860000.0,700115400000.0,701685900000.0,682769600000.0
2027.0,794747600000.0,764228670000.0,682793100000.0,693529300000.0,655799600000.0
2028.0,784582400000.0,754676660000.0,643827600000.0,668567700000.0,623533500000.0
2029.0,764266800000.0,743839560000.0,617331100000.0,642729300000.0,596043760000.0
2030.0,748851000000.0,732257650000.0,579893700000.0,621954140000.0,570211200000.0
2031.0,739218000000.0,703663640000.0,534118760000.0,591544450000.0,555116460000.0
2032.0,726787500000.0,708116400000.0,513911300000.0,559692900000.0,532956200000.0
2033.0,722904350000.0,691529250000.0,497966650000.0,537913800000.0,505804880000.0
2034.0,695865900000.0,689231400000.0,494587300000.0,531893350000.0,469303500000.0
2035.0,682725930000.0,665804100000.0,480359020000.0,525514180000.0,440234600000.0
2036.0,677496160000.0,647343800000.0,464981620000.0,509335180000.0,422180620000.0
2037.0,656202200000.0,624088000000.0,443382430000.0,496678570000.0,395417680000.0
2038.0,644544900000.0,614813140000.0,435346100000.0,469049250000.0,378918860000.0
2039.0,621241430000.0,606321800000.0,411182070000.0,453656580000.0,354473150000.0
