time,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM,CANESM5
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104781460000.0,105045524000.0,104769790000.0,104766900000.0
2022.0,104648150000.0,104866180000.0,104727280000.0,104690336000.0
2023.0,104610636000.0,104713675000.0,104675615000.0,104634830000.0
2024.0,104612905000.0,104662960000.0,104676710000.0,104613750000.0
2025.0,104523416000.0,105253020000.0,104579910000.0,104515650000.0
2026.0,104480010000.0,104908880000.0,104543690000.0,104512790000.0
2027.0,104450890000.0,104694735000.0,104605800000.0,104491860000.0
2028.0,104413660000.0,104589300000.0,104923685000.0,104410200000.0
2029.0,104375970000.0,104572500000.0,104540810000.0,104341970000.0
2030.0,104481950000.0,104499210000.0,104522860000.0,104384070000.0
2031.0,104304570000.0,104564180000.0,104504020000.0,104282750000.0
2032.0,104224240000.0,104438825000.0,104449974000.0,104251556000.0
2033.0,104191960000.0,104567910000.0,104355316000.0,104158860000.0
2034.0,104146110000.0,104353235000.0,104297920000.0,104076440000.0
2035.0,104377650000.0,104311450000.0,104244400000.0,104006120000.0
2036.0,104116650000.0,104364065000.0,104232215000.0,103922926000.0
2037.0,104016870000.0,104215570000.0,104191650000.0,103853500000.0
2038.0,103990980000.0,104318304000.0,104093940000.0,103720510000.0
2039.0,103917530000.0,104113650000.0,103995880000.0,103620570000.0
2040.0,103950110000.0,104093530000.0,103922590000.0,103550810000.0
2041.0,104049150000.0,104416770000.0,103830760000.0,103459470000.0
2042.0,103847660000.0,104004805000.0,103812500000.0,103309476000.0
2043.0,103657200000.0,103937745000.0,103708900000.0,103219010000.0
2044.0,103530955000.0,103888420000.0,103595610000.0,103046906000.0
2045.0,103420770000.0,103733260000.0,103632680000.0,102962380000.0
2046.0,103357760000.0,103633270000.0,103441010000.0,103129440000.0
2047.0,103257280000.0,103546855000.0,103342560000.0,102864750000.0
2048.0,103101300000.0,103551330000.0,103322340000.0,102648340000.0
2049.0,102920610000.0,103391810000.0,103133420000.0,102484570000.0
2050.0,102821970000.0,103253746000.0,102953520000.0,102326690000.0
2051.0,102739935000.0,103136280000.0,102905430000.0,102228500000.0
2052.0,102635995000.0,103034010000.0,102701540000.0,101993780000.0
