time,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,CANESM5,GFDL-ESM4,MPI-ESM1-2-HR,ACCESS-CM2,MRI-ESM2-0,IPSL-CM6A-LR,CESM2,CAMS-CSM1-0,CESM2-WACCM,EC-EARTH3,EC-EARTH3-VEG,INM-CM4-8,INM-CM5-0,ACCESS-ESM1-5
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104795840000.0,104719030000.0,104678780000.0,104725940000.0,104717840000.0,104803230000.0,104732820000.0,104660615000.0,104675880000.0,104737570000.0,104683045000.0,104721530000.0,104700035000.0,104715715000.0,104708780000.0,104739970000.0,104719335000.0
2022.0,104803550000.0,104646210000.0,104631200000.0,104677310000.0,104638570000.0,104713670000.0,104761790000.0,104868800000.0,104627860000.0,104629900000.0,104674490000.0,104889370000.0,104625170000.0,104650030000.0,104662745000.0,104691010000.0,104643265000.0
2023.0,104677920000.0,104711140000.0,104615110000.0,104663015000.0,104635744000.0,104747760000.0,104705080000.0,104687575000.0,104559075000.0,104573034000.0,104642690000.0,106013410000.0,104543764000.0,104586340000.0,104726590000.0,104607080000.0,104573846000.0
2024.0,104925905000.0,104585070000.0,104761080000.0,105037770000.0,104727490000.0,104727070000.0,104961910000.0,104746950000.0,104542090000.0,104540700000.0,104587900000.0,105052690000.0,104478460000.0,104509284000.0,104631610000.0,104552645000.0,104569455000.0
2025.0,104692760000.0,104538390000.0,104611840000.0,104669080000.0,104663730000.0,104618320000.0,105134370000.0,104550910000.0,104472090000.0,104576960000.0,104779880000.0,104854995000.0,104390770000.0,104459410000.0,104566910000.0,104526810000.0,104472220000.0
