time,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,CANESM5,GFDL-ESM4,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0
2000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0,105284440000.0
2001.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0,105233360000.0
2002.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0,105197160000.0
2003.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0,105169060000.0
2004.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0,105132930000.0
2005.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0,105302510000.0
2006.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0,105122670000.0
2007.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0,105340035000.0
2008.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0,105117190000.0
2009.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0,105024500000.0
2010.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0,104958810000.0
2011.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0,104916540000.0
2012.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0,104870110000.0
2013.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0,104803290000.0
2014.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0,106435960000.0
2015.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0,104913990000.0
2016.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0,104764645000.0
2017.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0,104753110000.0
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
