time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,CNRM-CM5,IPSL-CM5A-LR,CANESM2,NORESM1-M,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G
2026.0,87014270000.0,88316350000.0,87222430000.0,87194060000.0,88112330000.0,86924165000.0,86968870000.0,86562730000.0,87010420000.0,87103900000.0
2027.0,86876260000.0,89072900000.0,87201740000.0,87474690000.0,87787856000.0,86912640000.0,86692995000.0,86271070000.0,86744154000.0,86927800000.0
2028.0,86933180000.0,87467680000.0,87456490000.0,87099425000.0,87351435000.0,86874950000.0,86713400000.0,86056300000.0,86536880000.0,86945830000.0
2029.0,86964430000.0,87343270000.0,87436610000.0,86803670000.0,87115810000.0,86804455000.0,87103070000.0,85868904000.0,86388940000.0,86764440000.0
2030.0,87518050000.0,86999690000.0,87276700000.0,86919920000.0,86951800000.0,86654870000.0,86445425000.0,85584760000.0,86171180000.0,87264035000.0
2031.0,86728565000.0,87111770000.0,87261630000.0,87106520000.0,87322255000.0,86318060000.0,86174550000.0,85325410000.0,86222610000.0,86632145000.0
2032.0,86647670000.0,87309360000.0,86919635000.0,88727036000.0,86602340000.0,86520010000.0,86086074000.0,84933450000.0,86016650000.0,86575070000.0
2033.0,86393070000.0,86662810000.0,86798170000.0,87119730000.0,86333090000.0,86486190000.0,85843210000.0,84568650000.0,85704890000.0,87571825000.0
2034.0,86186890000.0,86476600000.0,87273415000.0,86464260000.0,86323266000.0,86149110000.0,85791050000.0,84151740000.0,85486330000.0,86553395000.0
2035.0,86049415000.0,86563150000.0,86694855000.0,86134686000.0,86964870000.0,85715740000.0,85475070000.0,83749350000.0,85541030000.0,86455220000.0
2036.0,86069610000.0,86154910000.0,87204725000.0,85945990000.0,87527220000.0,85496996000.0,85296590000.0,83662960000.0,85428740000.0,86419540000.0
2037.0,86032654000.0,85923170000.0,86779690000.0,85831565000.0,86378380000.0,85219380000.0,85113640000.0,83080490000.0,84964160000.0,85951300000.0
2038.0,85854134000.0,85751190000.0,86463226000.0,85725815000.0,85774795000.0,84915010000.0,84667490000.0,82610450000.0,84664720000.0,85814430000.0
2039.0,85801490000.0,85648090000.0,86366930000.0,85900026000.0,85383120000.0,84642900000.0,84961970000.0,82117665000.0,84571130000.0,86335920000.0
2040.0,85670494000.0,85543535000.0,86329090000.0,85361140000.0,85067150000.0,84539550000.0,84510750000.0,81649230000.0,84163215000.0,85885534000.0
2041.0,85535580000.0,85220240000.0,86259420000.0,85016310000.0,84823680000.0,84742850000.0,84274070000.0,81180370000.0,83857690000.0,85503900000.0
2042.0,85134770000.0,85103330000.0,86102974000.0,85224950000.0,85065660000.0,83987220000.0,83851805000.0,80712800000.0,83538400000.0,85238410000.0
2043.0,85362790000.0,85402540000.0,85693890000.0,87832710000.0,84625050000.0,83747920000.0,83406340000.0,80090530000.0,83251170000.0,84980785000.0
2044.0,85075220000.0,85105300000.0,85937600000.0,85734970000.0,85959090000.0,83778580000.0,83012870000.0,79484330000.0,83139540000.0,84724200000.0
2045.0,84734630000.0,84460380000.0,86160340000.0,85851636000.0,84282330000.0,83224500000.0,82700616000.0,79129985000.0,82754540000.0,84617450000.0
2046.0,84665480000.0,84315510000.0,85627460000.0,84850205000.0,83470700000.0,83097985000.0,82231270000.0,78379340000.0,82395140000.0,84351040000.0
2047.0,84280510000.0,85840900000.0,85179520000.0,84490290000.0,83116230000.0,82540650000.0,81751970000.0,77775890000.0,82193620000.0,84059130000.0
2048.0,83921535000.0,84425560000.0,85090210000.0,84113750000.0,82814070000.0,82213530000.0,81419040000.0,77155795000.0,81746010000.0,83753740000.0
2049.0,83841250000.0,84090180000.0,84756680000.0,83935540000.0,82425970000.0,81944950000.0,80939024000.0,76532460000.0,81405380000.0,83398160000.0
2050.0,84851835000.0,83542640000.0,84639280000.0,83521176000.0,81950750000.0,81495376000.0,80487280000.0,76005040000.0,81092090000.0,83135360000.0
2051.0,83626660000.0,83372550000.0,84456440000.0,83468010000.0,81521140000.0,81224010000.0,80018290000.0,75437450000.0,80673470000.0,83051740000.0
2052.0,83503340000.0,83011355000.0,84335520000.0,83142754000.0,81803440000.0,80545430000.0,80220870000.0,74864140000.0,80254200000.0,83182820000.0
2053.0,83159520000.0,82752820000.0,84250395000.0,83053710000.0,81869680000.0,80106070000.0,79567030000.0,74278700000.0,79826900000.0,82468170000.0
2054.0,82903785000.0,82374530000.0,84200390000.0,82934825000.0,80848970000.0,79806450000.0,78911226000.0,73655030000.0,79590600000.0,82686810000.0
2055.0,82739930000.0,82132440000.0,83892110000.0,83476560000.0,80930160000.0,79370050000.0,78638400000.0,72985846000.0,79136880000.0,81943855000.0
2056.0,82402910000.0,81749490000.0,83678310000.0,82956810000.0,79924850000.0,79483675000.0,78247020000.0,72325630000.0,78568910000.0,81690440000.0
2057.0,81980180000.0,81411200000.0,83386410000.0,84089580000.0,79867210000.0,78842590000.0,77680170000.0,72100400000.0,78485090000.0,81587280000.0
2058.0,81910410000.0,81143000000.0,83236050000.0,82217800000.0,79231860000.0,78461075000.0,77175650000.0,71222075000.0,77870220000.0,81120970000.0
2059.0,81934640000.0,81347160000.0,83037870000.0,81319320000.0,78982430000.0,77840480000.0,76617800000.0,70515515000.0,77579300000.0,80849830000.0
2060.0,81919170000.0,81075600000.0,83033100000.0,81080476000.0,78449320000.0,77339260000.0,76362340000.0,69958670000.0,77135995000.0,80739310000.0
2061.0,81333590000.0,80583920000.0,82508540000.0,81063120000.0,78082930000.0,76911526000.0,75787970000.0,69306100000.0,76509176000.0,80294765000.0
2062.0,81007985000.0,80500770000.0,82283240000.0,82596040000.0,77663500000.0,76563500000.0,75309410000.0,68604862000.0,76068790000.0,80771420000.0
2063.0,80752330000.0,80079225000.0,82143670000.0,82912230000.0,77449560000.0,76008960000.0,75065565000.0,67892818000.0,75762246000.0,79777320000.0
2064.0,80433180000.0,79733570000.0,81884650000.0,83667610000.0,77695390000.0,75553180000.0,74453830000.0,67224030000.0,75221140000.0,79405870000.0
2065.0,80237230000.0,79894920000.0,81607246000.0,82785990000.0,76760010000.0,74997730000.0,74107250000.0,66550907000.0,74909010000.0,78958970000.0
2066.0,79773130000.0,79361850000.0,81519980000.0,83730460000.0,76187740000.0,74684820000.0,73606685000.0,65804837000.0,74725020000.0,78770364000.0
2067.0,79978530000.0,79747000000.0,82022605000.0,81693170000.0,75650920000.0,74042750000.0,73113444000.0,65106395000.0,74145866000.0,78482170000.0
2068.0,79522940000.0,79399354000.0,81670350000.0,80948920000.0,75306844000.0,73713670000.0,72736180000.0,64651497000.0,73553900000.0,77987060000.0
2069.0,79115280000.0,79148120000.0,81234620000.0,80177940000.0,74970320000.0,73128940000.0,72366750000.0,64133935000.0,73076515000.0,77774820000.0
2070.0,78873720000.0,78495150000.0,80660095000.0,80395985000.0,74805880000.0,72747120000.0,71749540000.0,63479110000.0,72713080000.0,77549100000.0
2071.0,78657710000.0,78291120000.0,80348316000.0,79020876000.0,74159810000.0,72229945000.0,71334950000.0,62846956000.0,72215060000.0,77086030000.0
2072.0,78563890000.0,78326290000.0,80085960000.0,78537010000.0,73722090000.0,71895710000.0,71464920000.0,62139826000.0,71905165000.0,76820300000.0
2073.0,79175926000.0,79845850000.0,80080855000.0,78258545000.0,73202980000.0,71525835000.0,70482920000.0,61351834000.0,71311750000.0,76293800000.0
2074.0,78312186000.0,79698130000.0,79809550000.0,78188265000.0,73817145000.0,71111080000.0,69922360000.0,60736640000.0,70801780000.0,76079100000.0
2075.0,78096910000.0,78280200000.0,79522324000.0,77739540000.0,72703885000.0,70690570000.0,69402950000.0,60038850000.0,70264670000.0,75500180000.0
2076.0,77397130000.0,77765560000.0,79602490000.0,78217626000.0,72336690000.0,70412580000.0,69076790000.0,59343640000.0,69826020000.0,75229800000.0
2077.0,77014245000.0,77175220000.0,79362570000.0,77110470000.0,71738810000.0,69929180000.0,68592845000.0,58611090000.0,69308640000.0,75594170000.0
2078.0,76694950000.0,77483360000.0,79393970000.0,77082950000.0,71763680000.0,69533690000.0,68087288000.0,58057605000.0,68752150000.0,74796190000.0
2079.0,76384140000.0,78532125000.0,78945305000.0,76738404000.0,72894790000.0,69130306000.0,67480830000.0,57370230000.0,68183618000.0,74112430000.0
2080.0,76053950000.0,78618980000.0,79644630000.0,75934490000.0,71489724000.0,68900540000.0,67191333000.0,56654400000.0,67632906000.0,75175970000.0
2081.0,76136230000.0,77591890000.0,79460040000.0,75422470000.0,70451880000.0,68197306000.0,66645885000.0,56228446000.0,67069670000.0,73507700000.0
2082.0,75866430000.0,77562520000.0,80236200000.0,75643260000.0,71051850000.0,67481805000.0,66187112000.0,55532937000.0,67547590000.0,73799720000.0
2083.0,75428680000.0,76577325000.0,78596120000.0,76573540000.0,70626210000.0,67335053000.0,65621033000.0,55010804000.0,66248090000.0,73167660000.0
2084.0,75038925000.0,76254750000.0,78294570000.0,74522650000.0,69617430000.0,66891194000.0,65103684000.0,54370390000.0,65611970000.0,72713290000.0
2085.0,74663140000.0,76141360000.0,77512600000.0,74026330000.0,68961190000.0,67347595000.0,64566080000.0,53877780000.0,65193240000.0,72468030000.0
2086.0,74358950000.0,75644180000.0,77148950000.0,74045870000.0,68414190000.0,66023500000.0,64288310000.0,53302170000.0,65252830000.0,71986810000.0
2087.0,73990210000.0,76290875000.0,76879690000.0,75079385000.0,67928076000.0,65664060000.0,63600923000.0,52633473000.0,66855166000.0,71778880000.0
2088.0,73711030000.0,75332970000.0,76491430000.0,74405330000.0,67358350000.0,64982820000.0,63154065000.0,51958477000.0,64062177000.0,71339745000.0
2089.0,73377290000.0,75034770000.0,77430420000.0,73204980000.0,66906407000.0,64297787000.0,62727942000.0,51409986000.0,63755506000.0,71054320000.0
2090.0,73166270000.0,74669590000.0,76119515000.0,74018650000.0,66369670000.0,63791550000.0,62240030000.0,50872922000.0,63126675000.0,70524520000.0
2091.0,72940140000.0,74460020000.0,75608380000.0,73214720000.0,65968337000.0,63188492000.0,61680600000.0,50199675000.0,62833230000.0,70170890000.0
2092.0,72487560000.0,74369080000.0,75390260000.0,73363096000.0,65365295000.0,62580650000.0,61150835000.0,49964405000.0,62140408000.0,69693770000.0
2093.0,72117084000.0,74024255000.0,74985130000.0,73869754000.0,65244940000.0,64115855000.0,60589048000.0,49079267000.0,62012555000.0,70177370000.0
2094.0,71732980000.0,73696310000.0,74651754000.0,72507420000.0,64534934000.0,62081393000.0,60602237000.0,48379855000.0,61376780000.0,69054430000.0
2095.0,71574950000.0,73653810000.0,74601650000.0,71847125000.0,64455290000.0,62390120000.0,59783856000.0,47740498000.0,60971660000.0,68686373000.0
2096.0,71126295000.0,73148785000.0,74452790000.0,71601080000.0,64034914000.0,61042684000.0,59309500000.0,47644640000.0,60537328000.0,68781700000.0
2097.0,72492900000.0,72825000000.0,74379860000.0,73288210000.0,63470650000.0,60615905000.0,58934723000.0,46747730000.0,60068250000.0,67934750000.0
2098.0,71930175000.0,72703590000.0,74012870000.0,72153970000.0,62967816000.0,60198412000.0,58475480000.0,46241608000.0,60140080000.0,67486265000.0
2099.0,70847460000.0,72553530000.0,73650290000.0,71364380000.0,63786250000.0,59505900000.0,57815986000.0,45701415000.0,60390687000.0,67872920000.0
2100.0,70568600000.0,75060680000.0,75514266000.0,71519140000.0,64670015000.0,58959830000.0,59714540000.0,45046297000.0,59183210000.0,66763980000.0
