time,CESM1-CAM5,CCSM4,CNRM-CM5,GISS-E2-R,CSIRO-MK3-6-0,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,CANESM2,GFDL-CM3,IPSL-CM5A-LR
2031.0,85346320000.0,86381290000.0,86155190000.0,87898740000.0,86667550000.0,86262735000.0,86907160000.0,86065180000.0,86459335000.0,85322605000.0,86081550000.0
2032.0,85087584000.0,86622380000.0,86006000000.0,87406930000.0,86466585000.0,85913280000.0,86753040000.0,86294220000.0,86538930000.0,85070640000.0,86717980000.0
2033.0,84734950000.0,86297395000.0,85707850000.0,87122936000.0,86412030000.0,85637915000.0,86600590000.0,85873074000.0,86172580000.0,84611690000.0,85588230000.0
2034.0,84429240000.0,86088880000.0,85830430000.0,86818980000.0,86120825000.0,85454370000.0,86420710000.0,85606880000.0,85683130000.0,84489085000.0,85280030000.0
2035.0,84046490000.0,85841270000.0,86067950000.0,86487550000.0,86066560000.0,85127820000.0,86243520000.0,85346755000.0,85500800000.0,83956320000.0,85115510000.0
2036.0,83756860000.0,85968000000.0,85563550000.0,86606310000.0,85848960000.0,84928820000.0,86164770000.0,85084635000.0,85240210000.0,83511330000.0,84827170000.0
2037.0,83404630000.0,85502755000.0,85973340000.0,86252850000.0,86658140000.0,84959530000.0,85956320000.0,84846750000.0,85200810000.0,83060110000.0,84678890000.0
2038.0,83010630000.0,85406030000.0,85450605000.0,86175790000.0,86115525000.0,84546085000.0,85851600000.0,84641505000.0,84809785000.0,82646430000.0,84309390000.0
2039.0,82694180000.0,85011910000.0,85219170000.0,86519170000.0,85683790000.0,84208970000.0,85730100000.0,84545860000.0,84548520000.0,82218800000.0,83974510000.0
2040.0,82229790000.0,85145485000.0,84688110000.0,85860840000.0,85472130000.0,83957550000.0,85508260000.0,84173280000.0,84359670000.0,81665010000.0,83613260000.0
2041.0,81839020000.0,85319350000.0,85306510000.0,85780980000.0,85235580000.0,83724410000.0,85783790000.0,83913080000.0,84316490000.0,81173740000.0,83442880000.0
2042.0,81328600000.0,85051640000.0,84345080000.0,85508270000.0,85143450000.0,83593945000.0,86168020000.0,83623120000.0,84261890000.0,80630145000.0,84078930000.0
2043.0,80813450000.0,84913955000.0,84490215000.0,86317860000.0,84959420000.0,83230920000.0,85217894000.0,83326630000.0,83803590000.0,80047950000.0,83343130000.0
2044.0,80684780000.0,84283770000.0,84008960000.0,85307695000.0,84756250000.0,82902794000.0,85401150000.0,83258050000.0,83510480000.0,79457540000.0,83422800000.0
2045.0,80330740000.0,84574890000.0,83610010000.0,85174936000.0,84651200000.0,82555930000.0,86479405000.0,82851455000.0,83233010000.0,79066850000.0,82666820000.0
2046.0,79935365000.0,84504190000.0,83514565000.0,84988960000.0,84546970000.0,82359360000.0,85315330000.0,82515750000.0,82942450000.0,78301010000.0,84138150000.0
2047.0,79429590000.0,83833995000.0,83021770000.0,84809466000.0,84241820000.0,81831780000.0,84707280000.0,82221350000.0,82712320000.0,77658640000.0,82933620000.0
2048.0,78936334000.0,83393690000.0,83319560000.0,84958044000.0,84378970000.0,81620340000.0,84388690000.0,82906000000.0,82369540000.0,77039330000.0,82015510000.0
2049.0,78490140000.0,83242430000.0,82703450000.0,84594745000.0,83973840000.0,81211320000.0,84591075000.0,81694740000.0,82110530000.0,76374940000.0,81585840000.0
2050.0,77964660000.0,82910560000.0,82232660000.0,84164346000.0,83652420000.0,80880220000.0,84006650000.0,81181950000.0,81844370000.0,75738464000.0,81660486000.0
2051.0,77573960000.0,83918004000.0,82936020000.0,83980830000.0,84089440000.0,81174680000.0,84002990000.0,80736100000.0,81374585000.0,75154830000.0,81226646000.0
2052.0,77113655000.0,83303380000.0,83447240000.0,83814105000.0,83645840000.0,80132790000.0,83562710000.0,80753120000.0,81085750000.0,74531300000.0,80599730000.0
2053.0,76694230000.0,82672615000.0,81821160000.0,83551550000.0,83390005000.0,79791040000.0,83450770000.0,81755234000.0,80662540000.0,73946020000.0,80151400000.0
2054.0,76173560000.0,83738550000.0,81326140000.0,83315960000.0,83120420000.0,79411530000.0,83557470000.0,80114560000.0,80324534000.0,73198310000.0,79768720000.0
2055.0,75799710000.0,82161590000.0,81577700000.0,83609166000.0,82903080000.0,79024910000.0,83511550000.0,79590750000.0,80086385000.0,72639270000.0,79895950000.0
2056.0,75140590000.0,82757840000.0,82606120000.0,83067980000.0,83341700000.0,78715280000.0,83032900000.0,79784110000.0,79925270000.0,72092190000.0,79206350000.0
2057.0,74633200000.0,82735840000.0,81841690000.0,82706784000.0,83204110000.0,78433870000.0,83069760000.0,79504030000.0,79354260000.0,71705150000.0,78884900000.0
2058.0,74040190000.0,82524750000.0,85722096000.0,82597980000.0,82686230000.0,78267425000.0,82934790000.0,78778974000.0,79594210000.0,71120855000.0,78457180000.0
2059.0,73595494000.0,82237700000.0,83235200000.0,82743680000.0,82545850000.0,78016740000.0,83478700000.0,78442580000.0,78734370000.0,70400070000.0,80058710000.0
2060.0,73069960000.0,81758650000.0,81075120000.0,82296594000.0,82451830000.0,77476330000.0,82538880000.0,77920640000.0,78261260000.0,69720056000.0,78309700000.0
2061.0,72466500000.0,81490570000.0,80417880000.0,82620236000.0,82010006000.0,77087556000.0,83401810000.0,77614810000.0,77941600000.0,69007140000.0,77862580000.0
2062.0,71851790000.0,83197930000.0,79689730000.0,82362660000.0,82051120000.0,76785164000.0,82629706000.0,77525390000.0,77489906000.0,68577894000.0,77241030000.0
