time,GFDL-ESM2G,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0,IPSL-CM5A-LR,CCSM4,NORESM1-M
2000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0
2001.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0
2002.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0
2003.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0
2004.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0
2005.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0
2006.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0
2007.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0
2008.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0
2009.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0
2010.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0
2011.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0
2012.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0
2013.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0
2014.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0
2015.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0
2016.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0
2017.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0
2018.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0
2019.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0
2020.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0
2021.0,44308565000000.0,44398400000000.0,44326540000000.0,44242928000000.0,44280253000000.0,44225236000000.0,44314190000000.0,44311626000000.0
2022.0,44278360000000.0,44415840000000.0,44262645000000.0,44233500000000.0,44266120000000.0,44185743000000.0,44251130000000.0,44296030000000.0
2023.0,44250200000000.0,44423413000000.0,44180592000000.0,44087720000000.0,44267530000000.0,44139460000000.0,44099310000000.0,44228747000000.0
2024.0,44195830000000.0,44416080000000.0,44054365000000.0,44066847000000.0,44209524000000.0,44065520000000.0,44102175000000.0,44182240000000.0
2025.0,44210200000000.0,44376930000000.0,43894436000000.0,44071130000000.0,44196983000000.0,43909288000000.0,44017086000000.0,44165006000000.0
2026.0,44156366000000.0,44410486000000.0,43793504000000.0,44021766000000.0,44085210000000.0,43637060000000.0,43919795000000.0,44041840000000.0
2027.0,44152738000000.0,44480390000000.0,43712600000000.0,43888845000000.0,44012610000000.0,43395934000000.0,43851897000000.0,43969580000000.0
2028.0,44126444000000.0,44557136000000.0,43705617000000.0,43822370000000.0,43850760000000.0,43242565000000.0,43758737000000.0,43909660000000.0
2029.0,44165275000000.0,44584490000000.0,43637000000000.0,43675710000000.0,43692614000000.0,43217727000000.0,43698478000000.0,43764836000000.0
2030.0,44146980000000.0,44622890000000.0,43622343000000.0,43544520000000.0,43641574000000.0,43096805000000.0,43541910000000.0,43569662000000.0
2031.0,44107804000000.0,44696750000000.0,43547005000000.0,43435420000000.0,43558703000000.0,43090710000000.0,43439120000000.0,43539275000000.0
2032.0,44018117000000.0,44692406000000.0,43485810000000.0,43418740000000.0,43450980000000.0,43053033000000.0,43414320000000.0,43497567000000.0
2033.0,43953223000000.0,44747300000000.0,43463094000000.0,43306870000000.0,43395494000000.0,43014358000000.0,43340456000000.0,43469263000000.0
2034.0,43900417000000.0,44851030000000.0,43362470000000.0,43197900000000.0,43285610000000.0,42960436000000.0,43248880000000.0,43368856000000.0
2035.0,43958613000000.0,44883457000000.0,43390268000000.0,43168860000000.0,43189814000000.0,42915187000000.0,43115870000000.0,43340926000000.0
2036.0,43900106000000.0,44930286000000.0,43409734000000.0,43027377000000.0,43118963000000.0,42761390000000.0,43078350000000.0,43331535000000.0
2037.0,43878790000000.0,45004144000000.0,43283787000000.0,42865510000000.0,43064924000000.0,42612015000000.0,42949900000000.0,43207614000000.0
2038.0,43908822000000.0,45088927000000.0,43204660000000.0,42675303000000.0,42886364000000.0,42549687000000.0,42891360000000.0,43152153000000.0
2039.0,43873560000000.0,45127632000000.0,43187972000000.0,42567282000000.0,42826960000000.0,42499230000000.0,42801070000000.0,43091227000000.0
2040.0,43772750000000.0,45153070000000.0,43123472000000.0,42493680000000.0,42700480000000.0,42551660000000.0,42694960000000.0,43029746000000.0
2041.0,43713963000000.0,45128744000000.0,43044364000000.0,42371895000000.0,42521400000000.0,42617614000000.0,42583260000000.0,42938510000000.0
2042.0,43609382000000.0,45121480000000.0,42904920000000.0,42179968000000.0,42307650000000.0,42611210000000.0,42403930000000.0,42828906000000.0
2043.0,43456693000000.0,45110226000000.0,42843650000000.0,42045557000000.0,42132497000000.0,42561113000000.0,42307030000000.0,42822523000000.0
2044.0,43388754000000.0,45105768000000.0,42775924000000.0,41996060000000.0,41913150000000.0,42515430000000.0,42164620000000.0,42802350000000.0
2045.0,43368957000000.0,45039510000000.0,42728600000000.0,41871560000000.0,41790760000000.0,42412433000000.0,42135185000000.0,42716240000000.0
2046.0,43258835000000.0,45095068000000.0,42665677000000.0,41762730000000.0,41653980000000.0,42289160000000.0,42027870000000.0,42663470000000.0
2047.0,43208294000000.0,45056970000000.0,42610870000000.0,41576634000000.0,41538952000000.0,42239233000000.0,41867510000000.0,42579786000000.0
2048.0,43153692000000.0,45029653000000.0,42516695000000.0,41419696000000.0,41400897000000.0,42245830000000.0,41721490000000.0,42500430000000.0
2049.0,43040173000000.0,44977350000000.0,42397250000000.0,41370380000000.0,41246740000000.0,42200920000000.0,41505370000000.0,42410717000000.0
2050.0,43007750000000.0,44978740000000.0,42320820000000.0,41212795000000.0,41150413000000.0,42105500000000.0,41394960000000.0,42323590000000.0
2051.0,43027140000000.0,44938510000000.0,42217490000000.0,41004854000000.0,41009510000000.0,41997243000000.0,41295456000000.0,42143104000000.0
2052.0,43021570000000.0,44949144000000.0,42200084000000.0,40799670000000.0,40738457000000.0,41803700000000.0,41170810000000.0,42071633000000.0
2053.0,43008510000000.0,44834940000000.0,42024220000000.0,40566910000000.0,40568150000000.0,41605793000000.0,41138447000000.0,42022790000000.0
2054.0,42975514000000.0,44686048000000.0,41867366000000.0,40506814000000.0,40390980000000.0,41489187000000.0,41008180000000.0,41996520000000.0
2055.0,42980990000000.0,44605844000000.0,41801190000000.0,40341533000000.0,40238840000000.0,41325290000000.0,40805813000000.0,41801616000000.0
2056.0,42942360000000.0,44405763000000.0,41745425000000.0,40167155000000.0,40079997000000.0,41137800000000.0,40597428000000.0,41660747000000.0
2057.0,42908888000000.0,44346500000000.0,41671635000000.0,39931230000000.0,39886246000000.0,41023000000000.0,40417730000000.0,41529900000000.0
2058.0,42911907000000.0,44338856000000.0,41588790000000.0,39698253000000.0,39670776000000.0,40880166000000.0,40306276000000.0,41449194000000.0
2059.0,42811584000000.0,44277920000000.0,41513107000000.0,39386780000000.0,39541793000000.0,40696208000000.0,40111266000000.0,41394300000000.0
2060.0,42808795000000.0,44265070000000.0,41487094000000.0,38844880000000.0,39365737000000.0,40402200000000.0,40042316000000.0,41276620000000.0
2061.0,42758534000000.0,44208940000000.0,41396283000000.0,38545197000000.0,39091916000000.0,40132670000000.0,39814530000000.0,41196810000000.0
2062.0,42738230000000.0,44294258000000.0,41338184000000.0,38396085000000.0,38913515000000.0,40044470000000.0,39578840000000.0,41075465000000.0
2063.0,42662116000000.0,44259470000000.0,41116645000000.0,38241250000000.0,38729276000000.0,39870730000000.0,39350394000000.0,40940622000000.0
2064.0,42637705000000.0,44359605000000.0,41019815000000.0,38061245000000.0,38495993000000.0,39805800000000.0,39232900000000.0,40819562000000.0
2065.0,42561314000000.0,44380103000000.0,40921098000000.0,37830730000000.0,38283380000000.0,39799906000000.0,39102340000000.0,40738813000000.0
2066.0,42445635000000.0,44429184000000.0,40852540000000.0,37568870000000.0,37973390000000.0,39678103000000.0,39025625000000.0,40544960000000.0
2067.0,42360596000000.0,44428840000000.0,40704520000000.0,37273240000000.0,37755527000000.0,39512843000000.0,38795995000000.0,40417130000000.0
2068.0,42243950000000.0,44475670000000.0,40689446000000.0,37063430000000.0,37539214000000.0,39516390000000.0,38604280000000.0,40397620000000.0
2069.0,42201174000000.0,44401470000000.0,40652067000000.0,36849540000000.0,37349652000000.0,39437460000000.0,38377697000000.0,40341537000000.0
2070.0,42070715000000.0,44324394000000.0,40597510000000.0,36653062000000.0,37051194000000.0,39317347000000.0,38105864000000.0,40166144000000.0
2071.0,41998803000000.0,44320145000000.0,40476137000000.0,36455610000000.0,36762194000000.0,39188917000000.0,37988280000000.0,40062190000000.0
2072.0,41959430000000.0,44303456000000.0,40336655000000.0,36195640000000.0,36509460000000.0,39054087000000.0,37805397000000.0,39934858000000.0
2073.0,41759330000000.0,44244044000000.0,40238050000000.0,35937363000000.0,36330970000000.0,38981186000000.0,37549020000000.0,39856634000000.0
2074.0,41611790000000.0,44120395000000.0,40238280000000.0,35692890000000.0,36083937000000.0,38923837000000.0,37292180000000.0,39650836000000.0
2075.0,41524184000000.0,44089597000000.0,40198050000000.0,35434814000000.0,35750754000000.0,38797000000000.0,36976540000000.0,39559530000000.0
2076.0,41401513000000.0,44133146000000.0,40120317000000.0,35172708000000.0,35495650000000.0,38702100000000.0,36723360000000.0,39413782000000.0
2077.0,41201400000000.0,44158220000000.0,40013940000000.0,34754466000000.0,35185220000000.0,38627065000000.0,36520287000000.0,39303036000000.0
2078.0,41121036000000.0,44144430000000.0,39865404000000.0,34524140000000.0,34923872000000.0,38584736000000.0,36394240000000.0,39265614000000.0
2079.0,40999108000000.0,44112967000000.0,39707027000000.0,34308312000000.0,34644597000000.0,38401090000000.0,36232965000000.0,39173460000000.0
